,date,region,min,max
0,14-Mar-20,India_Nagaland,13.5,30
1,15-Mar-20,India_Nagaland,18.6,28
2,16-Mar-20,India_Nagaland,13.1,32
3,17-Mar-20,India_Nagaland,18.0,31
4,18-Mar-20,India_Nagaland,11.8,30
5,19-Mar-20,India_Nagaland,18.0,31
6,20-Mar-20,India_Nagaland,11.5,28
7,21-Mar-20,India_Nagaland,17.4,30
8,22-Mar-20,India_Nagaland,17.4,23
9,23-Mar-20,India_Nagaland,17.0,30
10,24-Mar-20,India_Nagaland,11.0,31
11,25-Mar-20,India_Nagaland,12.1,33
12,26-Mar-20,India_Nagaland,14.1,33
13,27-Mar-20,India_Nagaland,14.1,34
14,28-Mar-20,India_Nagaland,15.5,36
15,29-Mar-20,India_Nagaland,14.8,32
16,30-Mar-20,India_Nagaland,13.7,31
17,31-Mar-20,India_Nagaland,13.4,34
18,01-Apr-20,India_Nagaland,13.7,34
19,02-Apr-20,India_Nagaland,14.3,36
20,03-Apr-20,India_Nagaland,14.4,25
21,04-Apr-20,India_Nagaland,14.6,35
22,05-Apr-20,India_Nagaland,13.3,31
23,06-Apr-20,India_Nagaland,13.6,30
24,07-Apr-20,India_Nagaland,13.5,33
25,08-Apr-20,India_Nagaland,14.4,34
26,09-Apr-20,India_Nagaland,14.9,35
27,10-Apr-20,India_Nagaland,14.0,28.6
28,11-Apr-20,India_Nagaland,14.1,29
29,12-Apr-20,India_Nagaland,14.9,33
30,13-Apr-20,India_Nagaland,14.3,34
31,14-Apr-20,India_Nagaland,15.7,34
32,15-Apr-20,India_Nagaland,17.4,35
33,16-Apr-20,India_Nagaland,15.7,33
34,17-Apr-20,India_Nagaland,13.9,27
35,18-Apr-20,India_Nagaland,16.9,26
36,19-Apr-20,India_Nagaland,14.5,30
37,20-Apr-20,India_Nagaland,14.9,29
38,21-Apr-20,India_Nagaland,15.1,28
39,22-Apr-20,India_Nagaland,14.0,27
40,23-Apr-20,India_Nagaland,12.3,29
41,24-Apr-20,India_Nagaland,13.1,26
42,25-Apr-20,India_Nagaland,12.2,26
43,26-Apr-20,India_Nagaland,11.7,32
44,27-Apr-20,India_Nagaland,13.9,32
45,28-Apr-20,India_Nagaland,14.3,28
46,29-Apr-20,India_Nagaland,14.7,30
47,30-Apr-20,India_Nagaland,13.5,30
48,01-May-20,India_Nagaland,13.8,34
49,02-May-20,India_Nagaland,14.4,33
50,03-May-20,India_Nagaland,14.3,32
51,04-May-20,India_Nagaland,14.7,33
52,05-May-20,India_Nagaland,21.6,33
53,06-May-20,India_Nagaland,15.4,29
54,07-May-20,India_Nagaland,15.3,31
55,08-May-20,India_Nagaland,15.2,27
56,09-May-20,India_Nagaland,14.2,33
57,10-May-20,India_Nagaland,14.9,35
58,11-May-20,India_Nagaland,17.5,32
59,12-May-20,India_Nagaland,16.1,30
60,13-May-20,India_Nagaland,15.7,26.9
61,14-May-20,India_Nagaland,14.8,27.8
62,15-May-20,India_Nagaland,15.5,29
63,16-May-20,India_Nagaland,16.0,25.3
64,17-May-20,India_Nagaland,15.4,31
65,18-May-20,India_Nagaland,16.3,33
66,19-May-20,India_Nagaland,17.5,34
67,20-May-20,India_Nagaland,17.9,29
68,21-May-20,India_Nagaland,20.6,36.1
69,22-May-20,India_Nagaland,18.5,27
70,23-May-20,India_Nagaland,18.5,28
71,24-May-20,India_Nagaland,18.2,28
72,25-May-20,India_Nagaland,16.8,29
73,26-May-20,India_Nagaland,17.3,30
74,27-May-20,India_Nagaland,16.6,30
75,28-May-20,India_Nagaland,15.4,32
76,29-May-20,India_Nagaland,16.0,32
77,30-May-20,India_Nagaland,16.1,31
78,31-May-20,India_Nagaland,15.4,34
79,01-Jun-20,India_Nagaland,15.5,29
80,02-Jun-20,India_Nagaland,15.6,30
81,03-Jun-20,India_Nagaland,20.1,31
82,04-Jun-20,India_Nagaland,21.4,32
83,05-Jun-20,India_Nagaland,17.1,23.8
84,06-Jun-20,India_Nagaland,17.4,24
85,07-Jun-20,India_Nagaland,18.0,34
86,08-Jun-20,India_Nagaland,17.6,34
87,09-Jun-20,India_Nagaland,18.2,36
88,10-Jun-20,India_Nagaland,19.5,27
89,11-Jun-20,India_Nagaland,18.6,34
90,12-Jun-20,India_Nagaland,19.0,31
91,13-Jun-20,India_Nagaland,18.8,29
92,14-Jun-20,India_Nagaland,19.0,34
93,15-Jun-20,India_Nagaland,18.9,34
94,16-Jun-20,India_Nagaland,19.4,34
95,17-Jun-20,India_Nagaland,22.1,33
96,14-Mar-20,India_Odisha,23.0,34
97,15-Mar-20,India_Odisha,21.0,32
98,16-Mar-20,India_Odisha,23.6,34
99,17-Mar-20,India_Odisha,21.0,35
100,18-Mar-20,India_Odisha,24.0,35
101,19-Mar-20,India_Odisha,20.0,33
102,20-Mar-20,India_Odisha,20.0,33
103,21-Mar-20,India_Odisha,23.0,32
104,22-Mar-20,India_Odisha,22.0,33
105,23-Mar-20,India_Odisha,21.0,32
106,24-Mar-20,India_Odisha,22.0,34
107,25-Mar-20,India_Odisha,24.0,34
108,26-Mar-20,India_Odisha,24.0,37
109,27-Mar-20,India_Odisha,25.0,37
110,28-Mar-20,India_Odisha,25.0,38
111,29-Mar-20,India_Odisha,25.0,38
