,date,region,min,max
0,14-Mar-20,India_Andaman and Nicobar Islands,23.8,29.4
1,15-Mar-20,India_Andaman and Nicobar Islands,24.0,34.2
2,16-Mar-20,India_Andaman and Nicobar Islands,26.0,31.4
3,17-Mar-20,India_Andaman and Nicobar Islands,26.8,30.8
4,18-Mar-20,India_Andaman and Nicobar Islands,25.2,32.8
5,19-Mar-20,India_Andaman and Nicobar Islands,23.6,32.7
6,20-Mar-20,India_Andaman and Nicobar Islands,23.4,31.2
7,21-Mar-20,India_Andaman and Nicobar Islands,23.4,31.1
8,22-Mar-20,India_Andaman and Nicobar Islands,23.8,30.8
9,23-Mar-20,India_Andaman and Nicobar Islands,23.5,31.5
10,24-Mar-20,India_Andaman and Nicobar Islands,22.6,31.0
11,25-Mar-20,India_Andaman and Nicobar Islands,24.2,32.5
12,26-Mar-20,India_Andaman and Nicobar Islands,22.8,31.6
13,27-Mar-20,India_Andaman and Nicobar Islands,24.2,32.2
14,28-Mar-20,India_Andaman and Nicobar Islands,23.3,31.8
15,29-Mar-20,India_Andaman and Nicobar Islands,23.7,30.8
16,30-Mar-20,India_Andaman and Nicobar Islands,23.4,31.2
17,31-Mar-20,India_Andaman and Nicobar Islands,24.3,31.4
18,01-Apr-20,India_Andaman and Nicobar Islands,24.6,30.8
19,02-Apr-20,India_Andaman and Nicobar Islands,23.9,31.4
20,03-Apr-20,India_Andaman and Nicobar Islands,25.2,31.2
21,04-Apr-20,India_Andaman and Nicobar Islands,24.7,31.8
22,05-Apr-20,India_Andaman and Nicobar Islands,24.9,33.4
23,06-Apr-20,India_Andaman and Nicobar Islands,25.2,32.7
24,07-Apr-20,India_Andaman and Nicobar Islands,25.6,33.4
25,08-Apr-20,India_Andaman and Nicobar Islands,25.3,32.4
26,09-Apr-20,India_Andaman and Nicobar Islands,26.4,31.4
27,10-Apr-20,India_Andaman and Nicobar Islands,24.7,32.1
28,11-Apr-20,India_Andaman and Nicobar Islands,25.5,31.6
29,12-Apr-20,India_Andaman and Nicobar Islands,26.8,32.2
30,13-Apr-20,India_Andaman and Nicobar Islands,25.7,32.0
31,14-Apr-20,India_Andaman and Nicobar Islands,27.0,31.4
32,15-Apr-20,India_Andaman and Nicobar Islands,25.4,32.6
33,16-Apr-20,India_Andaman and Nicobar Islands,25.2,31.6
34,17-Apr-20,India_Andaman and Nicobar Islands,24.8,31.8
35,18-Apr-20,India_Andaman and Nicobar Islands,25.4,32.2
36,19-Apr-20,India_Andaman and Nicobar Islands,26.8,33.2
37,20-Apr-20,India_Andaman and Nicobar Islands,28.1,32.4
38,21-Apr-20,India_Andaman and Nicobar Islands,28.6,33.5
39,22-Apr-20,India_Andaman and Nicobar Islands,27.0,32.0
40,23-Apr-20,India_Andaman and Nicobar Islands,26.4,32.9
41,24-Apr-20,India_Andaman and Nicobar Islands,26.5,33.2
42,25-Apr-20,India_Andaman and Nicobar Islands,27.0,32.0
43,26-Apr-20,India_Andaman and Nicobar Islands,26.8,32.9
44,27-Apr-20,India_Andaman and Nicobar Islands,27.9,31.8
45,28-Apr-20,India_Andaman and Nicobar Islands,27.5,32.9
46,29-Apr-20,India_Andaman and Nicobar Islands,25.2,31.8
47,30-Apr-20,India_Andaman and Nicobar Islands,25.8,32.2
48,01-May-20,India_Andaman and Nicobar Islands,25.8,33.9
49,02-May-20,India_Andaman and Nicobar Islands,25.6,32.2
50,03-May-20,India_Andaman and Nicobar Islands,25.7,31.6
51,04-May-20,India_Andaman and Nicobar Islands,28.3,32.6
52,05-May-20,India_Andaman and Nicobar Islands,26.7,33.3
53,06-May-20,India_Andaman and Nicobar Islands,26.8,32.2
54,07-May-20,India_Andaman and Nicobar Islands,27.0,34.0
55,08-May-20,India_Andaman and Nicobar Islands,26.0,32.4
56,09-May-20,India_Andaman and Nicobar Islands,26.4,33.9
57,10-May-20,India_Andaman and Nicobar Islands,25.2,32.2
58,11-May-20,India_Andaman and Nicobar Islands,25.0,32.8
59,12-May-20,India_Andaman and Nicobar Islands,24.2,32.7
60,13-May-20,India_Andaman and Nicobar Islands,24.3,32.2
61,14-May-20,India_Andaman and Nicobar Islands,25.7,29.2
62,15-May-20,India_Andaman and Nicobar Islands,26.6,31.0
63,16-May-20,India_Andaman and Nicobar Islands,27.2,31.6
64,17-May-20,India_Andaman and Nicobar Islands,27.5,30.4
65,18-May-20,India_Andaman and Nicobar Islands,27.0,30.4
66,19-May-20,India_Andaman and Nicobar Islands,25.4,31.2
67,20-May-20,India_Andaman and Nicobar Islands,25.2,31.0
68,21-May-20,India_Andaman and Nicobar Islands,28.2,30.8
69,22-May-20,India_Andaman and Nicobar Islands,27.2,32.6
70,23-May-20,India_Andaman and Nicobar Islands,26.4,32.5
71,24-May-20,India_Andaman and Nicobar Islands,25.4,31.0
72,25-May-20,India_Andaman and Nicobar Islands,26.8,32.7
73,26-May-20,India_Andaman and Nicobar Islands,26.5,32.0
74,27-May-20,India_Andaman and Nicobar Islands,26.5,30.8
75,28-May-20,India_Andaman and Nicobar Islands,27.2,32.7
76,29-May-20,India_Andaman and Nicobar Islands,24.8,26.9
77,30-May-20,India_Andaman and Nicobar Islands,24.6,27.0
78,31-May-20,India_Andaman and Nicobar Islands,23.9,31.1
79,01-Jun-20,India_Andaman and Nicobar Islands,25.2,31.8
80,02-Jun-20,India_Andaman and Nicobar Islands,25.4,30.0
81,03-Jun-20,India_Andaman and Nicobar Islands,25.4,30.0
82,04-Jun-20,India_Andaman and Nicobar Islands,24.7,27.2
83,05-Jun-20,India_Andaman and Nicobar Islands,23.6,28.2
84,06-Jun-20,India_Andaman and Nicobar Islands,23.3,26.2
85,07-Jun-20,India_Andaman and Nicobar Islands,23.1,26.5
86,08-Jun-20,India_Andaman and Nicobar Islands,24.0,28.6
87,09-Jun-20,India_Andaman and Nicobar Islands,23.6,30.0
88,10-Jun-20,India_Andaman and Nicobar Islands,23.5,29.8
89,11-Jun-20,India_Andaman and Nicobar Islands,25.4,30.2
90,12-Jun-20,India_Andaman and Nicobar Islands,25.0,31.2
91,13-Jun-20,India_Andaman and Nicobar Islands,24.4,31.4
92,14-Jun-20,India_Andaman and Nicobar Islands,25.6,31.7
93,15-Jun-20,India_Andaman and Nicobar Islands,27.1,30.0
94,16-Jun-20,India_Andaman and Nicobar Islands,26.2,29.1
95,17-Jun-20,India_Andaman and Nicobar Islands,26.6,29.6
96,14-Mar-20,India_Andhra Pradesh,19.0,35.2
97,15-Mar-20,India_Andhra Pradesh,20.0,33.0
98,16-Mar-20,India_Andhra Pradesh,20.0,33.0
99,17-Mar-20,India_Andhra Pradesh,19.0,32.0
100,18-Mar-20,India_Andhra Pradesh,18.0,37.6
101,19-Mar-20,India_Andhra Pradesh,19.0,34.0
102,20-Mar-20,India_Andhra Pradesh,22.0,30.0
103,21-Mar-20,India_Andhra Pradesh,21.0,37.2
104,22-Mar-20,India_Andhra Pradesh,22.0,35.8
105,23-Mar-20,India_Andhra Pradesh,22.0,32.0
106,24-Mar-20,India_Andhra Pradesh,21.0,36.8
107,25-Mar-20,India_Andhra Pradesh,20.0,32.0
108,26-Mar-20,India_Andhra Pradesh,19.0,34.1
109,27-Mar-20,India_Andhra Pradesh,19.0,32.0
110,28-Mar-20,India_Andhra Pradesh,17.0,34.0
111,29-Mar-20,India_Andhra Pradesh,17.0,39.2
112,30-Mar-20,India_Andhra Pradesh,18.0,39.2
113,31-Mar-20,India_Andhra Pradesh,17.0,34.0
114,01-Apr-20,India_Andhra Pradesh,18.0,34.0
115,02-Apr-20,India_Andhra Pradesh,19.0,39.4
116,03-Apr-20,India_Andhra Pradesh,21.0,34.0
117,04-Apr-20,India_Andhra Pradesh,21.0,34.0
