,date,region,min,max
0,14-Mar-20,India_Arunachal Pradesh,16.6,28
1,15-Mar-20,India_Arunachal Pradesh,19.8,28
2,16-Mar-20,India_Arunachal Pradesh,17.6,32
3,17-Mar-20,India_Arunachal Pradesh,16.4,30.6
4,18-Mar-20,India_Arunachal Pradesh,17.7,30.6
5,19-Mar-20,India_Arunachal Pradesh,17.4,27.2
6,20-Mar-20,India_Arunachal Pradesh,17.6,28.2
7,21-Mar-20,India_Arunachal Pradesh,17.5,26.6
8,22-Mar-20,India_Arunachal Pradesh,17.0,29.4
9,23-Mar-20,India_Arunachal Pradesh,18.3,28
10,24-Mar-20,India_Arunachal Pradesh,17.6,31.2
11,25-Mar-20,India_Arunachal Pradesh,17.4,32.8
12,26-Mar-20,India_Arunachal Pradesh,19.4,32
13,27-Mar-20,India_Arunachal Pradesh,18.4,32
14,28-Mar-20,India_Arunachal Pradesh,21.6,25.4
15,29-Mar-20,India_Arunachal Pradesh,20.2,32
16,30-Mar-20,India_Arunachal Pradesh,19.1,33.4
17,31-Mar-20,India_Arunachal Pradesh,17.4,31
18,01-Apr-20,India_Arunachal Pradesh,20.0,32
19,02-Apr-20,India_Arunachal Pradesh,19.6,25
20,03-Apr-20,India_Arunachal Pradesh,18.0,29
21,04-Apr-20,India_Arunachal Pradesh,18.2,29
22,05-Apr-20,India_Arunachal Pradesh,16.4,31
23,06-Apr-20,India_Arunachal Pradesh,17.0,31.2
24,07-Apr-20,India_Arunachal Pradesh,19.0,23.6
25,08-Apr-20,India_Arunachal Pradesh,17.4,28
26,09-Apr-20,India_Arunachal Pradesh,18.8,28.6
27,10-Apr-20,India_Arunachal Pradesh,17.6,25
28,11-Apr-20,India_Arunachal Pradesh,18.4,31
29,12-Apr-20,India_Arunachal Pradesh,18.4,30
30,13-Apr-20,India_Arunachal Pradesh,17.0,33.8
31,14-Apr-20,India_Arunachal Pradesh,18.4,34.8
32,15-Apr-20,India_Arunachal Pradesh,20.4,36
33,16-Apr-20,India_Arunachal Pradesh,20.2,30.6
34,17-Apr-20,India_Arunachal Pradesh,19.6,32.6
35,18-Apr-20,India_Arunachal Pradesh,20.4,27
36,19-Apr-20,India_Arunachal Pradesh,18.7,24.6
37,20-Apr-20,India_Arunachal Pradesh,18.9,27
38,21-Apr-20,India_Arunachal Pradesh,19.1,30
39,22-Apr-20,India_Arunachal Pradesh,18.6,27
40,23-Apr-20,India_Arunachal Pradesh,17.4,26
41,24-Apr-20,India_Arunachal Pradesh,17.9,23
42,25-Apr-20,India_Arunachal Pradesh,15.9,26
43,26-Apr-20,India_Arunachal Pradesh,18.2,32
44,27-Apr-20,India_Arunachal Pradesh,20.3,35
45,28-Apr-20,India_Arunachal Pradesh,19.9,33.2
46,29-Apr-20,India_Arunachal Pradesh,19.8,27.4
47,30-Apr-20,India_Arunachal Pradesh,19.0,30
48,01-May-20,India_Arunachal Pradesh,20.5,33.6
49,02-May-20,India_Arunachal Pradesh,21.3,33.2
50,03-May-20,India_Arunachal Pradesh,21.4,29.8
51,04-May-20,India_Arunachal Pradesh,21.2,34
52,05-May-20,India_Arunachal Pradesh,21.6,28.8
53,06-May-20,India_Arunachal Pradesh,21.4,28.6
54,07-May-20,India_Arunachal Pradesh,19.9,31.4
55,08-May-20,India_Arunachal Pradesh,20.0,27
56,09-May-20,India_Arunachal Pradesh,19.2,32.4
57,10-May-20,India_Arunachal Pradesh,21.1,34
58,11-May-20,India_Arunachal Pradesh,22.0,35
59,12-May-20,India_Arunachal Pradesh,20.9,32
60,13-May-20,India_Arunachal Pradesh,20.1,27
61,14-May-20,India_Arunachal Pradesh,20.2,27
62,15-May-20,India_Arunachal Pradesh,20.0,31.6
63,16-May-20,India_Arunachal Pradesh,21.8,24
64,17-May-20,India_Arunachal Pradesh,21.0,29
65,18-May-20,India_Arunachal Pradesh,22.6,32.2
66,19-May-20,India_Arunachal Pradesh,23.1,34
67,20-May-20,India_Arunachal Pradesh,25.4,29.6
68,21-May-20,India_Arunachal Pradesh,22.2,24.9
69,22-May-20,India_Arunachal Pradesh,22.4,34.4
70,23-May-20,India_Arunachal Pradesh,21.2,27
71,24-May-20,India_Arunachal Pradesh,22.4,26
72,25-May-20,India_Arunachal Pradesh,21.6,26
73,26-May-20,India_Arunachal Pradesh,19.3,23
74,27-May-20,India_Arunachal Pradesh,19.3,25
75,28-May-20,India_Arunachal Pradesh,19.5,32
76,29-May-20,India_Arunachal Pradesh,20.7,33.4
77,30-May-20,India_Arunachal Pradesh,21.6,29.4
78,31-May-20,India_Arunachal Pradesh,21.2,33.6
79,01-Jun-20,India_Arunachal Pradesh,21.5,29.4
80,02-Jun-20,India_Arunachal Pradesh,21.3,30
81,03-Jun-20,India_Arunachal Pradesh,21.4,25.4
82,04-Jun-20,India_Arunachal Pradesh,21.0,23
83,05-Jun-20,India_Arunachal Pradesh,21.5,23
84,06-Jun-20,India_Arunachal Pradesh,22.0,24
85,07-Jun-20,India_Arunachal Pradesh,22.0,27.6
86,08-Jun-20,India_Arunachal Pradesh,22.6,30.8
87,09-Jun-20,India_Arunachal Pradesh,23.6,35.8
88,10-Jun-20,India_Arunachal Pradesh,24.7,36
89,11-Jun-20,India_Arunachal Pradesh,24.4,33
90,12-Jun-20,India_Arunachal Pradesh,24.1,29
91,13-Jun-20,India_Arunachal Pradesh,24.3,28
92,14-Jun-20,India_Arunachal Pradesh,23.8,31.6
93,15-Jun-20,India_Arunachal Pradesh,24.3,33
94,16-Jun-20,India_Arunachal Pradesh,24.0,29
95,17-Jun-20,India_Arunachal Pradesh,24.3,29.4
96,14-Mar-20,India_Assam,22.0,31
97,15-Mar-20,India_Assam,21.0,28
98,16-Mar-20,India_Assam,20.0,32
99,17-Mar-20,India_Assam,18.0,31
100,18-Mar-20,India_Assam,17.0,31
101,19-Mar-20,India_Assam,19.0,31
102,20-Mar-20,India_Assam,19.0,32
103,21-Mar-20,India_Assam,18.0,30
104,22-Mar-20,India_Assam,19.0,25
105,23-Mar-20,India_Assam,18.0,30
106,24-Mar-20,India_Assam,19.0,32
107,25-Mar-20,India_Assam,20.0,33
108,26-Mar-20,India_Assam,22.0,33
109,27-Mar-20,India_Assam,22.0,34
110,28-Mar-20,India_Assam,23.0,36
111,29-Mar-20,India_Assam,22.6,35
112,30-Mar-20,India_Assam,20.2,35
113,31-Mar-20,India_Assam,19.0,34
114,01-Apr-20,India_Assam,20.0,34
115,02-Apr-20,India_Assam,20.0,36
116,03-Apr-20,India_Assam,21.3,34
117,04-Apr-20,India_Assam,21.0,35
118,05-Apr-20,India_Assam,19.0,35
119,06-Apr-20,India_Assam,19.0,34
120,07-Apr-20,India_Assam,19.9,33
121,08-Apr-20,India_Assam,20.5,34
122,09-Apr-20,India_Assam,19.0,35
123,10-Apr-20,India_Assam,19.0,29
124,11-Apr-20,India_Assam,21.0,29
125,12-Apr-20,India_Assam,21.0,33
126,13-Apr-20,India_Assam,20.0,34
127,14-Apr-20,India_Assam,22.0,36
128,15-Apr-20,India_Assam,21.0,34.8
129,16-Apr-20,India_Assam,20.4,33
130,17-Apr-20,India_Assam,21.0,27
131,18-Apr-20,India_Assam,19.0,26
132,19-Apr-20,India_Assam,20.4,30
133,20-Apr-20,India_Assam,20.9,31.5
134,21-Apr-20,India_Assam,20.0,28
135,22-Apr-20,India_Assam,20.0,27
136,23-Apr-20,India_Assam,19.9,29
137,24-Apr-20,India_Assam,20.0,26
138,25-Apr-20,India_Assam,18.5,26
139,26-Apr-20,India_Assam,21.1,30
140,27-Apr-20,India_Assam,22.7,32
141,28-Apr-20,India_Assam,19.0,29.2
142,29-Apr-20,India_Assam,21.9,30
143,30-Apr-20,India_Assam,21.9,32
144,01-May-20,India_Assam,22.5,32
145,02-May-20,India_Assam,24.0,33
146,03-May-20,India_Assam,23.0,32
147,04-May-20,India_Assam,21.0,34
148,05-May-20,India_Assam,24.0,33
149,06-May-20,India_Assam,23.8,31
150,07-May-20,India_Assam,22.0,32
151,08-May-20,India_Assam,22.0,32
152,09-May-20,India_Assam,21.6,33
153,10-May-20,India_Assam,22.8,35
154,11-May-20,India_Assam,21.0,34.2
155,12-May-20,India_Assam,24.0,34
156,13-May-20,India_Assam,23.5,30.1
157,14-May-20,India_Assam,22.2,28
158,15-May-20,India_Assam,22.2,29
159,16-May-20,India_Assam,24.5,31
160,17-May-20,India_Assam,23.0,31
161,18-May-20,India_Assam,25.0,33
162,19-May-20,India_Assam,24.0,33.8
163,20-May-20,India_Assam,26.0,31
164,21-May-20,India_Assam,23.9,36.1
165,22-May-20,India_Assam,23.3,34.4
166,23-May-20,India_Assam,23.6,28
167,24-May-20,India_Assam,23.8,29
168,25-May-20,India_Assam,23.9,29
169,26-May-20,India_Assam,22.0,30
170,27-May-20,India_Assam,22.0,29
171,28-May-20,India_Assam,22.5,31
172,29-May-20,India_Assam,22.1,32
173,30-May-20,India_Assam,23.0,32
174,31-May-20,India_Assam,23.6,32
175,01-Jun-20,India_Assam,23.4,32
176,02-Jun-20,India_Assam,23.5,33
177,03-Jun-20,India_Assam,25.2,31
178,04-Jun-20,India_Assam,24.4,32
179,05-Jun-20,India_Assam,23.5,31
180,06-Jun-20,India_Assam,24.0,30
181,07-Jun-20,India_Assam,23.6,34
182,08-Jun-20,India_Assam,24.1,34
183,09-Jun-20,India_Assam,26.3,36
184,10-Jun-20,India_Assam,26.6,33
185,11-Jun-20,India_Assam,26.1,34
186,12-Jun-20,India_Assam,25.2,32
187,13-Jun-20,India_Assam,26.1,33
188,14-Jun-20,India_Assam,25.1,34
189,15-Jun-20,India_Assam,26.0,34
190,16-Jun-20,India_Assam,25.6,34
191,17-Jun-20,India_Assam,26.2,33
192,14-Mar-20,India_Bihar,18.9,21.9
193,15-Mar-20,India_Bihar,17.2,27.6
194,16-Mar-20,India_Bihar,16.8,29.2
195,17-Mar-20,India_Bihar,15.2,28.6
196,18-Mar-20,India_Bihar,15.6,29
197,19-Mar-20,India_Bihar,16.0,30.2
198,20-Mar-20,India_Bihar,17.0,29.4
199,21-Mar-20,India_Bihar,17.4,31
200,22-Mar-20,India_Bihar,18.6,25.4
201,23-Mar-20,India_Bihar,18.8,28.6
202,24-Mar-20,India_Bihar,17.8,30.4
203,25-Mar-20,India_Bihar,18.6,31
204,26-Mar-20,India_Bihar,21.0,32.6
205,27-Mar-20,India_Bihar,20.4,32.6
206,28-Mar-20,India_Bihar,20.0,32.2
207,29-Mar-20,India_Bihar,19.2,32.6
208,30-Mar-20,India_Bihar,18.2,32.4
209,31-Mar-20,India_Bihar,15.8,33
210,01-Apr-20,India_Bihar,18.0,33.8
211,02-Apr-20,India_Bihar,20.8,34.4
212,03-Apr-20,India_Bihar,20.0,34
213,04-Apr-20,India_Bihar,18.0,33.2
214,05-Apr-20,India_Bihar,16.8,34
215,06-Apr-20,India_Bihar,16.6,34.6
216,07-Apr-20,India_Bihar,19.0,35.2
217,08-Apr-20,India_Bihar,20.4,34.8
218,09-Apr-20,India_Bihar,20.0,34.8
219,10-Apr-20,India_Bihar,20.8,34
220,11-Apr-20,India_Bihar,21.2,35
221,12-Apr-20,India_Bihar,21.6,32
222,13-Apr-20,India_Bihar,22.6,34
223,14-Apr-20,India_Bihar,23.4,34.6
224,15-Apr-20,India_Bihar,20.8,28.5
225,16-Apr-20,India_Bihar,20.0,30.8
226,17-Apr-20,India_Bihar,23.0,29.4
227,18-Apr-20,India_Bihar,20.0,30.6
228,19-Apr-20,India_Bihar,23.2,31.6
229,20-Apr-20,India_Bihar,20.2,30.2
230,21-Apr-20,India_Bihar,20.4,24.9
231,22-Apr-20,India_Bihar,19.2,28.6
232,23-Apr-20,India_Bihar,20.5,30.4
233,24-Apr-20,India_Bihar,18.8,27.6
234,25-Apr-20,India_Bihar,19.6,26
235,26-Apr-20,India_Bihar,20.6,28.6
236,27-Apr-20,India_Bihar,21.8,31.8
237,28-Apr-20,India_Bihar,21.2,26
238,29-Apr-20,India_Bihar,19.6,29.6
239,30-Apr-20,India_Bihar,22.6,31.6
240,01-May-20,India_Bihar,22.5,31.4
241,02-May-20,India_Bihar,21.0,29.2
242,03-May-20,India_Bihar,21.0,31.6
243,04-May-20,India_Bihar,23.6,32.6
244,05-May-20,India_Bihar,22.0,29.2
245,06-May-20,India_Bihar,21.4,30
246,07-May-20,India_Bihar,20.5,32.2
247,08-May-20,India_Bihar,19.0,31
248,09-May-20,India_Bihar,19.6,33
249,10-May-20,India_Bihar,24.2,34.8
250,11-May-20,India_Bihar,23.8,31.8
251,12-May-20,India_Bihar,23.6,34.2
252,13-May-20,India_Bihar,24.4,35.8
253,14-May-20,India_Bihar,25.0,32.8
254,15-May-20,India_Bihar,24.2,33.2
255,16-May-20,India_Bihar,24.6,34
256,17-May-20,India_Bihar,24.2,34.2
257,18-May-20,India_Bihar,25.6,35
258,19-May-20,India_Bihar,26.8,32
259,20-May-20,India_Bihar,23.7,30
260,21-May-20,India_Bihar,22.0,26
261,22-May-20,India_Bihar,22.4,28.2
262,23-May-20,India_Bihar,21.9,31.8
263,24-May-20,India_Bihar,26.8,34.6
264,25-May-20,India_Bihar,24.6,34
265,26-May-20,India_Bihar,25.4,35.6
266,27-May-20,India_Bihar,22.4,27.4
267,28-May-20,India_Bihar,22.2,32
268,29-May-20,India_Bihar,23.6,31.6
269,30-May-20,India_Bihar,24.0,33.2
270,31-May-20,India_Bihar,23.6,31.8
271,01-Jun-20,India_Bihar,24.4,32.4
272,02-Jun-20,India_Bihar,24.8,34.6
273,03-Jun-20,India_Bihar,27.2,34.2
274,04-Jun-20,India_Bihar,26.0,34.2
275,05-Jun-20,India_Bihar,23.5,27.8
