,date,region,min,max
0,14-Mar-20,India_Chattisgarh,21.1,29.5
1,15-Mar-20,India_Chattisgarh,22.4,29.3
2,16-Mar-20,India_Chattisgarh,22.0,31.4
3,17-Mar-20,India_Chattisgarh,22.4,32.7
4,18-Mar-20,India_Chattisgarh,24.3,31.0
5,19-Mar-20,India_Chattisgarh,20.6,33.7
6,20-Mar-20,India_Chattisgarh,18.9,31.1
7,21-Mar-20,India_Chattisgarh,20.7,31.6
8,22-Mar-20,India_Chattisgarh,22.4,33.1
9,23-Mar-20,India_Chattisgarh,22.2,33.2
10,24-Mar-20,India_Chattisgarh,22.4,34.6
11,25-Mar-20,India_Chattisgarh,23.1,34.8
12,26-Mar-20,India_Chattisgarh,22.7,34.4
13,27-Mar-20,India_Chattisgarh,24.5,36.3
14,28-Mar-20,India_Chattisgarh,24.7,34.2
15,29-Mar-20,India_Chattisgarh,23.9,35.3
16,30-Mar-20,India_Chattisgarh,22.8,31.0
17,31-Mar-20,India_Chattisgarh,23.3,34.7
18,01-Apr-20,India_Chattisgarh,23.5,37.2
19,02-Apr-20,India_Chattisgarh,24.3,37.5
20,03-Apr-20,India_Chattisgarh,25.1,34.9
21,04-Apr-20,India_Chattisgarh,24.1,35.9
22,05-Apr-20,India_Chattisgarh,23.5,35.5
23,06-Apr-20,India_Chattisgarh,24.6,36.1
24,07-Apr-20,India_Chattisgarh,23.7,37.5
25,08-Apr-20,India_Chattisgarh,24.8,37.3
26,09-Apr-20,India_Chattisgarh,21.7,35.9
27,10-Apr-20,India_Chattisgarh,24.1,37.0
28,11-Apr-20,India_Chattisgarh,25.0,37.8
29,12-Apr-20,India_Chattisgarh,25.7,39.5
30,13-Apr-20,India_Chattisgarh,26.9,37.9
31,14-Apr-20,India_Chattisgarh,26.1,39.3
32,15-Apr-20,India_Chattisgarh,26.1,38.7
33,16-Apr-20,India_Chattisgarh,26.4,39.4
34,17-Apr-20,India_Chattisgarh,26.6,39.5
35,18-Apr-20,India_Chattisgarh,27.2,39.6
36,19-Apr-20,India_Chattisgarh,25.6,35.9
37,20-Apr-20,India_Chattisgarh,26.4,39.2
38,21-Apr-20,India_Chattisgarh,27.0,38.6
39,22-Apr-20,India_Chattisgarh,24.3,36.7
40,23-Apr-20,India_Chattisgarh,26.9,38.2
41,24-Apr-20,India_Chattisgarh,25.6,39.2
42,25-Apr-20,India_Chattisgarh,25.2,37.5
43,26-Apr-20,India_Chattisgarh,26.2,34.0
44,27-Apr-20,India_Chattisgarh,24.0,31.1
45,28-Apr-20,India_Chattisgarh,23.4,35.8
46,29-Apr-20,India_Chattisgarh,24.8,36.0
47,30-Apr-20,India_Chattisgarh,26.0,38.5
48,01-May-20,India_Chattisgarh,27.3,39.7
49,02-May-20,India_Chattisgarh,26.1,40.4
50,03-May-20,India_Chattisgarh,27.8,41.5
51,04-May-20,India_Chattisgarh,27.1,40.2
52,05-May-20,India_Chattisgarh,26.4,39.0
53,06-May-20,India_Chattisgarh,27.3,39.0
54,07-May-20,India_Chattisgarh,21.1,37.0
55,08-May-20,India_Chattisgarh,20.7,38.3
56,09-May-20,India_Chattisgarh,22.5,38.5
57,10-May-20,India_Chattisgarh,24.4,34.7
58,11-May-20,India_Chattisgarh,25.6,37.0
59,12-May-20,India_Chattisgarh,26.4,37.8
60,13-May-20,India_Chattisgarh,26.5,38.5
61,14-May-20,India_Chattisgarh,27.3,39.2
62,15-May-20,India_Chattisgarh,28.5,39.2
63,16-May-20,India_Chattisgarh,26.9,37.9
64,17-May-20,India_Chattisgarh,26.3,37.8
65,18-May-20,India_Chattisgarh,27.9,35.1
66,19-May-20,India_Chattisgarh,24.6,37.5
67,20-May-20,India_Chattisgarh,24.9,38.4
68,21-May-20,India_Chattisgarh,26.1,40.0
69,22-May-20,India_Chattisgarh,25.3,43.3
70,23-May-20,India_Chattisgarh,27.8,43.7
71,24-May-20,India_Chattisgarh,28.7,44.2
72,25-May-20,India_Chattisgarh,29.7,44.6
73,26-May-20,India_Chattisgarh,31.4,43.6
74,27-May-20,India_Chattisgarh,31.3,43.6
75,28-May-20,India_Chattisgarh,31.6,42.8
76,29-May-20,India_Chattisgarh,29.6,41.3
77,30-May-20,India_Chattisgarh,23.5,35.6
78,31-May-20,India_Chattisgarh,25.9,37.8
79,01-Jun-20,India_Chattisgarh,25.5,35.8
80,02-Jun-20,India_Chattisgarh,26.9,32.7
81,03-Jun-20,India_Chattisgarh,26.6,31.8
82,04-Jun-20,India_Chattisgarh,26.2,35.4
83,05-Jun-20,India_Chattisgarh,25.9,35.4
84,06-Jun-20,India_Chattisgarh,27.4,36.8
85,07-Jun-20,India_Chattisgarh,28.6,37.5
86,08-Jun-20,India_Chattisgarh,27.4,35.5
87,09-Jun-20,India_Chattisgarh,26.4,38.3
88,10-Jun-20,India_Chattisgarh,26.7,38.2
89,11-Jun-20,India_Chattisgarh,24.1,35.8
90,12-Jun-20,India_Chattisgarh,25.4,32.8
91,13-Jun-20,India_Chattisgarh,25.9,31.6
92,14-Jun-20,India_Chattisgarh,27.8,33.4
93,15-Jun-20,India_Chattisgarh,25.8,31.8
94,16-Jun-20,India_Chattisgarh,25.0,31.1
95,17-Jun-20,India_Chattisgarh,24.0,32.0
