,date,region,min,max
0,14-Mar-20,India_Daman and Diu,15.7,34.4
1,15-Mar-20,India_Daman and Diu,23.0,35.0
2,16-Mar-20,India_Daman and Diu,22.0,34.6
3,17-Mar-20,India_Daman and Diu,23.7,40.1
4,18-Mar-20,India_Daman and Diu,27.0,34.0
5,19-Mar-20,India_Daman and Diu,25.0,33.0
6,20-Mar-20,India_Daman and Diu,26.0,30.0
7,21-Mar-20,India_Daman and Diu,24.0,29.0
8,22-Mar-20,India_Daman and Diu,20.7,35.9
9,23-Mar-20,India_Daman and Diu,26.0,34.0
10,24-Mar-20,India_Daman and Diu,27.0,33.7
11,25-Mar-20,India_Daman and Diu,28.0,31.0
12,26-Mar-20,India_Daman and Diu,28.0,34.0
13,27-Mar-20,India_Daman and Diu,27.0,34.0
14,28-Mar-20,India_Daman and Diu,27.0,35.0
15,29-Mar-20,India_Daman and Diu,25.7,35.0
16,30-Mar-20,India_Daman and Diu,26.7,33.7
17,31-Mar-20,India_Daman and Diu,26.0,33.0
18,01-Apr-20,India_Daman and Diu,26.0,33.0
19,02-Apr-20,India_Daman and Diu,26.0,34.0
20,03-Apr-20,India_Daman and Diu,27.0,34.0
21,04-Apr-20,India_Daman and Diu,26.0,34.0
22,05-Apr-20,India_Daman and Diu,26.0,33.4
23,06-Apr-20,India_Daman and Diu,27.0,33.0
24,07-Apr-20,India_Daman and Diu,22.6,34.7
25,08-Apr-20,India_Daman and Diu,26.0,31.0
26,09-Apr-20,India_Daman and Diu,26.0,32.0
27,10-Apr-20,India_Daman and Diu,27.0,34.0
28,11-Apr-20,India_Daman and Diu,27.0,34.0
29,12-Apr-20,India_Daman and Diu,28.0,35.0
30,13-Apr-20,India_Daman and Diu,28.0,33.0
31,14-Apr-20,India_Daman and Diu,28.0,35.0
32,15-Apr-20,India_Daman and Diu,28.0,34.0
33,16-Apr-20,India_Daman and Diu,28.0,33.0
34,17-Apr-20,India_Daman and Diu,28.0,35.6
35,18-Apr-20,India_Daman and Diu,28.0,34.0
36,19-Apr-20,India_Daman and Diu,29.0,35.0
37,20-Apr-20,India_Daman and Diu,29.0,37.0
38,21-Apr-20,India_Daman and Diu,28.0,34.0
39,22-Apr-20,India_Daman and Diu,28.0,35.2
40,23-Apr-20,India_Daman and Diu,29.0,34.2
41,24-Apr-20,India_Daman and Diu,29.0,34.0
42,25-Apr-20,India_Daman and Diu,29.0,33.5
43,26-Apr-20,India_Daman and Diu,28.0,33.0
44,27-Apr-20,India_Daman and Diu,29.0,32.6
45,28-Apr-20,India_Daman and Diu,28.0,35.3
46,29-Apr-20,India_Daman and Diu,29.0,34.0
47,30-Apr-20,India_Daman and Diu,30.0,33.0
48,01-May-20,India_Daman and Diu,30.0,33.0
49,02-May-20,India_Daman and Diu,29.0,33.0
50,03-May-20,India_Daman and Diu,29.0,33.0
51,04-May-20,India_Daman and Diu,28.3,34.1
52,05-May-20,India_Daman and Diu,25.4,38.0
53,06-May-20,India_Daman and Diu,28.8,36.6
54,07-May-20,India_Daman and Diu,26.9,33.0
55,08-May-20,India_Daman and Diu,25.9,35.7
56,09-May-20,India_Daman and Diu,29.0,33.0
57,10-May-20,India_Daman and Diu,27.7,33.1
58,11-May-20,India_Daman and Diu,29.0,34.2
59,12-May-20,India_Daman and Diu,28.0,34.0
60,13-May-20,India_Daman and Diu,29.0,33.0
61,14-May-20,India_Daman and Diu,29.0,34.8
62,15-May-20,India_Daman and Diu,30.0,34.4
63,16-May-20,India_Daman and Diu,28.7,33.0
64,17-May-20,India_Daman and Diu,30.0,33.0
65,18-May-20,India_Daman and Diu,29.5,33.0
66,19-May-20,India_Daman and Diu,29.0,32.0
67,20-May-20,India_Daman and Diu,29.0,33.0
68,21-May-20,India_Daman and Diu,29.0,33.0
69,22-May-20,India_Daman and Diu,30.0,34.0
70,23-May-20,India_Daman and Diu,27.4,35.4
71,24-May-20,India_Daman and Diu,30.0,33.0
72,25-May-20,India_Daman and Diu,29.1,33.0
73,26-May-20,India_Daman and Diu,27.6,35.3
74,27-May-20,India_Daman and Diu,30.0,33.0
75,28-May-20,India_Daman and Diu,28.9,33.0
76,29-May-20,India_Daman and Diu,30.0,34.0
77,30-May-20,India_Daman and Diu,30.0,35.0
78,31-May-20,India_Daman and Diu,31.0,35.0
79,01-Jun-20,India_Daman and Diu,27.0,32.0
80,02-Jun-20,India_Daman and Diu,26.1,32.0
81,03-Jun-20,India_Daman and Diu,23.9,28.0
82,04-Jun-20,India_Daman and Diu,23.0,30.0
83,05-Jun-20,India_Daman and Diu,24.0,33.0
84,06-Jun-20,India_Daman and Diu,24.0,32.0
85,07-Jun-20,India_Daman and Diu,28.0,32.0
86,08-Jun-20,India_Daman and Diu,25.0,31.0
87,09-Jun-20,India_Daman and Diu,28.0,32.0
88,10-Jun-20,India_Daman and Diu,28.0,33.7
89,11-Jun-20,India_Daman and Diu,27.0,32.0
90,12-Jun-20,India_Daman and Diu,28.0,31.0
91,13-Jun-20,India_Daman and Diu,27.0,31.0
92,14-Jun-20,India_Daman and Diu,27.0,32.0
93,15-Jun-20,India_Daman and Diu,28.0,32.0
94,16-Jun-20,India_Daman and Diu,28.0,30.4
95,17-Jun-20,India_Daman and Diu,28.0,31.0
96,14-Mar-20,India_Delhi,16.6,28.3
97,15-Mar-20,India_Delhi,12.2,25.6
98,16-Mar-20,India_Delhi,13.1,27.1
99,17-Mar-20,India_Delhi,13.6,27.8
100,18-Mar-20,India_Delhi,13.7,29.3
101,19-Mar-20,India_Delhi,16.0,29.8
102,20-Mar-20,India_Delhi,16.6,31.5
103,21-Mar-20,India_Delhi,17.9,31.2
104,22-Mar-20,India_Delhi,16.0,30.8
105,23-Mar-20,India_Delhi,16.8,31.7
106,24-Mar-20,India_Delhi,18.6,31.8
107,25-Mar-20,India_Delhi,17.0,33.0
108,26-Mar-20,India_Delhi,19.0,33.1
109,27-Mar-20,India_Delhi,19.6,29.2
110,28-Mar-20,India_Delhi,15.8,27.6
111,29-Mar-20,India_Delhi,16.2,29.9
112,30-Mar-20,India_Delhi,15.9,30.6
113,31-Mar-20,India_Delhi,16.5,32.2
114,01-Apr-20,India_Delhi,17.0,32.6
115,02-Apr-20,India_Delhi,17.6,32.7
116,03-Apr-20,India_Delhi,15.5,31.6
117,04-Apr-20,India_Delhi,14.6,32.5
118,05-Apr-20,India_Delhi,16.9,33.5
119,06-Apr-20,India_Delhi,18.8,36.1
120,07-Apr-20,India_Delhi,17.9,36.6
121,08-Apr-20,India_Delhi,18.9,34.2
122,09-Apr-20,India_Delhi,16.3,33.0
123,10-Apr-20,India_Delhi,17.4,35.5
124,11-Apr-20,India_Delhi,19.9,37.2
125,12-Apr-20,India_Delhi,19.9,36.9
126,13-Apr-20,India_Delhi,20.9,38.1
127,14-Apr-20,India_Delhi,23.7,39.4
128,15-Apr-20,India_Delhi,24.0,40.5
129,16-Apr-20,India_Delhi,22.4,40.1
130,17-Apr-20,India_Delhi,25.7,40.0
131,18-Apr-20,India_Delhi,24.6,37.8
132,19-Apr-20,India_Delhi,19.3,37.9
133,20-Apr-20,India_Delhi,20.6,35.2
134,21-Apr-20,India_Delhi,19.1,34.4
135,22-Apr-20,India_Delhi,19.1,36.0
136,23-Apr-20,India_Delhi,23.2,36.1
137,24-Apr-20,India_Delhi,20.4,36.7
138,25-Apr-20,India_Delhi,24.0,38.4
139,26-Apr-20,India_Delhi,21.4,37.9
140,27-Apr-20,India_Delhi,18.8,33.5
141,28-Apr-20,India_Delhi,22.1,33.8
142,29-Apr-20,India_Delhi,22.9,35.7
143,30-Apr-20,India_Delhi,24.8,38.0
144,01-May-20,India_Delhi,24.4,39.2
145,02-May-20,India_Delhi,24.4,39.6
146,03-May-20,India_Delhi,23.6,38.3
147,04-May-20,India_Delhi,19.9,34.8
148,05-May-20,India_Delhi,22.5,37.9
149,06-May-20,India_Delhi,23.4,37.9
150,07-May-20,India_Delhi,21.7,39.1
151,08-May-20,India_Delhi,23.2,39.7
152,09-May-20,India_Delhi,25.4,41.2
153,10-May-20,India_Delhi,24.7,41.6
154,11-May-20,India_Delhi,20.5,36.2
155,12-May-20,India_Delhi,23.9,37.2
156,13-May-20,India_Delhi,25.8,37.9
157,14-May-20,India_Delhi,25.5,39.0
158,15-May-20,India_Delhi,24.8,38.8
159,16-May-20,India_Delhi,25.6,39.8
160,17-May-20,India_Delhi,25.1,40.8
161,18-May-20,India_Delhi,25.4,40.5
162,19-May-20,India_Delhi,23.4,41.1
163,20-May-20,India_Delhi,22.2,41.8
164,21-May-20,India_Delhi,23.8,42.3
165,22-May-20,India_Delhi,24.1,45.4
166,23-May-20,India_Delhi,26.9,45.4
167,24-May-20,India_Delhi,28.7,45.1
168,25-May-20,India_Delhi,26.9,44.4
169,26-May-20,India_Delhi,28.7,46.2
170,27-May-20,India_Delhi,28.4,46.8
171,28-May-20,India_Delhi,25.9,46.6
172,29-May-20,India_Delhi,22.3,41.0
173,30-May-20,India_Delhi,22.1,36.5
174,31-May-20,India_Delhi,20.1,35.4
175,01-Jun-20,India_Delhi,20.4,35.1
176,02-Jun-20,India_Delhi,24.1,36.1
177,03-Jun-20,India_Delhi,24.7,36.9
178,04-Jun-20,India_Delhi,25.0,37.7
179,05-Jun-20,India_Delhi,24.1,36.8
180,06-Jun-20,India_Delhi,23.7,36.5
181,07-Jun-20,India_Delhi,22.1,37.5
182,08-Jun-20,India_Delhi,24.9,37.0
183,09-Jun-20,India_Delhi,26.6,40.4
184,10-Jun-20,India_Delhi,27.5,40.6
185,11-Jun-20,India_Delhi,26.9,42.5
186,12-Jun-20,India_Delhi,29.6,41.4
187,13-Jun-20,India_Delhi,30.1,41.8
188,14-Jun-20,India_Delhi,27.6,42.2
189,15-Jun-20,India_Delhi,28.6,41.4
190,16-Jun-20,India_Delhi,31.8,43.2
191,17-Jun-20,India_Delhi,31.0,41.8
