,date,region,min,max
0,14-Mar-20,India_Goa,20.2,32.8
1,15-Mar-20,India_Goa,21.4,33.2
2,16-Mar-20,India_Goa,23.2,32.6
3,17-Mar-20,India_Goa,24.1,33.3
4,18-Mar-20,India_Goa,25.4,34.2
5,19-Mar-20,India_Goa,23.6,33.7
6,20-Mar-20,India_Goa,22.0,34.4
7,21-Mar-20,India_Goa,21.3,32.9
8,22-Mar-20,India_Goa,22.3,32.4
9,23-Mar-20,India_Goa,23.3,32.2
10,24-Mar-20,India_Goa,23.4,33.0
11,25-Mar-20,India_Goa,25.3,33.3
12,26-Mar-20,India_Goa,24.6,32.8
13,27-Mar-20,India_Goa,26.1,33.7
14,28-Mar-20,India_Goa,24.8,32.8
15,29-Mar-20,India_Goa,25.2,33.6
16,30-Mar-20,India_Goa,25.2,34.2
17,31-Mar-20,India_Goa,25.5,34.3
18,01-Apr-20,India_Goa,24.7,34.1
19,02-Apr-20,India_Goa,24.8,33.4
20,03-Apr-20,India_Goa,25.6,33.1
21,04-Apr-20,India_Goa,26.0,33.7
22,05-Apr-20,India_Goa,26.6,33.5
23,06-Apr-20,India_Goa,27.8,33.8
24,07-Apr-20,India_Goa,25.7,33.0
25,08-Apr-20,India_Goa,24.8,33.5
26,09-Apr-20,India_Goa,25.1,34.2
27,10-Apr-20,India_Goa,24.3,34.4
28,11-Apr-20,India_Goa,23.9,34.1
29,12-Apr-20,India_Goa,26.4,34.2
30,13-Apr-20,India_Goa,26.5,33.6
31,14-Apr-20,India_Goa,27.1,32.8
32,15-Apr-20,India_Goa,27.5,34.5
33,16-Apr-20,India_Goa,28.0,34.1
34,17-Apr-20,India_Goa,27.7,34.0
35,18-Apr-20,India_Goa,28.5,33.8
36,19-Apr-20,India_Goa,25.3,34.3
37,20-Apr-20,India_Goa,28.1,34.7
38,21-Apr-20,India_Goa,25.6,34.7
39,22-Apr-20,India_Goa,26.6,34.1
40,23-Apr-20,India_Goa,26.5,33.2
41,24-Apr-20,India_Goa,27.0,34.7
42,25-Apr-20,India_Goa,27.8,34.5
43,26-Apr-20,India_Goa,25.9,34.6
44,27-Apr-20,India_Goa,26.0,35.2
45,28-Apr-20,India_Goa,25.5,34.3
46,29-Apr-20,India_Goa,27.2,34.8
47,30-Apr-20,India_Goa,27.4,34.5
48,01-May-20,India_Goa,28.4,34.2
49,02-May-20,India_Goa,28.2,34.4
50,03-May-20,India_Goa,28.7,34.6
51,04-May-20,India_Goa,28.3,35.1
52,05-May-20,India_Goa,27.3,35.3
53,06-May-20,India_Goa,28.0,35.1
54,07-May-20,India_Goa,29.2,35.0
55,08-May-20,India_Goa,27.2,33.9
56,09-May-20,India_Goa,27.2,34.8
57,10-May-20,India_Goa,27.3,34.8
58,11-May-20,India_Goa,27.0,35.4
59,12-May-20,India_Goa,27.9,35.4
60,13-May-20,India_Goa,26.8,36.0
61,14-May-20,India_Goa,27.4,35.0
62,15-May-20,India_Goa,26.4,34.7
63,16-May-20,India_Goa,28.0,32.6
64,17-May-20,India_Goa,28.2,34.8
65,18-May-20,India_Goa,27.4,33.0
66,19-May-20,India_Goa,28.6,33.9
67,20-May-20,India_Goa,27.3,34.5
68,21-May-20,India_Goa,26.9,34.1
69,22-May-20,India_Goa,27.5,34.3
70,23-May-20,India_Goa,27.3,34.1
71,24-May-20,India_Goa,28.2,34.2
72,25-May-20,India_Goa,28.8,34.8
73,26-May-20,India_Goa,29.0,34.2
74,27-May-20,India_Goa,27.9,34.4
75,28-May-20,India_Goa,27.4,34.5
76,29-May-20,India_Goa,27.5,35.5
77,30-May-20,India_Goa,27.8,36.8
78,31-May-20,India_Goa,26.9,36.8
79,01-Jun-20,India_Goa,25.3,29.0
80,02-Jun-20,India_Goa,23.8,27.6
81,03-Jun-20,India_Goa,23.3,27.4
82,04-Jun-20,India_Goa,24.0,29.1
83,05-Jun-20,India_Goa,22.7,30.1
84,06-Jun-20,India_Goa,23.8,31.5
85,07-Jun-20,India_Goa,23.0,32.3
86,08-Jun-20,India_Goa,22.9,31.2
87,09-Jun-20,India_Goa,24.4,31.1
88,10-Jun-20,India_Goa,25.6,32.0
89,11-Jun-20,India_Goa,22.9,28.3
90,12-Jun-20,India_Goa,23.6,27.7
91,13-Jun-20,India_Goa,23.9,28.5
92,14-Jun-20,India_Goa,23.9,31.0
93,15-Jun-20,India_Goa,25.3,31.5
94,16-Jun-20,India_Goa,24.0,27.2
95,17-Jun-20,India_Goa,23.0,27.4
