,date,region,min,max
0,14-Mar-20,India_Haryana,4,15
1,15-Mar-20,India_Haryana,1.4,18
2,16-Mar-20,India_Haryana,5.1,16
3,17-Mar-20,India_Haryana,6.1,21
4,18-Mar-20,India_Haryana,7.2,17.8
5,19-Mar-20,India_Haryana,6.7,17.7
6,20-Mar-20,India_Haryana,7.7,17.9
7,21-Mar-20,India_Haryana,8.2,18.5
8,22-Mar-20,India_Haryana,5.9,18.8
9,23-Mar-20,India_Haryana,7.6,23
10,24-Mar-20,India_Haryana,9,18.9
11,25-Mar-20,India_Haryana,7,18.2
12,26-Mar-20,India_Haryana,9.6,19.7
13,27-Mar-20,India_Haryana,7.1,18
14,28-Mar-20,India_Haryana,5.8,22
15,29-Mar-20,India_Haryana,7.8,17.1
16,30-Mar-20,India_Haryana,8.2,18.7
17,31-Mar-20,India_Haryana,10.2,18.7
18,01-Apr-20,India_Haryana,6.6,19.3
19,02-Apr-20,India_Haryana,10.4,23
20,03-Apr-20,India_Haryana,6.8,20
21,04-Apr-20,India_Haryana,7.9,19.3
22,05-Apr-20,India_Haryana,13,26
23,06-Apr-20,India_Haryana,9.3,19.2
24,07-Apr-20,India_Haryana,10.6,19.4
25,08-Apr-20,India_Haryana,7.7,19.3
26,09-Apr-20,India_Haryana,12,26
27,10-Apr-20,India_Haryana,13.2,26
28,11-Apr-20,India_Haryana,11.4,21.6
29,12-Apr-20,India_Haryana,12.8,24
30,13-Apr-20,India_Haryana,13.8,24
31,14-Apr-20,India_Haryana,15.5,24.7
32,15-Apr-20,India_Haryana,15.7,25.5
33,16-Apr-20,India_Haryana,14.2,24
34,17-Apr-20,India_Haryana,13.8,24.7
35,18-Apr-20,India_Haryana,7.2,17.7
36,19-Apr-20,India_Haryana,7.7,27
37,20-Apr-20,India_Haryana,9.7,20.7
38,21-Apr-20,India_Haryana,6.8,18.1
39,22-Apr-20,India_Haryana,8.7,19
40,23-Apr-20,India_Haryana,10.3,27
41,24-Apr-20,India_Haryana,11.1,21.6
42,25-Apr-20,India_Haryana,11.7,21.6
43,26-Apr-20,India_Haryana,10.7,22.4
44,27-Apr-20,India_Haryana,10.3,20.1
45,28-Apr-20,India_Haryana,11.8,26
46,29-Apr-20,India_Haryana,10.5,20.9
47,30-Apr-20,India_Haryana,13,21
48,01-May-20,India_Haryana,13.6,26
49,02-May-20,India_Haryana,14.4,23.2
50,03-May-20,India_Haryana,13,24.2
51,04-May-20,India_Haryana,11.6,22.7
52,05-May-20,India_Haryana,11.9,22
53,06-May-20,India_Haryana,11.5,22
54,07-May-20,India_Haryana,8.3,21.3
55,08-May-20,India_Haryana,12.9,28
56,09-May-20,India_Haryana,14.7,28
57,10-May-20,India_Haryana,10.8,24
58,11-May-20,India_Haryana,12.4,28
59,12-May-20,India_Haryana,12.1,23.5
60,13-May-20,India_Haryana,13.2,21
61,14-May-20,India_Haryana,16.2,31
62,15-May-20,India_Haryana,15.8,30
63,16-May-20,India_Haryana,17.4,32
64,17-May-20,India_Haryana,16.8,32
65,18-May-20,India_Haryana,17.8,32
66,19-May-20,India_Haryana,16.4,31
67,20-May-20,India_Haryana,12.8,32
68,21-May-20,India_Haryana,16,27.1
69,22-May-20,India_Haryana,20.2,34
70,23-May-20,India_Haryana,23,34
71,24-May-20,India_Haryana,12.4,29
72,25-May-20,India_Haryana,17.2,27.9
73,26-May-20,India_Haryana,18.9,28.4
74,27-May-20,India_Haryana,14,28.4
75,28-May-20,India_Haryana,12.2,26.2
76,29-May-20,India_Haryana,10.9,26.3
77,30-May-20,India_Haryana,12.6,23.2
78,31-May-20,India_Haryana,12.2,21.3
79,01-Jun-20,India_Haryana,11.2,27
80,02-Jun-20,India_Haryana,12.1,21
81,03-Jun-20,India_Haryana,12.2,22.7
82,04-Jun-20,India_Haryana,12.1,22.6
83,05-Jun-20,India_Haryana,11.6,22.3
84,06-Jun-20,India_Haryana,10.4,27
85,07-Jun-20,India_Haryana,13.6,23.3
86,08-Jun-20,India_Haryana,14.3,24
87,09-Jun-20,India_Haryana,15.1,24.6
88,10-Jun-20,India_Haryana,16.8,25
89,11-Jun-20,India_Haryana,15.7,31
90,12-Jun-20,India_Haryana,21.6,28.3
91,13-Jun-20,India_Haryana,15.6,27.2
92,14-Jun-20,India_Haryana,17.4,29
93,15-Jun-20,India_Haryana,19.6,29
94,16-Jun-20,India_Haryana,22,32
95,17-Jun-20,India_Haryana,21,29
