,date,region,min,max
0,14-Mar-20,India_Himachal Pradesh,13.4,22
1,15-Mar-20,India_Himachal Pradesh,11.4,21.4
2,16-Mar-20,India_Himachal Pradesh,13.6,25.2
3,17-Mar-20,India_Himachal Pradesh,13.0,26.4
4,18-Mar-20,India_Himachal Pradesh,13.8,28
5,19-Mar-20,India_Himachal Pradesh,13.8,29
6,20-Mar-20,India_Himachal Pradesh,15.2,29
7,21-Mar-20,India_Himachal Pradesh,15.0,29
8,22-Mar-20,India_Himachal Pradesh,16.0,29
9,23-Mar-20,India_Himachal Pradesh,15.6,30.4
10,24-Mar-20,India_Himachal Pradesh,16.0,28.6
11,25-Mar-20,India_Himachal Pradesh,15.0,29
12,26-Mar-20,India_Himachal Pradesh,16.6,27.4
13,27-Mar-20,India_Himachal Pradesh,17.2,25.4
14,28-Mar-20,India_Himachal Pradesh,16.4,27
15,29-Mar-20,India_Himachal Pradesh,17.0,28.4
16,30-Mar-20,India_Himachal Pradesh,16.4,27.8
17,31-Mar-20,India_Himachal Pradesh,16.6,27.8
18,01-Apr-20,India_Himachal Pradesh,16.0,29
19,02-Apr-20,India_Himachal Pradesh,17.6,27.6
20,03-Apr-20,India_Himachal Pradesh,14.6,27.6
21,04-Apr-20,India_Himachal Pradesh,14.4,31
22,05-Apr-20,India_Himachal Pradesh,17.6,32.8
23,06-Apr-20,India_Himachal Pradesh,18.0,34.4
24,07-Apr-20,India_Himachal Pradesh,18.8,30.4
25,08-Apr-20,India_Himachal Pradesh,18.4,31
26,09-Apr-20,India_Himachal Pradesh,15.2,32.2
27,10-Apr-20,India_Himachal Pradesh,17.0,36.4
28,11-Apr-20,India_Himachal Pradesh,19.6,34
29,12-Apr-20,India_Himachal Pradesh,19.4,36
30,13-Apr-20,India_Himachal Pradesh,20.4,37.6
31,14-Apr-20,India_Himachal Pradesh,20.0,40.4
32,15-Apr-20,India_Himachal Pradesh,23.0,40.4
33,16-Apr-20,India_Himachal Pradesh,22.8,38.8
34,17-Apr-20,India_Himachal Pradesh,26.0,36.4
35,18-Apr-20,India_Himachal Pradesh,21.0,35
36,19-Apr-20,India_Himachal Pradesh,19.6,35
37,20-Apr-20,India_Himachal Pradesh,20.4,34
38,21-Apr-20,India_Himachal Pradesh,18.4,33.4
39,22-Apr-20,India_Himachal Pradesh,18.4,35
40,23-Apr-20,India_Himachal Pradesh,22.4,29
41,24-Apr-20,India_Himachal Pradesh,19.6,37
42,25-Apr-20,India_Himachal Pradesh,24.0,33.8
43,26-Apr-20,India_Himachal Pradesh,22.0,35.4
44,27-Apr-20,India_Himachal Pradesh,19.0,34.6
45,28-Apr-20,India_Himachal Pradesh,21.4,35.4
46,29-Apr-20,India_Himachal Pradesh,21.2,37.4
47,30-Apr-20,India_Himachal Pradesh,25.0,39.4
48,01-May-20,India_Himachal Pradesh,26.0,41
49,02-May-20,India_Himachal Pradesh,25.4,39
50,03-May-20,India_Himachal Pradesh,21.1,36.4
51,04-May-20,India_Himachal Pradesh,19.4,33.2
52,05-May-20,India_Himachal Pradesh,24.2,35.8
53,06-May-20,India_Himachal Pradesh,22.4,37.6
54,07-May-20,India_Himachal Pradesh,26.0,36.8
55,08-May-20,India_Himachal Pradesh,21.6,39.4
56,09-May-20,India_Himachal Pradesh,23.4,42
57,10-May-20,India_Himachal Pradesh,26.0,34.6
58,11-May-20,India_Himachal Pradesh,22.0,38.4
59,12-May-20,India_Himachal Pradesh,22.4,37.6
60,13-May-20,India_Himachal Pradesh,25.4,35.6
61,14-May-20,India_Himachal Pradesh,23.6,40
62,15-May-20,India_Himachal Pradesh,21.4,37
63,16-May-20,India_Himachal Pradesh,22.6,38.8
64,17-May-20,India_Himachal Pradesh,23.4,40
65,18-May-20,India_Himachal Pradesh,22.4,39.8
66,19-May-20,India_Himachal Pradesh,22.0,40
67,20-May-20,India_Himachal Pradesh,21.8,39
68,21-May-20,India_Himachal Pradesh,21.2,42
69,22-May-20,India_Himachal Pradesh,22.4,44
70,23-May-20,India_Himachal Pradesh,26.2,46
71,24-May-20,India_Himachal Pradesh,26.0,43.4
72,25-May-20,India_Himachal Pradesh,25.8,44
73,26-May-20,India_Himachal Pradesh,27.0,47
74,27-May-20,India_Himachal Pradesh,29.6,46.2
75,28-May-20,India_Himachal Pradesh,25.6,43.2
76,29-May-20,India_Himachal Pradesh,23.6,36.4
77,30-May-20,India_Himachal Pradesh,21.8,35.6
78,31-May-20,India_Himachal Pradesh,22.4,32.2
79,01-Jun-20,India_Himachal Pradesh,21.4,34
80,02-Jun-20,India_Himachal Pradesh,22.4,34
81,03-Jun-20,India_Himachal Pradesh,22.4,35.6
82,04-Jun-20,India_Himachal Pradesh,25.2,37
83,05-Jun-20,India_Himachal Pradesh,23.4,35.4
84,06-Jun-20,India_Himachal Pradesh,25.4,36.2
85,07-Jun-20,India_Himachal Pradesh,27.0,34
86,08-Jun-20,India_Himachal Pradesh,25.4,39
87,09-Jun-20,India_Himachal Pradesh,28.0,41.6
88,10-Jun-20,India_Himachal Pradesh,26.6,43
89,11-Jun-20,India_Himachal Pradesh,24.8,39.4
90,12-Jun-20,India_Himachal Pradesh,29.0,42.4
91,13-Jun-20,India_Himachal Pradesh,29.3,39.8
92,14-Jun-20,India_Himachal Pradesh,27.4,40.6
93,15-Jun-20,India_Himachal Pradesh,28.4,42.6
94,16-Jun-20,India_Himachal Pradesh,29.8,48.3
95,17-Jun-20,India_Himachal Pradesh,33.3,51.7
