,date,region,min,max
0,14-Mar-20,India_Jammu and Kashmir,15,22
1,15-Mar-20,India_Jammu and Kashmir,16,26
2,16-Mar-20,India_Jammu and Kashmir,18,27
3,17-Mar-20,India_Jammu and Kashmir,16,29
4,18-Mar-20,India_Jammu and Kashmir,16,28
5,19-Mar-20,India_Jammu and Kashmir,16,29
6,20-Mar-20,India_Jammu and Kashmir,15,31
7,21-Mar-20,India_Jammu and Kashmir,17,30
8,22-Mar-20,India_Jammu and Kashmir,16,29
9,23-Mar-20,India_Jammu and Kashmir,19,32
10,24-Mar-20,India_Jammu and Kashmir,17,30.3
11,25-Mar-20,India_Jammu and Kashmir,19,31
12,26-Mar-20,India_Jammu and Kashmir,19,33.1
13,27-Mar-20,India_Jammu and Kashmir,21,35.2
14,28-Mar-20,India_Jammu and Kashmir,22,34
15,29-Mar-20,India_Jammu and Kashmir,21,32
16,30-Mar-20,India_Jammu and Kashmir,22,33
17,31-Mar-20,India_Jammu and Kashmir,18,34
18,01-Apr-20,India_Jammu and Kashmir,20,34
19,02-Apr-20,India_Jammu and Kashmir,21,35
20,03-Apr-20,India_Jammu and Kashmir,23,32.8
21,04-Apr-20,India_Jammu and Kashmir,20,35.3
22,05-Apr-20,India_Jammu and Kashmir,20,34
23,06-Apr-20,India_Jammu and Kashmir,20,35
24,07-Apr-20,India_Jammu and Kashmir,21,35
25,08-Apr-20,India_Jammu and Kashmir,19,35
26,09-Apr-20,India_Jammu and Kashmir,18,35.6
27,10-Apr-20,India_Jammu and Kashmir,23,35
28,11-Apr-20,India_Jammu and Kashmir,23,36.4
29,12-Apr-20,India_Jammu and Kashmir,21,36.8
30,13-Apr-20,India_Jammu and Kashmir,21,36
31,14-Apr-20,India_Jammu and Kashmir,23,37.8
32,15-Apr-20,India_Jammu and Kashmir,24,37
33,16-Apr-20,India_Jammu and Kashmir,21,37
34,17-Apr-20,India_Jammu and Kashmir,24.3,38.9
35,18-Apr-20,India_Jammu and Kashmir,25,36
36,19-Apr-20,India_Jammu and Kashmir,23.7,36
37,20-Apr-20,India_Jammu and Kashmir,24,40.4
38,21-Apr-20,India_Jammu and Kashmir,21,32
39,22-Apr-20,India_Jammu and Kashmir,19,33
40,23-Apr-20,India_Jammu and Kashmir,21,32
41,24-Apr-20,India_Jammu and Kashmir,21,33
42,25-Apr-20,India_Jammu and Kashmir,21,32
43,26-Apr-20,India_Jammu and Kashmir,22,30
44,27-Apr-20,India_Jammu and Kashmir,19,30
45,28-Apr-20,India_Jammu and Kashmir,18,30
46,29-Apr-20,India_Jammu and Kashmir,18,28.9
47,30-Apr-20,India_Jammu and Kashmir,20,32
48,01-May-20,India_Jammu and Kashmir,22,33
49,02-May-20,India_Jammu and Kashmir,20,31
50,03-May-20,India_Jammu and Kashmir,20,33
51,04-May-20,India_Jammu and Kashmir,24,34.4
52,05-May-20,India_Jammu and Kashmir,23,33
53,06-May-20,India_Jammu and Kashmir,18,37.7
54,07-May-20,India_Jammu and Kashmir,22,34.9
55,08-May-20,India_Jammu and Kashmir,22,35.6
56,09-May-20,India_Jammu and Kashmir,22,35
57,10-May-20,India_Jammu and Kashmir,21,36
58,11-May-20,India_Jammu and Kashmir,19,32
59,12-May-20,India_Jammu and Kashmir,24,35
60,13-May-20,India_Jammu and Kashmir,23,34.1
61,14-May-20,India_Jammu and Kashmir,23,36
62,15-May-20,India_Jammu and Kashmir,24,39.5
63,16-May-20,India_Jammu and Kashmir,26,39.2
64,17-May-20,India_Jammu and Kashmir,27,41.3
65,18-May-20,India_Jammu and Kashmir,25,38
66,19-May-20,India_Jammu and Kashmir,27,35
67,20-May-20,India_Jammu and Kashmir,22,27.8
68,21-May-20,India_Jammu and Kashmir,22.6,36
69,22-May-20,India_Jammu and Kashmir,23.7,39.5
70,23-May-20,India_Jammu and Kashmir,26.5,38.4
71,24-May-20,India_Jammu and Kashmir,23,42
72,25-May-20,India_Jammu and Kashmir,28.4,40
73,26-May-20,India_Jammu and Kashmir,28.6,38
74,27-May-20,India_Jammu and Kashmir,22,40
75,28-May-20,India_Jammu and Kashmir,23,34.4
76,29-May-20,India_Jammu and Kashmir,22,34
77,30-May-20,India_Jammu and Kashmir,22,35
78,31-May-20,India_Jammu and Kashmir,22,35
79,01-Jun-20,India_Jammu and Kashmir,22,35.2
80,02-Jun-20,India_Jammu and Kashmir,20,33.8
81,03-Jun-20,India_Jammu and Kashmir,22,36.7
82,04-Jun-20,India_Jammu and Kashmir,25,33.5
83,05-Jun-20,India_Jammu and Kashmir,23,34
84,06-Jun-20,India_Jammu and Kashmir,23,34
85,07-Jun-20,India_Jammu and Kashmir,26,34
86,08-Jun-20,India_Jammu and Kashmir,25,35
87,09-Jun-20,India_Jammu and Kashmir,26,34
88,10-Jun-20,India_Jammu and Kashmir,27,36.1
89,11-Jun-20,India_Jammu and Kashmir,24,33
90,12-Jun-20,India_Jammu and Kashmir,24,29
91,13-Jun-20,India_Jammu and Kashmir,24,29
92,14-Jun-20,India_Jammu and Kashmir,25,30
93,15-Jun-20,India_Jammu and Kashmir,24,31
94,16-Jun-20,India_Jammu and Kashmir,24,33
95,17-Jun-20,India_Jammu and Kashmir,24,27.7
