,date,region,min,max
0,14-Mar-20,India_Jharkhand,4.8,13.6
1,15-Mar-20,India_Jharkhand,3.2,16.6
2,16-Mar-20,India_Jharkhand,4.6,18.2
3,17-Mar-20,India_Jharkhand,5.6,19.8
4,18-Mar-20,India_Jharkhand,7.0,19.8
5,19-Mar-20,India_Jharkhand,6.4,20.0
6,20-Mar-20,India_Jharkhand,6.6,19.6
7,21-Mar-20,India_Jharkhand,8.2,13.4
8,22-Mar-20,India_Jharkhand,8.0,17.6
9,23-Mar-20,India_Jharkhand,6.8,19.0
10,24-Mar-20,India_Jharkhand,8.0,12.3
11,25-Mar-20,India_Jharkhand,7.9,12.2
12,26-Mar-20,India_Jharkhand,5.6,14.4
13,27-Mar-20,India_Jharkhand,5.6,10.0
14,28-Mar-20,India_Jharkhand,3.4,11.0
15,29-Mar-20,India_Jharkhand,7.4,16.6
16,30-Mar-20,India_Jharkhand,6.6,15.0
17,31-Mar-20,India_Jharkhand,8.7,13.6
18,01-Apr-20,India_Jharkhand,7.6,14.8
19,02-Apr-20,India_Jharkhand,5.8,13.0
20,03-Apr-20,India_Jharkhand,4.2,16.6
21,04-Apr-20,India_Jharkhand,6.4,20.0
22,05-Apr-20,India_Jharkhand,7.6,19.6
23,06-Apr-20,India_Jharkhand,9.0,16.8
24,07-Apr-20,India_Jharkhand,6.9,16.4
25,08-Apr-20,India_Jharkhand,6.7,16.2
26,09-Apr-20,India_Jharkhand,6.6,17.6
27,10-Apr-20,India_Jharkhand,9.8,19.6
28,11-Apr-20,India_Jharkhand,8.2,23.6
29,12-Apr-20,India_Jharkhand,9.8,24.6
30,13-Apr-20,India_Jharkhand,11.2,21.4
31,14-Apr-20,India_Jharkhand,11.6,19.8
32,15-Apr-20,India_Jharkhand,10.8,16.0
33,16-Apr-20,India_Jharkhand,10.6,18.6
34,17-Apr-20,India_Jharkhand,9.8,14.0
35,18-Apr-20,India_Jharkhand,9.0,11.2
36,19-Apr-20,India_Jharkhand,7.6,13.0
37,20-Apr-20,India_Jharkhand,9.6,17.6
38,21-Apr-20,India_Jharkhand,7.4,20.2
39,22-Apr-20,India_Jharkhand,8.0,21.0
40,23-Apr-20,India_Jharkhand,9.4,23.6
41,24-Apr-20,India_Jharkhand,11.0,25.6
42,25-Apr-20,India_Jharkhand,12.0,23.6
43,26-Apr-20,India_Jharkhand,13.0,23.8
44,27-Apr-20,India_Jharkhand,13.7,21.8
45,28-Apr-20,India_Jharkhand,11.4,23.2
46,29-Apr-20,India_Jharkhand,12.6,25.8
47,30-Apr-20,India_Jharkhand,16.0,26.4
48,01-May-20,India_Jharkhand,13.8,26.0
49,02-May-20,India_Jharkhand,13.5,23.2
50,03-May-20,India_Jharkhand,11.8,18.8
51,04-May-20,India_Jharkhand,12.0,21.2
52,05-May-20,India_Jharkhand,13.2,22.0
53,06-May-20,India_Jharkhand,9.8,19.0
54,07-May-20,India_Jharkhand,8.4,22.8
55,08-May-20,India_Jharkhand,11.0,26.4
56,09-May-20,India_Jharkhand,15.2,25.6
57,10-May-20,India_Jharkhand,12.6,23.6
58,11-May-20,India_Jharkhand,12.6,23.4
59,12-May-20,India_Jharkhand,11.0,23.6
60,13-May-20,India_Jharkhand,14.4,24.0
61,14-May-20,India_Jharkhand,12.0,17.2
62,15-May-20,India_Jharkhand,12.0,22.0
63,16-May-20,India_Jharkhand,12.0,25.6
64,17-May-20,India_Jharkhand,11.4,25.6
65,18-May-20,India_Jharkhand,13.6,18.6
66,19-May-20,India_Jharkhand,10.0,34.0
67,20-May-20,India_Jharkhand,9.8,27.0
68,21-May-20,India_Jharkhand,12.0,27.2
69,22-May-20,India_Jharkhand,12.6,27.6
70,23-May-20,India_Jharkhand,14.0,25.0
71,24-May-20,India_Jharkhand,12.2,26.0
72,25-May-20,India_Jharkhand,14.4,30.0
73,26-May-20,India_Jharkhand,15.2,29.6
74,27-May-20,India_Jharkhand,15.5,29.4
75,28-May-20,India_Jharkhand,16.6,24.0
76,29-May-20,India_Jharkhand,15.0,23.6
77,30-May-20,India_Jharkhand,12.4,20.8
78,31-May-20,India_Jharkhand,14.0,15.4
79,01-Jun-20,India_Jharkhand,12.8,22.4
80,02-Jun-20,India_Jharkhand,13.0,23.4
81,03-Jun-20,India_Jharkhand,13.6,25.0
82,04-Jun-20,India_Jharkhand,13.6,25.8
83,05-Jun-20,India_Jharkhand,14.8,27.6
84,06-Jun-20,India_Jharkhand,15.0,27.4
85,07-Jun-20,India_Jharkhand,14.2,28.0
86,08-Jun-20,India_Jharkhand,17.3,28.4
87,09-Jun-20,India_Jharkhand,14.0,28.2
88,10-Jun-20,India_Jharkhand,15.6,27.6
89,11-Jun-20,India_Jharkhand,15.7,24.8
90,12-Jun-20,India_Jharkhand,13.2,27.8
91,13-Jun-20,India_Jharkhand,15.0,25.2
92,14-Jun-20,India_Jharkhand,15.4,29.4
93,15-Jun-20,India_Jharkhand,15.4,29.0
94,16-Jun-20,India_Jharkhand,16.6,41.0
95,17-Jun-20,India_Jharkhand,27.0,41.0
