,date,region,min,max
0,14-Mar-20,India_Karnataka,20.1,35
1,15-Mar-20,India_Karnataka,20.5,35.7
2,16-Mar-20,India_Karnataka,23.0,35.8
3,17-Mar-20,India_Karnataka,23.0,35.9
4,18-Mar-20,India_Karnataka,23.5,36.8
5,19-Mar-20,India_Karnataka,23.1,36.9
6,20-Mar-20,India_Karnataka,23.4,35.6
7,21-Mar-20,India_Karnataka,21.1,36.1
8,22-Mar-20,India_Karnataka,21.2,35.7
9,23-Mar-20,India_Karnataka,20.9,37.4
10,24-Mar-20,India_Karnataka,22.3,37.4
11,25-Mar-20,India_Karnataka,23.3,36.4
12,26-Mar-20,India_Karnataka,21.9,36.4
13,27-Mar-20,India_Karnataka,23.9,36.2
14,28-Mar-20,India_Karnataka,21.0,36.5
15,29-Mar-20,India_Karnataka,21.0,37
16,30-Mar-20,India_Karnataka,22.5,37.4
17,31-Mar-20,India_Karnataka,22.7,37.4
18,01-Apr-20,India_Karnataka,21.8,37.4
19,02-Apr-20,India_Karnataka,24.3,37.8
20,03-Apr-20,India_Karnataka,24.1,38.2
21,04-Apr-20,India_Karnataka,24.7,38.1
22,05-Apr-20,India_Karnataka,23.8,38.2
23,06-Apr-20,India_Karnataka,22.2,37.7
24,07-Apr-20,India_Karnataka,20.4,35
25,08-Apr-20,India_Karnataka,19.1,36.7
26,09-Apr-20,India_Karnataka,21.0,35.4
27,10-Apr-20,India_Karnataka,22.0,35.9
28,11-Apr-20,India_Karnataka,21.3,36.5
29,12-Apr-20,India_Karnataka,22.3,36.4
30,13-Apr-20,India_Karnataka,23.3,36.5
31,14-Apr-20,India_Karnataka,22.5,37
32,15-Apr-20,India_Karnataka,21.4,37.5
33,16-Apr-20,India_Karnataka,23.9,37
34,17-Apr-20,India_Karnataka,23.4,37.8
35,18-Apr-20,India_Karnataka,22.4,36.4
36,19-Apr-20,India_Karnataka,20.9,36.1
37,20-Apr-20,India_Karnataka,23.2,35.6
38,21-Apr-20,India_Karnataka,23.6,36.7
39,22-Apr-20,India_Karnataka,24.3,36.3
40,23-Apr-20,India_Karnataka,23.4,36.7
41,24-Apr-20,India_Karnataka,24.1,37.7
42,25-Apr-20,India_Karnataka,23.4,37.4
43,26-Apr-20,India_Karnataka,23.9,36.5
44,27-Apr-20,India_Karnataka,21.9,38.1
45,28-Apr-20,India_Karnataka,22.3,37
46,29-Apr-20,India_Karnataka,25.8,38.3
47,30-Apr-20,India_Karnataka,22.8,35
48,01-May-20,India_Karnataka,22.2,36
49,02-May-20,India_Karnataka,21.7,36.5
50,03-May-20,India_Karnataka,21.0,37
51,04-May-20,India_Karnataka,19.9,37.6
52,05-May-20,India_Karnataka,23.9,38
53,06-May-20,India_Karnataka,24.3,38
54,07-May-20,India_Karnataka,20.9,37.6
55,08-May-20,India_Karnataka,22.5,36.9
56,09-May-20,India_Karnataka,24.1,36.4
57,10-May-20,India_Karnataka,23.6,38
58,11-May-20,India_Karnataka,22.4,35.5
59,12-May-20,India_Karnataka,23.0,35.4
60,13-May-20,India_Karnataka,23.9,36.3
61,14-May-20,India_Karnataka,23.7,35.2
62,15-May-20,India_Karnataka,24.0,34.4
63,16-May-20,India_Karnataka,24.0,33.6
64,17-May-20,India_Karnataka,24.4,35
65,18-May-20,India_Karnataka,24.4,34.2
66,19-May-20,India_Karnataka,24.0,35.6
67,20-May-20,India_Karnataka,22.0,35.9
68,21-May-20,India_Karnataka,22.7,35.8
69,22-May-20,India_Karnataka,22.2,36.4
70,23-May-20,India_Karnataka,23.3,37
71,24-May-20,India_Karnataka,23.7,38.2
72,25-May-20,India_Karnataka,25.0,38.5
73,26-May-20,India_Karnataka,20.2,38.2
74,27-May-20,India_Karnataka,24.3,35.8
75,28-May-20,India_Karnataka,22.7,36
76,29-May-20,India_Karnataka,22.6,36.9
77,30-May-20,India_Karnataka,24.8,35.4
78,31-May-20,India_Karnataka,22.8,36
79,01-Jun-20,India_Karnataka,22.6,34.5
80,02-Jun-20,India_Karnataka,22.4,31.5
81,03-Jun-20,India_Karnataka,22.4,30.6
82,04-Jun-20,India_Karnataka,22.0,28.2
83,05-Jun-20,India_Karnataka,22.0,31.8
84,06-Jun-20,India_Karnataka,22.4,32.2
85,07-Jun-20,India_Karnataka,22.3,33
86,08-Jun-20,India_Karnataka,22.5,32.4
87,09-Jun-20,India_Karnataka,22.0,33.1
88,10-Jun-20,India_Karnataka,23.0,33.4
89,11-Jun-20,India_Karnataka,23.3,34
90,12-Jun-20,India_Karnataka,21.5,29.7
91,13-Jun-20,India_Karnataka,21.3,28.8
92,14-Jun-20,India_Karnataka,22.8,30.2
93,15-Jun-20,India_Karnataka,22.9,32
94,16-Jun-20,India_Karnataka,24.0,27
95,17-Jun-20,India_Karnataka,23.0,26.2
