,date,region,min,max
0,14-Mar-20,India_Kerala,26,35
1,15-Mar-20,India_Kerala,25,36
2,16-Mar-20,India_Kerala,26,36
3,17-Mar-20,India_Kerala,26,37
4,18-Mar-20,India_Kerala,26,37
5,19-Mar-20,India_Kerala,26,36
6,20-Mar-20,India_Kerala,25,35
7,21-Mar-20,India_Kerala,26,35
8,22-Mar-20,India_Kerala,25,35
9,23-Mar-20,India_Kerala,27,35
10,24-Mar-20,India_Kerala,25,35
11,25-Mar-20,India_Kerala,27,34
12,26-Mar-20,India_Kerala,25,35
13,27-Mar-20,India_Kerala,25.9,35
14,28-Mar-20,India_Kerala,26,35.8
15,29-Mar-20,India_Kerala,26.3,35
16,30-Mar-20,India_Kerala,25.9,36.3
17,31-Mar-20,India_Kerala,27,37.9
18,01-Apr-20,India_Kerala,26,37
19,02-Apr-20,India_Kerala,26.2,36
20,03-Apr-20,India_Kerala,27,36
21,04-Apr-20,India_Kerala,24.9,36
22,05-Apr-20,India_Kerala,24,34
23,06-Apr-20,India_Kerala,24,34
24,07-Apr-20,India_Kerala,25,31.1
25,08-Apr-20,India_Kerala,24.3,34
26,09-Apr-20,India_Kerala,25,34
27,10-Apr-20,India_Kerala,25,36
28,11-Apr-20,India_Kerala,26,36
29,12-Apr-20,India_Kerala,27,35
30,13-Apr-20,India_Kerala,26.4,35
31,14-Apr-20,India_Kerala,25.6,37
32,15-Apr-20,India_Kerala,24.9,34.9
33,16-Apr-20,India_Kerala,25,35
34,17-Apr-20,India_Kerala,25,35.8
35,18-Apr-20,India_Kerala,26.7,34
36,19-Apr-20,India_Kerala,25,36
37,20-Apr-20,India_Kerala,25,36.2
38,21-Apr-20,India_Kerala,24,35
39,22-Apr-20,India_Kerala,25,34
40,23-Apr-20,India_Kerala,25.4,35.1
41,24-Apr-20,India_Kerala,27,34
42,25-Apr-20,India_Kerala,27,35
43,26-Apr-20,India_Kerala,24,35
44,27-Apr-20,India_Kerala,25,35
45,28-Apr-20,India_Kerala,26,35
46,29-Apr-20,India_Kerala,25,34
47,30-Apr-20,India_Kerala,25.8,35
48,01-May-20,India_Kerala,25,35
49,02-May-20,India_Kerala,26,35
50,03-May-20,India_Kerala,26.5,35
51,04-May-20,India_Kerala,27,35
52,05-May-20,India_Kerala,27,35
53,06-May-20,India_Kerala,23,35
54,07-May-20,India_Kerala,25,35
55,08-May-20,India_Kerala,26,33
56,09-May-20,India_Kerala,25,35
57,10-May-20,India_Kerala,27,34
58,11-May-20,India_Kerala,23,34
59,12-May-20,India_Kerala,26,34
60,13-May-20,India_Kerala,26,33.5
61,14-May-20,India_Kerala,24,35
62,15-May-20,India_Kerala,26,34
63,16-May-20,India_Kerala,26,32
64,17-May-20,India_Kerala,24,34
65,18-May-20,India_Kerala,25,30
66,19-May-20,India_Kerala,25,30
67,20-May-20,India_Kerala,25.2,33
68,21-May-20,India_Kerala,25,32
69,22-May-20,India_Kerala,25.7,33
70,23-May-20,India_Kerala,26.1,34
71,24-May-20,India_Kerala,26.7,32.6
72,25-May-20,India_Kerala,27,34
73,26-May-20,India_Kerala,26.5,34
74,27-May-20,India_Kerala,26.9,33
75,28-May-20,India_Kerala,25,33
76,29-May-20,India_Kerala,25,33
77,30-May-20,India_Kerala,26.7,32
78,31-May-20,India_Kerala,25.2,33
79,01-Jun-20,India_Kerala,26,32
80,02-Jun-20,India_Kerala,23.8,28.4
81,03-Jun-20,India_Kerala,23.5,32
82,04-Jun-20,India_Kerala,24.9,31
83,05-Jun-20,India_Kerala,25,32
84,06-Jun-20,India_Kerala,24.6,29
85,07-Jun-20,India_Kerala,23.3,29
86,08-Jun-20,India_Kerala,25,33
87,09-Jun-20,India_Kerala,25.4,32
88,10-Jun-20,India_Kerala,25,32
89,11-Jun-20,India_Kerala,24.8,31
90,12-Jun-20,India_Kerala,23.8,29
91,13-Jun-20,India_Kerala,25,32
92,14-Jun-20,India_Kerala,24.7,31
93,15-Jun-20,India_Kerala,25,33
94,16-Jun-20,India_Kerala,24,32
95,17-Jun-20,India_Kerala,25.1,31
