,date,region,min,max
0,14-Mar-20,India_Ladakh,-10.7,-2
1,15-Mar-20,India_Ladakh,-12.8,-1.1
2,16-Mar-20,India_Ladakh,-13.3,1.4
3,17-Mar-20,India_Ladakh,-12.1,3.1
4,18-Mar-20,India_Ladakh,-12.4,1.5
5,19-Mar-20,India_Ladakh,-10.7,1.1
6,20-Mar-20,India_Ladakh,-11.1,2.1
7,21-Mar-20,India_Ladakh,-11.1,3.6
8,22-Mar-20,India_Ladakh,-7.7,3.5
9,23-Mar-20,India_Ladakh,-10.5,5.2
10,24-Mar-20,India_Ladakh,-8.9,6.1
11,25-Mar-20,India_Ladakh,-3.2,4
12,26-Mar-20,India_Ladakh,-8.7,5.1
13,27-Mar-20,India_Ladakh,-3.6,3.3
14,28-Mar-20,India_Ladakh,-5.1,2
15,29-Mar-20,India_Ladakh,-8.3,0.9
16,30-Mar-20,India_Ladakh,-10.2,4.4
17,31-Mar-20,India_Ladakh,-6.5,6
18,01-Apr-20,India_Ladakh,-3.5,3.5
19,02-Apr-20,India_Ladakh,-5.7,1.8
20,03-Apr-20,India_Ladakh,-11.8,3
21,04-Apr-20,India_Ladakh,-9.6,3.3
22,05-Apr-20,India_Ladakh,-10.6,5.1
23,06-Apr-20,India_Ladakh,-8.9,3.8
24,07-Apr-20,India_Ladakh,-9.6,5.1
25,08-Apr-20,India_Ladakh,-7.0,2.8
26,09-Apr-20,India_Ladakh,-11.0,6.1
27,10-Apr-20,India_Ladakh,-7.4,7.2
28,11-Apr-20,India_Ladakh,-8.1,9.3
29,12-Apr-20,India_Ladakh,-6.8,11.7
30,13-Apr-20,India_Ladakh,-4.2,12
31,14-Apr-20,India_Ladakh,-2.9,11.6
32,15-Apr-20,India_Ladakh,-0.6,10
33,16-Apr-20,India_Ladakh,-1.9,9.6
34,17-Apr-20,India_Ladakh,-3.0,7.3
35,18-Apr-20,India_Ladakh,-2.5,6.2
36,19-Apr-20,India_Ladakh,-4.1,5.7
37,20-Apr-20,India_Ladakh,-4.6,6.6
38,21-Apr-20,India_Ladakh,-4.2,6.8
39,22-Apr-20,India_Ladakh,-5.0,6.6
40,23-Apr-20,India_Ladakh,-6.5,6.3
41,24-Apr-20,India_Ladakh,-4.4,8.2
42,25-Apr-20,India_Ladakh,-1.4,10.7
43,26-Apr-20,India_Ladakh,-2.6,9.9
44,27-Apr-20,India_Ladakh,-0.8,9.5
45,28-Apr-20,India_Ladakh,1.6,10.7
46,29-Apr-20,India_Ladakh,0.3,10
47,30-Apr-20,India_Ladakh,-1.9,12.2
48,01-May-20,India_Ladakh,1.3,13.8
49,02-May-20,India_Ladakh,-0.6,12.5
50,03-May-20,India_Ladakh,-0.5,11.9
51,04-May-20,India_Ladakh,1.5,11.1
52,05-May-20,India_Ladakh,-2.6,9.8
53,06-May-20,India_Ladakh,-3.4,8.8
54,07-May-20,India_Ladakh,-0.9,4.9
55,08-May-20,India_Ladakh,-3.6,11.9
56,09-May-20,India_Ladakh,-2.4,12.9
57,10-May-20,India_Ladakh,-0.1,12.2
58,11-May-20,India_Ladakh,-0.3,11.8
59,12-May-20,India_Ladakh,-1.1,11.5
60,13-May-20,India_Ladakh,-0.5,13.7
61,14-May-20,India_Ladakh,-0.7,14.2
62,15-May-20,India_Ladakh,1.5,13.4
63,16-May-20,India_Ladakh,-2.1,13.5
64,17-May-20,India_Ladakh,-1.3,12.2
65,18-May-20,India_Ladakh,0.1,8.8
66,19-May-20,India_Ladakh,-3.2,9
67,20-May-20,India_Ladakh,-3.2,12.5
68,21-May-20,India_Ladakh,-1.9,16.5
69,22-May-20,India_Ladakh,-0.6,16.7
70,23-May-20,India_Ladakh,0.6,13.6
71,24-May-20,India_Ladakh,1.4,14.2
72,25-May-20,India_Ladakh,3.1,10.5
73,26-May-20,India_Ladakh,1.5,10.1
74,27-May-20,India_Ladakh,2.0,13
75,28-May-20,India_Ladakh,2.9,14.2
76,29-May-20,India_Ladakh,1.7,7
77,30-May-20,India_Ladakh,1.0,14.5
78,31-May-20,India_Ladakh,5.2,14.2
79,01-Jun-20,India_Ladakh,0.9,13.4
80,02-Jun-20,India_Ladakh,1.6,14.1
81,03-Jun-20,India_Ladakh,5.4,14.7
82,04-Jun-20,India_Ladakh,2.3,14.5
83,05-Jun-20,India_Ladakh,3.1,32.8
84,06-Jun-20,India_Ladakh,2.2,14.2
85,07-Jun-20,India_Ladakh,1.9,12
86,08-Jun-20,India_Ladakh,4.5,16.6
87,09-Jun-20,India_Ladakh,3.6,18.8
88,10-Jun-20,India_Ladakh,4.9,17.8
89,11-Jun-20,India_Ladakh,4.4,17.8
90,12-Jun-20,India_Ladakh,5.8,17.2
91,13-Jun-20,India_Ladakh,3.9,17.7
92,14-Jun-20,India_Ladakh,6.1,17
93,15-Jun-20,India_Ladakh,3.2,16.1
94,16-Jun-20,India_Ladakh,6.5,25.6
95,17-Jun-20,India_Ladakh,15.6,24.4
