,date,region,min,max
0,14-Mar-20,India_Lakshadweep,23,34
1,15-Mar-20,India_Lakshadweep,24,34
2,16-Mar-20,India_Lakshadweep,25,33
3,17-Mar-20,India_Lakshadweep,25,34
4,18-Mar-20,India_Lakshadweep,25,35
5,19-Mar-20,India_Lakshadweep,25,34
6,20-Mar-20,India_Lakshadweep,26,34
7,21-Mar-20,India_Lakshadweep,24,34
8,22-Mar-20,India_Lakshadweep,24,33
9,23-Mar-20,India_Lakshadweep,24,33
10,24-Mar-20,India_Lakshadweep,26,34
11,25-Mar-20,India_Lakshadweep,25,34
12,26-Mar-20,India_Lakshadweep,25,34
13,27-Mar-20,India_Lakshadweep,27.9,31.4
14,28-Mar-20,India_Lakshadweep,27,33
15,29-Mar-20,India_Lakshadweep,26,34
16,30-Mar-20,India_Lakshadweep,27,34
17,31-Mar-20,India_Lakshadweep,28.7,31.6
18,01-Apr-20,India_Lakshadweep,28.1,31.6
19,02-Apr-20,India_Lakshadweep,27,34
20,03-Apr-20,India_Lakshadweep,27,34
21,04-Apr-20,India_Lakshadweep,28,35
22,05-Apr-20,India_Lakshadweep,27,34
23,06-Apr-20,India_Lakshadweep,26,34
24,07-Apr-20,India_Lakshadweep,27,33
25,08-Apr-20,India_Lakshadweep,26,34
26,09-Apr-20,India_Lakshadweep,25,34
27,10-Apr-20,India_Lakshadweep,26,33
28,11-Apr-20,India_Lakshadweep,24,35
29,12-Apr-20,India_Lakshadweep,27,35
30,13-Apr-20,India_Lakshadweep,26,35
31,14-Apr-20,India_Lakshadweep,26,37
32,15-Apr-20,India_Lakshadweep,27,35
33,16-Apr-20,India_Lakshadweep,27,34
34,17-Apr-20,India_Lakshadweep,27,34
35,18-Apr-20,India_Lakshadweep,27,34
36,19-Apr-20,India_Lakshadweep,27,35
37,20-Apr-20,India_Lakshadweep,28,35
38,21-Apr-20,India_Lakshadweep,27,35
39,22-Apr-20,India_Lakshadweep,27,35
40,23-Apr-20,India_Lakshadweep,29.2,33.3
41,24-Apr-20,India_Lakshadweep,27,35
42,25-Apr-20,India_Lakshadweep,26,34
43,26-Apr-20,India_Lakshadweep,25,35
44,27-Apr-20,India_Lakshadweep,25,35
45,28-Apr-20,India_Lakshadweep,26,34
46,29-Apr-20,India_Lakshadweep,27,36
47,30-Apr-20,India_Lakshadweep,27,35
48,01-May-20,India_Lakshadweep,26,34
49,02-May-20,India_Lakshadweep,25,33
50,03-May-20,India_Lakshadweep,24,35
51,04-May-20,India_Lakshadweep,26,35
52,05-May-20,India_Lakshadweep,27,35
53,06-May-20,India_Lakshadweep,25,36
54,07-May-20,India_Lakshadweep,29,35
55,08-May-20,India_Lakshadweep,25,32
56,09-May-20,India_Lakshadweep,27,35
57,10-May-20,India_Lakshadweep,27,35
58,11-May-20,India_Lakshadweep,26,36
59,12-May-20,India_Lakshadweep,24,35
60,13-May-20,India_Lakshadweep,28,34
61,14-May-20,India_Lakshadweep,26,35
62,15-May-20,India_Lakshadweep,26,34
63,16-May-20,India_Lakshadweep,27,33
64,17-May-20,India_Lakshadweep,28,35
65,18-May-20,India_Lakshadweep,29.4,32
66,19-May-20,India_Lakshadweep,27,32
67,20-May-20,India_Lakshadweep,28,33
68,21-May-20,India_Lakshadweep,28,33
69,22-May-20,India_Lakshadweep,27,33
70,23-May-20,India_Lakshadweep,27,33
71,24-May-20,India_Lakshadweep,29,34
72,25-May-20,India_Lakshadweep,28,34
73,26-May-20,India_Lakshadweep,28,34
74,27-May-20,India_Lakshadweep,29,34
75,28-May-20,India_Lakshadweep,28,33
76,29-May-20,India_Lakshadweep,28.8,33
77,30-May-20,India_Lakshadweep,25,33
78,31-May-20,India_Lakshadweep,26,33
79,01-Jun-20,India_Lakshadweep,25,30
80,02-Jun-20,India_Lakshadweep,25,29.4
81,03-Jun-20,India_Lakshadweep,28.8,30.8
82,04-Jun-20,India_Lakshadweep,25,31.4
83,05-Jun-20,India_Lakshadweep,25,31.8
84,06-Jun-20,India_Lakshadweep,24,31
85,07-Jun-20,India_Lakshadweep,24,31
86,08-Jun-20,India_Lakshadweep,24,31.4
87,09-Jun-20,India_Lakshadweep,25,31
88,10-Jun-20,India_Lakshadweep,25,30.6
89,11-Jun-20,India_Lakshadweep,23,31.4
90,12-Jun-20,India_Lakshadweep,23,30
91,13-Jun-20,India_Lakshadweep,24,30.4
92,14-Jun-20,India_Lakshadweep,24,30.6
93,15-Jun-20,India_Lakshadweep,24,30
94,16-Jun-20,India_Lakshadweep,24,28.1
95,17-Jun-20,India_Lakshadweep,23,29.6
