,date,region,min,max
0,14-Mar-20,India_Madhya Pradesh,12.4,28.6
1,15-Mar-20,India_Madhya Pradesh,14.6,26.0
2,16-Mar-20,India_Madhya Pradesh,13.0,28.8
3,17-Mar-20,India_Madhya Pradesh,15.0,31.0
4,18-Mar-20,India_Madhya Pradesh,19.0,33.0
5,19-Mar-20,India_Madhya Pradesh,19.0,33.0
6,20-Mar-20,India_Madhya Pradesh,20.0,31.0
7,21-Mar-20,India_Madhya Pradesh,16.0,32.0
8,22-Mar-20,India_Madhya Pradesh,16.0,33.4
9,23-Mar-20,India_Madhya Pradesh,19.0,36.0
10,24-Mar-20,India_Madhya Pradesh,21.0,35.0
11,25-Mar-20,India_Madhya Pradesh,20.0,35.4
12,26-Mar-20,India_Madhya Pradesh,20.0,32.0
13,27-Mar-20,India_Madhya Pradesh,18.4,23.7
14,28-Mar-20,India_Madhya Pradesh,17.8,29.0
15,29-Mar-20,India_Madhya Pradesh,19.4,32.2
16,30-Mar-20,India_Madhya Pradesh,21.8,34.6
17,31-Mar-20,India_Madhya Pradesh,22.6,36.4
18,01-Apr-20,India_Madhya Pradesh,20.4,35.4
19,02-Apr-20,India_Madhya Pradesh,19.6,34.0
20,03-Apr-20,India_Madhya Pradesh,20.6,34.0
21,04-Apr-20,India_Madhya Pradesh,20.6,34.6
22,05-Apr-20,India_Madhya Pradesh,22.0,36.0
23,06-Apr-20,India_Madhya Pradesh,20.4,37.2
24,07-Apr-20,India_Madhya Pradesh,22.0,37.6
25,08-Apr-20,India_Madhya Pradesh,23.4,37.0
26,09-Apr-20,India_Madhya Pradesh,21.4,36.4
27,10-Apr-20,India_Madhya Pradesh,23.8,37.0
28,11-Apr-20,India_Madhya Pradesh,24.2,37.8
29,12-Apr-20,India_Madhya Pradesh,22.8,38.4
30,13-Apr-20,India_Madhya Pradesh,23.4,38.0
31,14-Apr-20,India_Madhya Pradesh,24.8,40.2
32,15-Apr-20,India_Madhya Pradesh,25.6,39.8
33,16-Apr-20,India_Madhya Pradesh,24.0,39.4
34,17-Apr-20,India_Madhya Pradesh,26.4,39.4
35,18-Apr-20,India_Madhya Pradesh,26.8,35.4
36,19-Apr-20,India_Madhya Pradesh,26.0,37.0
37,20-Apr-20,India_Madhya Pradesh,22.6,37.0
38,21-Apr-20,India_Madhya Pradesh,21.2,34.8
39,22-Apr-20,India_Madhya Pradesh,22.4,37.2
40,23-Apr-20,India_Madhya Pradesh,25.0,38.4
41,24-Apr-20,India_Madhya Pradesh,24.0,39.4
42,25-Apr-20,India_Madhya Pradesh,27.0,38.0
43,26-Apr-20,India_Madhya Pradesh,24.2,37.0
44,27-Apr-20,India_Madhya Pradesh,23.8,36.0
45,28-Apr-20,India_Madhya Pradesh,24.0,37.0
46,29-Apr-20,India_Madhya Pradesh,24.4,39.0
47,30-Apr-20,India_Madhya Pradesh,26.6,38.0
48,01-May-20,India_Madhya Pradesh,25.4,39.6
49,02-May-20,India_Madhya Pradesh,25.2,41.2
50,03-May-20,India_Madhya Pradesh,27.8,41.0
51,04-May-20,India_Madhya Pradesh,25.4,41.2
52,05-May-20,India_Madhya Pradesh,25.0,38.0
53,06-May-20,India_Madhya Pradesh,25.6,39.0
54,07-May-20,India_Madhya Pradesh,25.0,40.8
55,08-May-20,India_Madhya Pradesh,25.2,41.0
56,09-May-20,India_Madhya Pradesh,27.0,41.0
57,10-May-20,India_Madhya Pradesh,25.2,41.8
58,11-May-20,India_Madhya Pradesh,23.4,37.4
59,12-May-20,India_Madhya Pradesh,24.8,36.6
60,13-May-20,India_Madhya Pradesh,26.2,39.4
61,14-May-20,India_Madhya Pradesh,26.0,38.4
62,15-May-20,India_Madhya Pradesh,27.4,40.4
63,16-May-20,India_Madhya Pradesh,27.0,39.6
64,17-May-20,India_Madhya Pradesh,25.4,40.4
65,18-May-20,India_Madhya Pradesh,25.4,39.8
66,19-May-20,India_Madhya Pradesh,25.6,40.4
67,20-May-20,India_Madhya Pradesh,27.0,40.6
68,21-May-20,India_Madhya Pradesh,22.2,41.6
69,22-May-20,India_Madhya Pradesh,27.6,42.2
70,23-May-20,India_Madhya Pradesh,30.2,42.6
71,24-May-20,India_Madhya Pradesh,29.8,43.2
72,25-May-20,India_Madhya Pradesh,29.0,44.0
