,date,region,min,max
0,14-Mar-20,India_Maharashtra,8.4,23
1,15-Mar-20,India_Maharashtra,13.0,23
2,16-Mar-20,India_Maharashtra,12.0,25
3,17-Mar-20,India_Maharashtra,9.0,22
4,18-Mar-20,India_Maharashtra,10.0,21
5,19-Mar-20,India_Maharashtra,9.4,23
6,20-Mar-20,India_Maharashtra,10.4,22
7,21-Mar-20,India_Maharashtra,11.0,23
8,22-Mar-20,India_Maharashtra,10.4,21
9,23-Mar-20,India_Maharashtra,10.2,23
10,24-Mar-20,India_Maharashtra,9.8,24
11,25-Mar-20,India_Maharashtra,11.4,25
12,26-Mar-20,India_Maharashtra,11.0,33
13,27-Mar-20,India_Maharashtra,13.0,31
14,28-Mar-20,India_Maharashtra,15.2,30
15,29-Mar-20,India_Maharashtra,14.5,29
16,30-Mar-20,India_Maharashtra,12.0,26
17,31-Mar-20,India_Maharashtra,12.9,24
18,01-Apr-20,India_Maharashtra,13.0,25
19,02-Apr-20,India_Maharashtra,14.9,27
20,03-Apr-20,India_Maharashtra,14.8,27
21,04-Apr-20,India_Maharashtra,13.4,25
22,05-Apr-20,India_Maharashtra,13.6,25
23,06-Apr-20,India_Maharashtra,12.4,27
24,07-Apr-20,India_Maharashtra,14.4,26
25,08-Apr-20,India_Maharashtra,16.4,26.2
26,09-Apr-20,India_Maharashtra,12.0,25
27,10-Apr-20,India_Maharashtra,15.6,24
28,11-Apr-20,India_Maharashtra,14.0,24
29,12-Apr-20,India_Maharashtra,12.4,25
30,13-Apr-20,India_Maharashtra,14.0,27
31,14-Apr-20,India_Maharashtra,16.4,28
32,15-Apr-20,India_Maharashtra,13.4,27
33,16-Apr-20,India_Maharashtra,13.2,28
34,17-Apr-20,India_Maharashtra,13.0,24
35,18-Apr-20,India_Maharashtra,13.2,23
36,19-Apr-20,India_Maharashtra,14.5,26
37,20-Apr-20,India_Maharashtra,13.8,25
38,21-Apr-20,India_Maharashtra,14.5,21.2
39,22-Apr-20,India_Maharashtra,14.0,23
40,23-Apr-20,India_Maharashtra,12.4,24
41,24-Apr-20,India_Maharashtra,12.8,23
42,25-Apr-20,India_Maharashtra,12.3,23
43,26-Apr-20,India_Maharashtra,14.0,25
44,27-Apr-20,India_Maharashtra,14.7,26
45,28-Apr-20,India_Maharashtra,15.0,25
46,29-Apr-20,India_Maharashtra,13.4,25
47,30-Apr-20,India_Maharashtra,13.8,26
48,01-May-20,India_Maharashtra,13.6,26
49,02-May-20,India_Maharashtra,14.9,25
50,03-May-20,India_Maharashtra,14.6,24
51,04-May-20,India_Maharashtra,15.0,27
52,05-May-20,India_Maharashtra,14.8,22.6
53,06-May-20,India_Maharashtra,14.2,26
54,07-May-20,India_Maharashtra,14.0,25
55,08-May-20,India_Maharashtra,15.0,26
56,09-May-20,India_Maharashtra,14.2,28
57,10-May-20,India_Maharashtra,15.4,28
58,11-May-20,India_Maharashtra,16.6,27
59,12-May-20,India_Maharashtra,17.2,27
60,13-May-20,India_Maharashtra,16.2,25
61,14-May-20,India_Maharashtra,16.0,25
62,15-May-20,India_Maharashtra,16.2,27
63,16-May-20,India_Maharashtra,17.4,27
64,17-May-20,India_Maharashtra,16.5,27
65,18-May-20,India_Maharashtra,16.7,29
66,19-May-20,India_Maharashtra,17.4,29
67,20-May-20,India_Maharashtra,16.0,28
68,21-May-20,India_Maharashtra,16.6,32.2
69,22-May-20,India_Maharashtra,17.5,20.4
70,23-May-20,India_Maharashtra,17.6,27
71,24-May-20,India_Maharashtra,18.6,26
72,25-May-20,India_Maharashtra,16.0,26
73,26-May-20,India_Maharashtra,16.8,25
74,27-May-20,India_Maharashtra,14.0,26
75,28-May-20,India_Maharashtra,15.0,28
76,29-May-20,India_Maharashtra,15.0,26
77,30-May-20,India_Maharashtra,15.9,28
78,31-May-20,India_Maharashtra,17.0,28
79,01-Jun-20,India_Maharashtra,16.1,28
80,02-Jun-20,India_Maharashtra,17.5,30
81,03-Jun-20,India_Maharashtra,18.2,29
82,04-Jun-20,India_Maharashtra,17.4,29
83,05-Jun-20,India_Maharashtra,18.3,27
84,06-Jun-20,India_Maharashtra,17.6,29
85,07-Jun-20,India_Maharashtra,17.7,29
86,08-Jun-20,India_Maharashtra,16.9,31
87,09-Jun-20,India_Maharashtra,17.8,31
88,10-Jun-20,India_Maharashtra,18.3,30
89,11-Jun-20,India_Maharashtra,18.4,31
90,12-Jun-20,India_Maharashtra,18.4,30
91,13-Jun-20,India_Maharashtra,19.0,29
92,14-Jun-20,India_Maharashtra,18.8,29
93,15-Jun-20,India_Maharashtra,19.2,31
94,16-Jun-20,India_Maharashtra,19.1,34
95,17-Jun-20,India_Maharashtra,21.5,33
