,date,region,min,max
0,14-Mar-20,India_Manipur,11.3,27.7
1,15-Mar-20,India_Manipur,12.0,30.8
2,16-Mar-20,India_Manipur,13.0,28.7
3,17-Mar-20,India_Manipur,11.0,26.4
4,18-Mar-20,India_Manipur,11.1,26.0
5,19-Mar-20,India_Manipur,10.0,27.2
6,20-Mar-20,India_Manipur,10.4,25.6
7,21-Mar-20,India_Manipur,10.9,24.8
8,22-Mar-20,India_Manipur,11.0,24.8
9,23-Mar-20,India_Manipur,11.9,26.6
10,24-Mar-20,India_Manipur,11.0,26.4
11,25-Mar-20,India_Manipur,13.0,26.8
12,26-Mar-20,India_Manipur,14.0,26.4
13,27-Mar-20,India_Manipur,14.3,27.2
14,28-Mar-20,India_Manipur,14.8,28.0
15,29-Mar-20,India_Manipur,16.0,30.6
16,30-Mar-20,India_Manipur,16.7,29.8
17,31-Mar-20,India_Manipur,12.0,30.4
18,01-Apr-20,India_Manipur,10.5,30.8
19,02-Apr-20,India_Manipur,12.8,30.8
20,03-Apr-20,India_Manipur,14.7,30.8
21,04-Apr-20,India_Manipur,13.6,31.2
22,05-Apr-20,India_Manipur,14.0,30.4
23,06-Apr-20,India_Manipur,15.2,29.4
24,07-Apr-20,India_Manipur,14.2,29.8
25,08-Apr-20,India_Manipur,15.8,30.0
26,09-Apr-20,India_Manipur,16.2,30.8
27,10-Apr-20,India_Manipur,16.3,31.3
28,11-Apr-20,India_Manipur,15.5,32.2
29,12-Apr-20,India_Manipur,16.4,31.8
30,13-Apr-20,India_Manipur,15.0,30.6
31,14-Apr-20,India_Manipur,15.9,32.8
32,15-Apr-20,India_Manipur,16.6,32.8
33,16-Apr-20,India_Manipur,15.5,33.1
34,17-Apr-20,India_Manipur,16.0,27.0
35,18-Apr-20,India_Manipur,15.5,21.4
36,19-Apr-20,India_Manipur,14.0,29.8
37,20-Apr-20,India_Manipur,16.0,30.0
38,21-Apr-20,India_Manipur,17.0,29.0
39,22-Apr-20,India_Manipur,16.5,29.5
40,23-Apr-20,India_Manipur,15.2,27.4
41,24-Apr-20,India_Manipur,13.7,19.6
42,25-Apr-20,India_Manipur,15.2,25.4
43,26-Apr-20,India_Manipur,14.3,26.2
44,27-Apr-20,India_Manipur,17.2,24.6
45,28-Apr-20,India_Manipur,16.0,26.0
46,29-Apr-20,India_Manipur,17.7,25.6
47,30-Apr-20,India_Manipur,18.2,26.0
48,01-May-20,India_Manipur,17.5,27.4
49,02-May-20,India_Manipur,17.3,26.2
50,03-May-20,India_Manipur,18.4,27.0
51,04-May-20,India_Manipur,16.4,27.8
52,05-May-20,India_Manipur,18.9,28.6
53,06-May-20,India_Manipur,18.9,28.0
54,07-May-20,India_Manipur,17.2,29.6
55,08-May-20,India_Manipur,17.6,29.8
56,09-May-20,India_Manipur,16.9,30.4
57,10-May-20,India_Manipur,16.3,31.8
58,11-May-20,India_Manipur,17.3,32.2
59,12-May-20,India_Manipur,19.5,32.6
60,13-May-20,India_Manipur,18.0,24.8
61,14-May-20,India_Manipur,19.0,29.8
62,15-May-20,India_Manipur,18.0,29.0
63,16-May-20,India_Manipur,20.0,28.4
64,17-May-20,India_Manipur,19.4,30.6
65,18-May-20,India_Manipur,20.2,33.4
66,19-May-20,India_Manipur,21.8,31.4
67,20-May-20,India_Manipur,21.9,29.4
68,21-May-20,India_Manipur,22.0,27.0
69,22-May-20,India_Manipur,21.4,30.8
70,23-May-20,India_Manipur,20.4,29.4
71,24-May-20,India_Manipur,21.0,31.0
72,25-May-20,India_Manipur,19.0,26.4
73,26-May-20,India_Manipur,20.5,29.8
74,27-May-20,India_Manipur,17.4,25.0
75,28-May-20,India_Manipur,17.0,24.6
76,29-May-20,India_Manipur,18.1,23.6
77,30-May-20,India_Manipur,18.0,25.6
78,31-May-20,India_Manipur,19.0,27.4
79,01-Jun-20,India_Manipur,19.0,25.4
80,02-Jun-20,India_Manipur,18.0,26.4
81,03-Jun-20,India_Manipur,19.0,26.2
82,04-Jun-20,India_Manipur,20.0,26.9
83,05-Jun-20,India_Manipur,19.0,28.6
84,06-Jun-20,India_Manipur,21.0,26.8
85,07-Jun-20,India_Manipur,20.8,29.4
86,08-Jun-20,India_Manipur,21.0,30.8
87,09-Jun-20,India_Manipur,22.0,31.0
88,10-Jun-20,India_Manipur,23.0,30.6
89,11-Jun-20,India_Manipur,22.0,28.0
90,12-Jun-20,India_Manipur,21.0,29.2
91,13-Jun-20,India_Manipur,21.0,29.8
92,14-Jun-20,India_Manipur,22.6,31.6
93,15-Jun-20,India_Manipur,21.0,31.6
94,16-Jun-20,India_Manipur,21.3,27.0
95,17-Jun-20,India_Manipur,21.0,26.0
