,date,region,min,max
0,14-Mar-20,India_Meghalaya,19,32
1,15-Mar-20,India_Meghalaya,18,33
2,16-Mar-20,India_Meghalaya,19,34
3,17-Mar-20,India_Meghalaya,23,35
4,18-Mar-20,India_Meghalaya,23,36
5,19-Mar-20,India_Meghalaya,21,35
6,20-Mar-20,India_Meghalaya,20,34
7,21-Mar-20,India_Meghalaya,17,34
8,22-Mar-20,India_Meghalaya,21,34
9,23-Mar-20,India_Meghalaya,21,36
10,24-Mar-20,India_Meghalaya,21,37
11,25-Mar-20,India_Meghalaya,21.3,36
12,26-Mar-20,India_Meghalaya,20,32
13,27-Mar-20,India_Meghalaya,21,33
14,28-Mar-20,India_Meghalaya,21,35
15,29-Mar-20,India_Meghalaya,23,36
16,30-Mar-20,India_Meghalaya,21,35
17,31-Mar-20,India_Meghalaya,21,35
18,01-Apr-20,India_Meghalaya,21,36
19,02-Apr-20,India_Meghalaya,22,37
20,03-Apr-20,India_Meghalaya,23,38
21,04-Apr-20,India_Meghalaya,23,38
22,05-Apr-20,India_Meghalaya,21,38
23,06-Apr-20,India_Meghalaya,24,38
24,07-Apr-20,India_Meghalaya,21,37
25,08-Apr-20,India_Meghalaya,21,37
26,09-Apr-20,India_Meghalaya,23,37
27,10-Apr-20,India_Meghalaya,23,38
28,11-Apr-20,India_Meghalaya,23,38
29,12-Apr-20,India_Meghalaya,24,39
30,13-Apr-20,India_Meghalaya,25,38
31,14-Apr-20,India_Meghalaya,24,40
32,15-Apr-20,India_Meghalaya,26,40
33,16-Apr-20,India_Meghalaya,26,40
34,17-Apr-20,India_Meghalaya,27,40
35,18-Apr-20,India_Meghalaya,25,40
36,19-Apr-20,India_Meghalaya,27,38
37,20-Apr-20,India_Meghalaya,25,39
38,21-Apr-20,India_Meghalaya,24,39
39,22-Apr-20,India_Meghalaya,25,39
40,23-Apr-20,India_Meghalaya,25.1,40
41,24-Apr-20,India_Meghalaya,27,39
42,25-Apr-20,India_Meghalaya,25,37
43,26-Apr-20,India_Meghalaya,24,38
44,27-Apr-20,India_Meghalaya,26,37
45,28-Apr-20,India_Meghalaya,22.8,40
46,29-Apr-20,India_Meghalaya,25,39
47,30-Apr-20,India_Meghalaya,27,41
48,01-May-20,India_Meghalaya,26,41
49,02-May-20,India_Meghalaya,29,41
50,03-May-20,India_Meghalaya,29,41
51,04-May-20,India_Meghalaya,27,41
52,05-May-20,India_Meghalaya,28,41
53,06-May-20,India_Meghalaya,28,40
54,07-May-20,India_Meghalaya,28,41
55,08-May-20,India_Meghalaya,25,41
56,09-May-20,India_Meghalaya,28,41
57,10-May-20,India_Meghalaya,23,39
58,11-May-20,India_Meghalaya,22,39
