,date,region,min,max
0,14-Mar-20,India_Punjab,24,32.4
1,15-Mar-20,India_Punjab,24.2,32.3
2,16-Mar-20,India_Punjab,24.8,32.7
3,17-Mar-20,India_Punjab,25.1,33.0
4,18-Mar-20,India_Punjab,24.6,33.0
5,19-Mar-20,India_Punjab,24.3,33.0
6,20-Mar-20,India_Punjab,23.7,33.0
7,21-Mar-20,India_Punjab,25.1,33.4
8,22-Mar-20,India_Punjab,25.5,32.8
9,23-Mar-20,India_Punjab,25.4,33.4
10,24-Mar-20,India_Punjab,24.3,32.7
11,25-Mar-20,India_Punjab,24.1,32.5
12,26-Mar-20,India_Punjab,24.5,33.0
13,27-Mar-20,India_Punjab,25.1,32.8
14,28-Mar-20,India_Punjab,23.9,33.0
15,29-Mar-20,India_Punjab,23.5,32.9
16,30-Mar-20,India_Punjab,23.5,33.0
17,31-Mar-20,India_Punjab,23.9,32.8
18,01-Apr-20,India_Punjab,24.3,33.4
19,02-Apr-20,India_Punjab,25.4,33.3
20,03-Apr-20,India_Punjab,26.4,33.4
21,04-Apr-20,India_Punjab,25,34.0
22,05-Apr-20,India_Punjab,27,34.0
23,06-Apr-20,India_Punjab,27.3,34.2
24,07-Apr-20,India_Punjab,27.2,34.4
25,08-Apr-20,India_Punjab,27.5,34.4
26,09-Apr-20,India_Punjab,26.8,33.7
27,10-Apr-20,India_Punjab,25,34.0
28,11-Apr-20,India_Punjab,26.5,33.9
29,12-Apr-20,India_Punjab,25.4,34.0
30,13-Apr-20,India_Punjab,24.8,34.4
31,14-Apr-20,India_Punjab,24.7,34.0
32,15-Apr-20,India_Punjab,25.6,34.0
33,16-Apr-20,India_Punjab,25.2,34.9
34,17-Apr-20,India_Punjab,26.9,35.0
35,18-Apr-20,India_Punjab,27,34.8
36,19-Apr-20,India_Punjab,27.3,34.9
37,20-Apr-20,India_Punjab,26.8,34.8
38,21-Apr-20,India_Punjab,26,34.9
39,22-Apr-20,India_Punjab,26.6,34.6
40,23-Apr-20,India_Punjab,26.7,34.8
41,24-Apr-20,India_Punjab,27,34.9
42,25-Apr-20,India_Punjab,28,35.5
43,26-Apr-20,India_Punjab,26.1,35.8
44,27-Apr-20,India_Punjab,26.7,33.9
45,28-Apr-20,India_Punjab,28.1,34.8
46,29-Apr-20,India_Punjab,27.2,35.6
47,30-Apr-20,India_Punjab,26.8,36.2
48,01-May-20,India_Punjab,27.1,35.3
49,02-May-20,India_Punjab,27.8,35.6
50,03-May-20,India_Punjab,27.5,35.4
51,04-May-20,India_Punjab,27.5,35.0
52,05-May-20,India_Punjab,26.9,35.2
53,06-May-20,India_Punjab,27.2,35.2
54,07-May-20,India_Punjab,28.1,35.3
55,08-May-20,India_Punjab,28,35.9
56,09-May-20,India_Punjab,27.9,36.4
57,10-May-20,India_Punjab,27.6,36.2
58,11-May-20,India_Punjab,27.9,35.3
59,12-May-20,India_Punjab,27.2,35.8
60,13-May-20,India_Punjab,25.5,34.5
61,14-May-20,India_Punjab,27.5,35.0
62,15-May-20,India_Punjab,28.1,36.2
63,16-May-20,India_Punjab,28.2,37.1
64,17-May-20,India_Punjab,28.6,34.0
65,18-May-20,India_Punjab,28.4,37.6
66,19-May-20,India_Punjab,26.8,38.5
67,20-May-20,India_Punjab,28.6,40.7
68,21-May-20,India_Punjab,30.4,37.8
69,22-May-20,India_Punjab,25.6,40.0
70,23-May-20,India_Punjab,28.4,39.2
71,24-May-20,India_Punjab,29.1,36.8
72,25-May-20,India_Punjab,29.1,36.4
73,26-May-20,India_Punjab,29.4,35.8
74,27-May-20,India_Punjab,29.4,35.5
75,28-May-20,India_Punjab,29,37.7
76,29-May-20,India_Punjab,27.1,39.0
77,30-May-20,India_Punjab,29,38.1
78,31-May-20,India_Punjab,28.3,36.6
79,01-Jun-20,India_Punjab,28.2,36.5
80,02-Jun-20,India_Punjab,28.3,37.2
81,03-Jun-20,India_Punjab,27,38.5
82,04-Jun-20,India_Punjab,28.1,38.0
83,05-Jun-20,India_Punjab,26.1,38.6
84,06-Jun-20,India_Punjab,25,39.9
85,07-Jun-20,India_Punjab,26.9,37.8
86,08-Jun-20,India_Punjab,27.1,38.0
87,09-Jun-20,India_Punjab,28.3,39.8
88,10-Jun-20,India_Punjab,28.1,39.0
89,11-Jun-20,India_Punjab,28.2,34.8
90,12-Jun-20,India_Punjab,26.7,35.1
91,13-Jun-20,India_Punjab,26.5,37.5
92,14-Jun-20,India_Punjab,26.5,38.2
93,15-Jun-20,India_Punjab,27.8,39.4
94,16-Jun-20,India_Punjab,30,39.0
95,17-Jun-20,India_Punjab,30,39.0
96,14-Mar-20,India_Rajasthan,16,24.6
97,15-Mar-20,India_Rajasthan,14,25.0
98,16-Mar-20,India_Rajasthan,17.8,27.4
99,17-Mar-20,India_Rajasthan,17,29.0
100,18-Mar-20,India_Rajasthan,19,32.1
101,19-Mar-20,India_Rajasthan,21,33.0
102,20-Mar-20,India_Rajasthan,21,33.6
103,21-Mar-20,India_Rajasthan,18,31.3
104,22-Mar-20,India_Rajasthan,23,33.0
105,23-Mar-20,India_Rajasthan,22,29.0
106,24-Mar-20,India_Rajasthan,24,33.0
107,25-Mar-20,India_Rajasthan,21,34.0
108,26-Mar-20,India_Rajasthan,20,28.0
109,27-Mar-20,India_Rajasthan,18.8,25.0
110,28-Mar-20,India_Rajasthan,18,29.2
111,29-Mar-20,India_Rajasthan,19,31.0
112,30-Mar-20,India_Rajasthan,21,32.0
113,31-Mar-20,India_Rajasthan,22,33.4
114,01-Apr-20,India_Rajasthan,21.7,33.0
115,02-Apr-20,India_Rajasthan,21,33.0
116,03-Apr-20,India_Rajasthan,20,33.2
117,04-Apr-20,India_Rajasthan,19,34.9
118,05-Apr-20,India_Rajasthan,22,35.0
119,06-Apr-20,India_Rajasthan,24,37.0
120,07-Apr-20,India_Rajasthan,20,37.3
121,08-Apr-20,India_Rajasthan,22.8,35.0
122,09-Apr-20,India_Rajasthan,22,35.1
123,10-Apr-20,India_Rajasthan,23,38.5
124,11-Apr-20,India_Rajasthan,26,38.0
125,12-Apr-20,India_Rajasthan,23,38.0
126,13-Apr-20,India_Rajasthan,27,40.0
127,14-Apr-20,India_Rajasthan,30,40.0
128,15-Apr-20,India_Rajasthan,29,38.0
129,16-Apr-20,India_Rajasthan,29,39.0
130,17-Apr-20,India_Rajasthan,29,38.0
131,18-Apr-20,India_Rajasthan,27.5,37.0
132,19-Apr-20,India_Rajasthan,26.7,36.0
133,20-Apr-20,India_Rajasthan,23,30.0
134,21-Apr-20,India_Rajasthan,22,34.3
135,22-Apr-20,India_Rajasthan,25,36.6
