,date,region,min,max
0,14-Mar-20,India_Sikkim,11.2,27
1,15-Mar-20,India_Sikkim,10.8,26
2,16-Mar-20,India_Sikkim,9.0,28
3,17-Mar-20,India_Sikkim,10.0,26
4,18-Mar-20,India_Sikkim,11.0,27
5,19-Mar-20,India_Sikkim,11.2,29
6,20-Mar-20,India_Sikkim,8.8,23
7,21-Mar-20,India_Sikkim,9.6,27
8,22-Mar-20,India_Sikkim,10.8,21
9,23-Mar-20,India_Sikkim,10.6,24
10,24-Mar-20,India_Sikkim,10.6,30
11,25-Mar-20,India_Sikkim,12.0,29
12,26-Mar-20,India_Sikkim,12.2,30
13,27-Mar-20,India_Sikkim,14.3,31
14,28-Mar-20,India_Sikkim,15.2,31
15,29-Mar-20,India_Sikkim,14.0,30
16,30-Mar-20,India_Sikkim,13.0,31
17,31-Mar-20,India_Sikkim,14.2,31
18,01-Apr-20,India_Sikkim,12.4,31
19,02-Apr-20,India_Sikkim,12.0,32
20,03-Apr-20,India_Sikkim,12.8,30
21,04-Apr-20,India_Sikkim,13.0,31
22,05-Apr-20,India_Sikkim,12.6,32
23,06-Apr-20,India_Sikkim,13.4,31
24,07-Apr-20,India_Sikkim,13.4,30
25,08-Apr-20,India_Sikkim,14.5,30
26,09-Apr-20,India_Sikkim,9.8,31
27,10-Apr-20,India_Sikkim,13.8,26
28,11-Apr-20,India_Sikkim,11.8,26
29,12-Apr-20,India_Sikkim,13.0,29
30,13-Apr-20,India_Sikkim,14.2,31
31,14-Apr-20,India_Sikkim,15.6,33
32,15-Apr-20,India_Sikkim,16.1,27
33,16-Apr-20,India_Sikkim,12.8,29
34,17-Apr-20,India_Sikkim,14.0,25
35,18-Apr-20,India_Sikkim,13.8,23
36,19-Apr-20,India_Sikkim,13.3,28
37,20-Apr-20,India_Sikkim,13.7,27
38,21-Apr-20,India_Sikkim,12.6,23
39,22-Apr-20,India_Sikkim,11.8,25
40,23-Apr-20,India_Sikkim,10.9,26
41,24-Apr-20,India_Sikkim,12.2,24
42,25-Apr-20,India_Sikkim,11.8,25
43,26-Apr-20,India_Sikkim,13.0,27
44,27-Apr-20,India_Sikkim,13.5,26
45,28-Apr-20,India_Sikkim,13.0,26
46,29-Apr-20,India_Sikkim,13.0,27
47,30-Apr-20,India_Sikkim,14.0,29
48,01-May-20,India_Sikkim,14.6,29
49,02-May-20,India_Sikkim,14.5,28
50,03-May-20,India_Sikkim,13.9,25
51,04-May-20,India_Sikkim,15.0,27
52,05-May-20,India_Sikkim,15.2,26
53,06-May-20,India_Sikkim,14.7,29
54,07-May-20,India_Sikkim,12.4,31
55,08-May-20,India_Sikkim,11.2,30
56,09-May-20,India_Sikkim,13.3,30
57,10-May-20,India_Sikkim,14.4,32
58,11-May-20,India_Sikkim,15.4,31
59,12-May-20,India_Sikkim,16.0,30
60,13-May-20,India_Sikkim,14.4,25
61,14-May-20,India_Sikkim,15.6,27
62,15-May-20,India_Sikkim,16.4,28
63,16-May-20,India_Sikkim,16.0,29
64,17-May-20,India_Sikkim,17.0,29
65,18-May-20,India_Sikkim,17.2,32
66,19-May-20,India_Sikkim,16.2,31
67,20-May-20,India_Sikkim,15.6,29
68,21-May-20,India_Sikkim,18.2,26
69,22-May-20,India_Sikkim,17.8,25
70,23-May-20,India_Sikkim,16.0,27
71,24-May-20,India_Sikkim,16.6,26
72,25-May-20,India_Sikkim,16.4,26
73,26-May-20,India_Sikkim,15.5,25
74,27-May-20,India_Sikkim,16.0,23
75,28-May-20,India_Sikkim,15.8,30
76,29-May-20,India_Sikkim,14.6,27
77,30-May-20,India_Sikkim,15.2,29
78,31-May-20,India_Sikkim,15.8,30
79,01-Jun-20,India_Sikkim,15.7,29
80,02-Jun-20,India_Sikkim,16.2,31
81,03-Jun-20,India_Sikkim,17.8,29
82,04-Jun-20,India_Sikkim,16.8,29
83,05-Jun-20,India_Sikkim,16.7,28
84,06-Jun-20,India_Sikkim,16.4,29
85,07-Jun-20,India_Sikkim,16.7,31
86,08-Jun-20,India_Sikkim,17.1,32
87,09-Jun-20,India_Sikkim,18.0,33
88,10-Jun-20,India_Sikkim,17.4,31
89,11-Jun-20,India_Sikkim,17.7,32
90,12-Jun-20,India_Sikkim,17.7,30
91,13-Jun-20,India_Sikkim,19.0,29
92,14-Jun-20,India_Sikkim,17.7,33
93,15-Jun-20,India_Sikkim,18.8,33
94,16-Jun-20,India_Sikkim,18.6,34
95,17-Jun-20,India_Sikkim,20.6,33
