,date,region,min,max
0,14-Mar-20,India_Tamil Nadu,22.2,32.2
1,15-Mar-20,India_Tamil Nadu,22.8,32.2
2,16-Mar-20,India_Tamil Nadu,22.2,32.8
3,17-Mar-20,India_Tamil Nadu,23.9,33.9
4,18-Mar-20,India_Tamil Nadu,23.3,34.4
5,19-Mar-20,India_Tamil Nadu,23.8,34.4
6,20-Mar-20,India_Tamil Nadu,22.8,35.6
7,21-Mar-20,India_Tamil Nadu,22.2,33.3
8,22-Mar-20,India_Tamil Nadu,23.3,33.9
9,23-Mar-20,India_Tamil Nadu,23.8,33.9
10,24-Mar-20,India_Tamil Nadu,23.6,34.4
11,25-Mar-20,India_Tamil Nadu,23.2,34.4
12,26-Mar-20,India_Tamil Nadu,23.6,33.3
13,27-Mar-20,India_Tamil Nadu,24.2,35.6
14,28-Mar-20,India_Tamil Nadu,23.8,35.6
15,29-Mar-20,India_Tamil Nadu,23.6,36.1
16,30-Mar-20,India_Tamil Nadu,24.4,34.4
17,31-Mar-20,India_Tamil Nadu,24.4,35.6
18,01-Apr-20,India_Tamil Nadu,24.2,36.1
19,02-Apr-20,India_Tamil Nadu,24.4,36.1
20,03-Apr-20,India_Tamil Nadu,23.8,34.4
21,04-Apr-20,India_Tamil Nadu,23.6,32.2
22,05-Apr-20,India_Tamil Nadu,23.6,35.6
23,06-Apr-20,India_Tamil Nadu,24.6,33.9
24,07-Apr-20,India_Tamil Nadu,25.2,35.0
25,08-Apr-20,India_Tamil Nadu,23.9,34.4
26,09-Apr-20,India_Tamil Nadu,23.3,35.0
27,10-Apr-20,India_Tamil Nadu,22.2,35.0
28,11-Apr-20,India_Tamil Nadu,25.0,35.6
29,12-Apr-20,India_Tamil Nadu,25.6,36.7
30,13-Apr-20,India_Tamil Nadu,25.6,36.7
31,14-Apr-20,India_Tamil Nadu,25.2,37.2
32,15-Apr-20,India_Tamil Nadu,25.6,37.2
33,16-Apr-20,India_Tamil Nadu,24.8,37.2
34,17-Apr-20,India_Tamil Nadu,24.8,37.8
35,18-Apr-20,India_Tamil Nadu,19.8,38.3
36,19-Apr-20,India_Tamil Nadu,20.8,37.9
37,20-Apr-20,India_Tamil Nadu,20.8,38.3
38,21-Apr-20,India_Tamil Nadu,19.8,40.3
39,22-Apr-20,India_Tamil Nadu,21.8,39.3
40,23-Apr-20,India_Tamil Nadu,25.0,40.5
41,24-Apr-20,India_Tamil Nadu,20.8,39.4
42,25-Apr-20,India_Tamil Nadu,21.8,40.3
43,26-Apr-20,India_Tamil Nadu,21.8,38.3
44,27-Apr-20,India_Tamil Nadu,18.8,39.3
45,28-Apr-20,India_Tamil Nadu,19.8,37.3
46,29-Apr-20,India_Tamil Nadu,18.8,37.3
47,30-Apr-20,India_Tamil Nadu,21.8,40.3
48,01-May-20,India_Tamil Nadu,17.8,39.3
49,02-May-20,India_Tamil Nadu,19.8,37.5
50,03-May-20,India_Tamil Nadu,21.8,42.3
51,04-May-20,India_Tamil Nadu,22.8,42.1
52,05-May-20,India_Tamil Nadu,20.8,40.5
53,06-May-20,India_Tamil Nadu,20.8,41.3
54,07-May-20,India_Tamil Nadu,21.8,36.6
55,08-May-20,India_Tamil Nadu,20.8,38.3
56,09-May-20,India_Tamil Nadu,18.8,41.3
57,10-May-20,India_Tamil Nadu,20.8,36.2
58,11-May-20,India_Tamil Nadu,18.8,37.6
59,12-May-20,India_Tamil Nadu,20.8,39.3
60,13-May-20,India_Tamil Nadu,19.8,37.8
61,14-May-20,India_Tamil Nadu,21.8,38.5
62,15-May-20,India_Tamil Nadu,21.8,39.6
63,16-May-20,India_Tamil Nadu,20.8,38.2
64,17-May-20,India_Tamil Nadu,20.8,37.3
65,18-May-20,India_Tamil Nadu,20.8,39.3
66,19-May-20,India_Tamil Nadu,21.8,41.3
67,20-May-20,India_Tamil Nadu,24.8,42.3
68,21-May-20,India_Tamil Nadu,27.6,40.0
69,22-May-20,India_Tamil Nadu,26.7,40.6
70,23-May-20,India_Tamil Nadu,30.0,41.1
71,24-May-20,India_Tamil Nadu,30.0,40.6
72,25-May-20,India_Tamil Nadu,29.4,40.6
73,26-May-20,India_Tamil Nadu,29.4,40.8
74,27-May-20,India_Tamil Nadu,30.0,40.6
75,28-May-20,India_Tamil Nadu,28.6,40.0
76,29-May-20,India_Tamil Nadu,28.8,39.8
77,30-May-20,India_Tamil Nadu,27.2,38.8
78,31-May-20,India_Tamil Nadu,22.2,36.7
79,01-Jun-20,India_Tamil Nadu,22.2,35.6
80,02-Jun-20,India_Tamil Nadu,22.2,34.6
81,03-Jun-20,India_Tamil Nadu,24.4,35.6
82,04-Jun-20,India_Tamil Nadu,24.4,35.6
83,05-Jun-20,India_Tamil Nadu,23.9,36.8
84,06-Jun-20,India_Tamil Nadu,25.6,35.6
85,07-Jun-20,India_Tamil Nadu,25.6,35.0
86,08-Jun-20,India_Tamil Nadu,26.1,35.6
87,09-Jun-20,India_Tamil Nadu,26.1,37.2
88,10-Jun-20,India_Tamil Nadu,23.3,37.6
89,11-Jun-20,India_Tamil Nadu,23.3,32.2
90,12-Jun-20,India_Tamil Nadu,22.6,31.6
91,13-Jun-20,India_Tamil Nadu,23.3,31.8
92,14-Jun-20,India_Tamil Nadu,23.9,32.2
93,15-Jun-20,India_Tamil Nadu,25.0,31.7
94,16-Jun-20,India_Tamil Nadu,23.9,30.0
95,17-Jun-20,India_Tamil Nadu,23.3,29.4
