,date,region,min,max
0,14-Mar-20,India_Telangana,24,36
1,15-Mar-20,India_Telangana,25,35
2,16-Mar-20,India_Telangana,25,37
3,17-Mar-20,India_Telangana,25,37
4,18-Mar-20,India_Telangana,25,36
5,19-Mar-20,India_Telangana,25,37
6,20-Mar-20,India_Telangana,25,39
7,21-Mar-20,India_Telangana,25,38
8,22-Mar-20,India_Telangana,27,37
9,23-Mar-20,India_Telangana,26,38
10,24-Mar-20,India_Telangana,25,37
11,25-Mar-20,India_Telangana,25,37
12,26-Mar-20,India_Telangana,24.9,37
13,27-Mar-20,India_Telangana,23.2,38
14,28-Mar-20,India_Telangana,25,37
15,29-Mar-20,India_Telangana,22.4,38
16,30-Mar-20,India_Telangana,23,37.8
17,31-Mar-20,India_Telangana,22.1,37
18,01-Apr-20,India_Telangana,22,39
19,02-Apr-20,India_Telangana,24.4,38
20,03-Apr-20,India_Telangana,25,38
21,04-Apr-20,India_Telangana,24,38
22,05-Apr-20,India_Telangana,28,38
23,06-Apr-20,India_Telangana,25.8,40
24,07-Apr-20,India_Telangana,28.2,38
25,08-Apr-20,India_Telangana,26.8,38
26,09-Apr-20,India_Telangana,26,38
27,10-Apr-20,India_Telangana,24,36
28,11-Apr-20,India_Telangana,25.3,36.6
29,12-Apr-20,India_Telangana,25.9,38
30,13-Apr-20,India_Telangana,25.8,38
31,14-Apr-20,India_Telangana,25.1,38
32,15-Apr-20,India_Telangana,27,38
33,16-Apr-20,India_Telangana,26.7,40
34,17-Apr-20,India_Telangana,27.7,39
35,18-Apr-20,India_Telangana,28,39
36,19-Apr-20,India_Telangana,27.8,39
37,20-Apr-20,India_Telangana,28,38
38,21-Apr-20,India_Telangana,26.2,39
39,22-Apr-20,India_Telangana,28,40
40,23-Apr-20,India_Telangana,27,40
41,24-Apr-20,India_Telangana,28.8,39
42,25-Apr-20,India_Telangana,29,40
43,26-Apr-20,India_Telangana,26,36
44,27-Apr-20,India_Telangana,26,38.1
45,28-Apr-20,India_Telangana,27,39
46,29-Apr-20,India_Telangana,26.4,37
47,30-Apr-20,India_Telangana,27.5,37
48,01-May-20,India_Telangana,26,39
49,02-May-20,India_Telangana,28,40
50,03-May-20,India_Telangana,29,40
51,04-May-20,India_Telangana,28,39.8
52,05-May-20,India_Telangana,27.4,38.6
53,06-May-20,India_Telangana,28.4,40
54,07-May-20,India_Telangana,29,40
55,08-May-20,India_Telangana,28.9,40
56,09-May-20,India_Telangana,28,40
57,10-May-20,India_Telangana,29,39.1
58,11-May-20,India_Telangana,28.5,40
59,12-May-20,India_Telangana,29,36
60,13-May-20,India_Telangana,26,38.3
61,14-May-20,India_Telangana,28,40
62,15-May-20,India_Telangana,28.9,40
63,16-May-20,India_Telangana,28.6,39.4
64,17-May-20,India_Telangana,25,41
65,18-May-20,India_Telangana,25,34
66,19-May-20,India_Telangana,27.4,38
67,20-May-20,India_Telangana,27.1,41
68,21-May-20,India_Telangana,29,41
69,22-May-20,India_Telangana,28.7,38.6
70,23-May-20,India_Telangana,28.5,41
71,24-May-20,India_Telangana,28.9,41
72,25-May-20,India_Telangana,26,41
73,26-May-20,India_Telangana,28.7,41
74,27-May-20,India_Telangana,29.2,39
75,28-May-20,India_Telangana,28,40
76,29-May-20,India_Telangana,26,38
77,30-May-20,India_Telangana,28.6,37
78,31-May-20,India_Telangana,28,39
79,01-Jun-20,India_Telangana,25,39
80,02-Jun-20,India_Telangana,26,38
81,03-Jun-20,India_Telangana,26,39
82,04-Jun-20,India_Telangana,27.5,38
83,05-Jun-20,India_Telangana,28,39
84,06-Jun-20,India_Telangana,25,38
85,07-Jun-20,India_Telangana,26,37
86,08-Jun-20,India_Telangana,28,37
87,09-Jun-20,India_Telangana,28,38
88,10-Jun-20,India_Telangana,26.9,37
89,11-Jun-20,India_Telangana,27.5,35
90,12-Jun-20,India_Telangana,28,36
91,13-Jun-20,India_Telangana,27,38
92,14-Jun-20,India_Telangana,27.5,39
93,15-Jun-20,India_Telangana,29,39
94,16-Jun-20,India_Telangana,28.1,40
95,17-Jun-20,India_Telangana,27.5,40
