,date,region,min,max
0,14-Mar-20,India_Tripura,20.2,32.6
1,15-Mar-20,India_Tripura,18.6,33.0
2,16-Mar-20,India_Tripura,19.0,32.0
3,17-Mar-20,India_Tripura,19.0,31.0
4,18-Mar-20,India_Tripura,18.2,33.0
5,19-Mar-20,India_Tripura,18.4,32.0
6,20-Mar-20,India_Tripura,20.0,33.0
7,21-Mar-20,India_Tripura,20.0,33.4
8,22-Mar-20,India_Tripura,20.0,31.0
9,23-Mar-20,India_Tripura,18.2,30.6
10,24-Mar-20,India_Tripura,18.4,33.0
11,25-Mar-20,India_Tripura,19.0,34.0
12,26-Mar-20,India_Tripura,19.0,35.0
13,27-Mar-20,India_Tripura,21.4,37.0
14,28-Mar-20,India_Tripura,21.0,37.0
15,29-Mar-20,India_Tripura,22.4,36.0
16,30-Mar-20,India_Tripura,20.4,35.0
17,31-Mar-20,India_Tripura,17.8,35.2
18,01-Apr-20,India_Tripura,17.4,36.0
19,02-Apr-20,India_Tripura,23.9,37.0
20,03-Apr-20,India_Tripura,22.4,36.2
21,04-Apr-20,India_Tripura,20.8,36.0
22,05-Apr-20,India_Tripura,22.4,36.0
23,06-Apr-20,India_Tripura,22.0,37.0
24,07-Apr-20,India_Tripura,24.0,37.4
25,08-Apr-20,India_Tripura,25.0,30.2
26,09-Apr-20,India_Tripura,24.6,36.4
27,10-Apr-20,India_Tripura,23.2,39.0
28,11-Apr-20,India_Tripura,22.6,37.4
29,12-Apr-20,India_Tripura,19.2,30.0
30,13-Apr-20,India_Tripura,19.6,35.0
31,14-Apr-20,India_Tripura,24.2,36.6
32,15-Apr-20,India_Tripura,21.9,34.4
33,16-Apr-20,India_Tripura,20.0,34.0
34,17-Apr-20,India_Tripura,21.2,30.0
35,18-Apr-20,India_Tripura,22.3,34.8
36,19-Apr-20,India_Tripura,21.6,35.2
37,20-Apr-20,India_Tripura,20.7,29.8
38,21-Apr-20,India_Tripura,22.8,32.0
39,22-Apr-20,India_Tripura,23.5,33.6
40,23-Apr-20,India_Tripura,16.8,33.0
41,24-Apr-20,India_Tripura,21.2,30.0
42,25-Apr-20,India_Tripura,20.4,31.0
43,26-Apr-20,India_Tripura,21.3,28.0
44,27-Apr-20,India_Tripura,20.2,33.6
45,28-Apr-20,India_Tripura,22.0,31.2
46,29-Apr-20,India_Tripura,21.8,33.0
47,30-Apr-20,India_Tripura,22.4,31.2
48,01-May-20,India_Tripura,23.0,31.4
49,02-May-20,India_Tripura,23.9,32.2
50,03-May-20,India_Tripura,22.6,31.0
51,04-May-20,India_Tripura,22.8,34.4
52,05-May-20,India_Tripura,22.0,36.0
53,06-May-20,India_Tripura,23.2,28.6
54,07-May-20,India_Tripura,21.9,33.0
55,08-May-20,India_Tripura,21.0,32.8
56,09-May-20,India_Tripura,24.0,36.0
57,10-May-20,India_Tripura,25.8,35.0
58,11-May-20,India_Tripura,25.4,36.6
59,12-May-20,India_Tripura,25.6,37.0
60,13-May-20,India_Tripura,25.8,33.0
61,14-May-20,India_Tripura,24.8,36.2
62,15-May-20,India_Tripura,24.7,34.0
63,16-May-20,India_Tripura,23.6,33.8
64,17-May-20,India_Tripura,24.8,36.6
65,18-May-20,India_Tripura,27.2,37.0
66,19-May-20,India_Tripura,26.3,34.0
67,20-May-20,India_Tripura,24.8,29.0
68,21-May-20,India_Tripura,24.8,29.4
69,22-May-20,India_Tripura,25.6,32.4
70,23-May-20,India_Tripura,27.4,35.8
71,24-May-20,India_Tripura,27.2,35.0
72,25-May-20,India_Tripura,27.8,33.0
73,26-May-20,India_Tripura,27.8,34.0
74,27-May-20,India_Tripura,21.0,26.3
75,28-May-20,India_Tripura,21.4,32.6
76,29-May-20,India_Tripura,24.0,30.0
77,30-May-20,India_Tripura,22.2,30.0
78,31-May-20,India_Tripura,25.4,32.0
79,01-Jun-20,India_Tripura,25.6,35.0
80,02-Jun-20,India_Tripura,26.1,36.0
81,03-Jun-20,India_Tripura,25.4,35.0
82,04-Jun-20,India_Tripura,25.7,29.0
83,05-Jun-20,India_Tripura,23.8,34.2
84,06-Jun-20,India_Tripura,25.0,34.0
85,07-Jun-20,India_Tripura,26.0,33.2
86,08-Jun-20,India_Tripura,23.0,29.6
87,09-Jun-20,India_Tripura,25.6,35.0
88,10-Jun-20,India_Tripura,25.0,33.0
89,11-Jun-20,India_Tripura,26.0,34.0
90,12-Jun-20,India_Tripura,26.0,32.0
91,13-Jun-20,India_Tripura,25.8,28.4
92,14-Jun-20,India_Tripura,26.0,35.0
93,15-Jun-20,India_Tripura,26.4,34.0
94,16-Jun-20,India_Tripura,26.0,33.0
95,17-Jun-20,India_Tripura,25.8,29.0
