,date,region,min,max
0,14-Mar-20,India_Uttar Pradesh,15.6,25.5
1,15-Mar-20,India_Uttar Pradesh,15.8,25.1
2,16-Mar-20,India_Uttar Pradesh,16.0,25.0
3,17-Mar-20,India_Uttar Pradesh,15.0,28.0
4,18-Mar-20,India_Uttar Pradesh,16.0,28.0
5,19-Mar-20,India_Uttar Pradesh,16.0,29.0
6,20-Mar-20,India_Uttar Pradesh,17.0,31.0
7,21-Mar-20,India_Uttar Pradesh,19.8,30.3
8,22-Mar-20,India_Uttar Pradesh,18.0,31.0
9,23-Mar-20,India_Uttar Pradesh,18.8,31.0
10,24-Mar-20,India_Uttar Pradesh,19.0,32.0
11,25-Mar-20,India_Uttar Pradesh,21.0,33.0
12,26-Mar-20,India_Uttar Pradesh,22.2,33.6
13,27-Mar-20,India_Uttar Pradesh,20.0,25.0
14,28-Mar-20,India_Uttar Pradesh,18.0,31.5
15,29-Mar-20,India_Uttar Pradesh,18.0,31.7
16,30-Mar-20,India_Uttar Pradesh,17.0,33.5
17,31-Mar-20,India_Uttar Pradesh,19.2,32.0
18,01-Apr-20,India_Uttar Pradesh,22.4,36.6
19,02-Apr-20,India_Uttar Pradesh,21.4,34.5
20,03-Apr-20,India_Uttar Pradesh,17.0,32.8
21,04-Apr-20,India_Uttar Pradesh,18.5,33.9
22,05-Apr-20,India_Uttar Pradesh,19.0,35.0
23,06-Apr-20,India_Uttar Pradesh,19.0,36.7
24,07-Apr-20,India_Uttar Pradesh,22.6,37.8
25,08-Apr-20,India_Uttar Pradesh,23.0,36.3
26,09-Apr-20,India_Uttar Pradesh,21.8,32.4
27,10-Apr-20,India_Uttar Pradesh,20.0,35.7
28,11-Apr-20,India_Uttar Pradesh,20.0,37.5
29,12-Apr-20,India_Uttar Pradesh,22.0,37.4
30,13-Apr-20,India_Uttar Pradesh,21.0,38.2
31,14-Apr-20,India_Uttar Pradesh,24.0,39.0
32,15-Apr-20,India_Uttar Pradesh,25.0,41.7
33,16-Apr-20,India_Uttar Pradesh,24.4,37.0
34,17-Apr-20,India_Uttar Pradesh,25.0,37.9
35,18-Apr-20,India_Uttar Pradesh,25.2,37.7
36,19-Apr-20,India_Uttar Pradesh,24.4,36.6
37,20-Apr-20,India_Uttar Pradesh,24.0,35.0
38,21-Apr-20,India_Uttar Pradesh,22.0,34.2
39,22-Apr-20,India_Uttar Pradesh,22.8,35.0
40,23-Apr-20,India_Uttar Pradesh,23.0,35.5
