,date,region,min,max
0,14-Mar-20,India_West Bengal,21,31
1,15-Mar-20,India_West Bengal,18,30
2,16-Mar-20,India_West Bengal,22,31
3,17-Mar-20,India_West Bengal,22.4,31
4,18-Mar-20,India_West Bengal,21,32
5,19-Mar-20,India_West Bengal,20,33
6,20-Mar-20,India_West Bengal,22,32
7,21-Mar-20,India_West Bengal,19,33
8,22-Mar-20,India_West Bengal,16,30
9,23-Mar-20,India_West Bengal,20,32
10,24-Mar-20,India_West Bengal,20,32
11,25-Mar-20,India_West Bengal,21,33
12,26-Mar-20,India_West Bengal,22.6,35
13,27-Mar-20,India_West Bengal,23.2,36
14,28-Mar-20,India_West Bengal,26,36
15,29-Mar-20,India_West Bengal,26,36
16,30-Mar-20,India_West Bengal,24,35
17,31-Mar-20,India_West Bengal,25,36
18,01-Apr-20,India_West Bengal,26,38
19,02-Apr-20,India_West Bengal,24,37
20,03-Apr-20,India_West Bengal,26,36
21,04-Apr-20,India_West Bengal,25,37
22,05-Apr-20,India_West Bengal,27.2,37
23,06-Apr-20,India_West Bengal,25,38
24,07-Apr-20,India_West Bengal,27,39
25,08-Apr-20,India_West Bengal,27.4,36
26,09-Apr-20,India_West Bengal,26,36
27,10-Apr-20,India_West Bengal,24.8,37
28,11-Apr-20,India_West Bengal,26,37
29,12-Apr-20,India_West Bengal,24,34
30,13-Apr-20,India_West Bengal,26,36
31,14-Apr-20,India_West Bengal,26,36
32,15-Apr-20,India_West Bengal,23,34
33,16-Apr-20,India_West Bengal,22,33
34,17-Apr-20,India_West Bengal,23.4,37.4
35,18-Apr-20,India_West Bengal,26,33
36,19-Apr-20,India_West Bengal,25,35
37,20-Apr-20,India_West Bengal,20,35
38,21-Apr-20,India_West Bengal,20,27
39,22-Apr-20,India_West Bengal,21,31
40,23-Apr-20,India_West Bengal,22,34
41,24-Apr-20,India_West Bengal,22,33
42,25-Apr-20,India_West Bengal,23,33
43,26-Apr-20,India_West Bengal,24,32
44,27-Apr-20,India_West Bengal,23,29.4
45,28-Apr-20,India_West Bengal,24,28.8
46,29-Apr-20,India_West Bengal,22,32
47,30-Apr-20,India_West Bengal,24,34
48,01-May-20,India_West Bengal,21,32
49,02-May-20,India_West Bengal,21,32
50,03-May-20,India_West Bengal,23,32
51,04-May-20,India_West Bengal,25,35
52,05-May-20,India_West Bengal,25,35
53,06-May-20,India_West Bengal,20,32
54,07-May-20,India_West Bengal,22,34
55,08-May-20,India_West Bengal,21,35
56,09-May-20,India_West Bengal,26,37
57,10-May-20,India_West Bengal,22,36
58,11-May-20,India_West Bengal,22,34
59,12-May-20,India_West Bengal,27,36
60,13-May-20,India_West Bengal,27.2,37
61,14-May-20,India_West Bengal,27,36
62,15-May-20,India_West Bengal,27,37
63,16-May-20,India_West Bengal,29,37
64,17-May-20,India_West Bengal,27.8,39
65,18-May-20,India_West Bengal,27,37
66,19-May-20,India_West Bengal,24,32
67,20-May-20,India_West Bengal,23,27
68,21-May-20,India_West Bengal,23.7,36
69,22-May-20,India_West Bengal,23.8,37.3
70,23-May-20,India_West Bengal,26.6,35.6
71,24-May-20,India_West Bengal,28,34
72,25-May-20,India_West Bengal,29,33
73,26-May-20,India_West Bengal,29,33
74,27-May-20,India_West Bengal,21,33
75,28-May-20,India_West Bengal,23,31
76,29-May-20,India_West Bengal,25,36
77,30-May-20,India_West Bengal,24,36.1
78,31-May-20,India_West Bengal,23,33
79,01-Jun-20,India_West Bengal,23,35
80,02-Jun-20,India_West Bengal,25,36
81,03-Jun-20,India_West Bengal,26,36
82,04-Jun-20,India_West Bengal,28,36
83,05-Jun-20,India_West Bengal,25,36
84,06-Jun-20,India_West Bengal,30,37
85,07-Jun-20,India_West Bengal,25,35
86,08-Jun-20,India_West Bengal,26,36
87,09-Jun-20,India_West Bengal,28,36
88,10-Jun-20,India_West Bengal,29,34
89,11-Jun-20,India_West Bengal,28,30.8
90,12-Jun-20,India_West Bengal,27,31.4
91,13-Jun-20,India_West Bengal,28,32.4
92,14-Jun-20,India_West Bengal,27,31
93,15-Jun-20,India_West Bengal,27,32.4
94,16-Jun-20,India_West Bengal,27,33
95,17-Jun-20,India_West Bengal,28,33
