Province/State,Country/Region,Lat,Long,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,31-Mar-20,01-Apr-20,02-Apr-20,03-Apr-20,04-Apr-20,05-Apr-20,06-Apr-20,07-Apr-20,08-Apr-20,09-Apr-20,10-Apr-20,11-Apr-20,12-Apr-20,13-Apr-20,14-Apr-20,15-Apr-20,16-Apr-20,17-Apr-20,18-Apr-20,19-Apr-20,20-Apr-20,21-Apr-20,22-Apr-20,23-Apr-20,24-Apr-20,25-Apr-20,26-Apr-20,27-Apr-20,28-Apr-20,29-Apr-20,30-Apr-20,01-May-20,02-May-20,03-May-20,04-May-20,05-May-20,06-May-20,07-May-20,08-May-20,09-May-20,10-May-20,11-May-20,12-May-20,13-May-20,14-May-20,15-May-20,16-May-20,17-May-20,18-May-20,19-May-20,20-May-20,21-May-20,22-May-20,23-May-20,24-May-20,25-May-20,26-May-20,27-May-20,28-May-20,29-May-20,30-May-20,31-May-20,01-Jun-20,02-Jun-20,03-Jun-20,04-Jun-20,05-Jun-20,06-Jun-20,07-Jun-20,08-Jun-20,09-Jun-20,10-Jun-20,11-Jun-20,12-Jun-20,13-Jun-20,14-Jun-20,15-Jun-20,16-Jun-20,17-Jun-20
Andaman and Nicobar Islands,India,11.66702557,92.73598262,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,9,10,10,10,10,10,10,10,10,10,11,1,1,1,1,1,1,1,0,1,3,4,5,6,7,11,18,22,22,22,18,18,17,17,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,5,7,8,11,11
Andhra Pradesh,India,14.7504291,78.57002559,1,1,1,1,1,3,3,5,6,7,8,9,10,12,18,20,22,43,109,147,161,189,250,295,305,338,347,365,389,401,420,457,491,500,523,545,565,610,639,669,725,781,814,835,911,970,1014,1051,1027,1051,1062,1093,1094,1012,1015,1004,999,1010,975,987,948,965,1007,953,874,830,816,843,846,881,879,883,938,909,994,1053,1036,1112,1169,1238,1313,1439,1512,1612,1747,1915,2027,2046,2300,2381,2465,2591,2752,2985,3119,3340
Arunachal Pradesh,India,27.10039878,93.61660071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,21,26,36,41,45,47,50,56,55,57,63,82,85,87,91,95,96
Assam,India,26.244156,92.537842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16,23,26,26,26,28,28,29,28,28,29,31,32,30,29,25,22,17,15,15,15,16,16,16,8,8,10,8,13,9,9,9,9,11,10,18,23,26,27,24,24,39,46,48,51,58,71,113,137,153,168,287,332,483,617,693,774,929,1050,1151,1198,1219,1414,1653,1731,1882,2042,2048,1950,2032,1993,2102,2088,2151,2097,2092,2045
Bihar,India,25.78541445,87.4799727,0,0,0,0,0,0,0,0,1,2,2,3,6,8,10,14,14,20,23,25,27,28,28,22,22,23,42,44,48,37,37,36,42,45,47,42,52,69,82,99,124,177,204,219,288,300,337,339,365,360,389,397,373,380,327,307,288,347,366,491,546,580,586,697,839,897,993,1196,1407,1526,1730,1861,1991,2154,2103,2120,2135,2233,2264,2181,2269,2276,2304,2336,2504,2635,2674,2652,2730,2828,2745,2568,2464,2398,2200,2125
Chandigarh,India,30.71999697,76.78000565,0,0,0,0,0,1,5,5,6,7,7,7,7,8,8,8,13,15,17,18,18,15,13,13,11,11,11,12,12,14,14,14,12,12,12,14,13,12,13,13,13,12,13,19,28,39,51,56,70,75,77,80,97,102,113,123,143,146,150,154,158,151,148,137,137,139,139,63,37,38,43,79,75,87,88,96,96,86,90,79,82,82,75,31,34,35,30,36,34,34,45,50,52,50,57,58
Chattisgarh,India,21.295132,81.828232,0,0,0,0,0,1,1,1,1,1,1,3,6,6,7,7,8,7,7,6,6,7,2,2,1,1,9,9,16,21,21,20,16,13,12,11,11,11,11,8,6,6,5,5,5,4,4,4,7,7,21,22,23,23,23,21,16,10,6,5,4,4,10,9,26,36,41,55,69,110,150,188,225,281,281,315,314,344,383,425,430,454,565,630,660,803,858,859,905,971,895,913,943,863,841,756
Dadra and Nagar Haveli,India,20.26657819,73.0166178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,10,13,13,18,18,20,22,27,28,28,33,37,37,45,47
Daman and Diu,India,20.4283,72.8397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,India,28.6699929,77.23000403,5,4,4,5,7,10,14,21,21,24,23,28,29,33,42,64,89,112,144,281,372,423,480,502,547,639,683,862,1023,1102,1451,1500,1505,1550,1593,1643,1668,1603,1498,1476,1518,1604,1702,1987,2177,2182,2291,2362,2510,2802,3123,3403,3572,3925,3983,4230,4454,4781,5031,5041,5034,5310,5254,5278,5405,5409,5638,5720,5898,6214,6412,6617,7006,7223,7690,8470,9142,10058,10893,11565,12333,13488,14447,15311,16229,17125,17712,18543,19581,20871,22212,22742,24032,25002,26351,27741
