,date,Brazil_nan,Russia_nan,Spain_nan,United States_nan
0,2020-01-22,0,0,0,1
1,2020-01-23,0,0,0,1
2,2020-01-24,0,0,0,2
3,2020-01-25,0,0,0,2
4,2020-01-26,0,0,0,5
5,2020-01-27,0,0,0,5
6,2020-01-28,0,0,0,5
7,2020-01-29,0,0,0,5
8,2020-01-30,0,0,0,5
9,2020-01-31,0,2,0,7
10,2020-02-01,0,2,1,8
11,2020-02-02,0,2,1,8
12,2020-02-03,0,2,1,11
13,2020-02-04,0,2,1,11
14,2020-02-05,0,2,1,11
15,2020-02-06,0,2,1,11
16,2020-02-07,0,2,1,11
17,2020-02-08,0,2,1,11
18,2020-02-09,0,2,2,11
19,2020-02-10,0,2,2,11
20,2020-02-11,0,2,2,12
21,2020-02-12,0,2,2,12
22,2020-02-13,0,2,2,13
23,2020-02-14,0,2,2,13
24,2020-02-15,0,2,2,13
25,2020-02-16,0,2,2,13
26,2020-02-17,0,2,2,13
27,2020-02-18,0,2,2,13
28,2020-02-19,0,2,2,13
29,2020-02-20,0,2,2,13
30,2020-02-21,0,2,2,15
31,2020-02-22,0,2,2,15
32,2020-02-23,0,2,2,15
33,2020-02-24,0,2,2,15
34,2020-02-25,0,2,6,15
35,2020-02-26,1,2,13,15
36,2020-02-27,1,2,15,16
37,2020-02-28,1,2,32,16
38,2020-02-29,2,2,45,24
39,2020-03-01,2,2,84,30
40,2020-03-02,2,3,120,53
41,2020-03-03,2,3,165,73
42,2020-03-04,4,3,222,104
43,2020-03-05,4,4,259,174
44,2020-03-06,13,13,400,222
45,2020-03-07,13,13,500,337
46,2020-03-08,20,17,673,451
47,2020-03-09,25,17,1073,519
48,2020-03-10,31,20,1695,711
49,2020-03-11,38,20,2277,1109
50,2020-03-12,52,28,2277,1561
51,2020-03-13,151,45,5232,2157
52,2020-03-14,151,59,6391,2870
53,2020-03-15,162,63,7798,2968
54,2020-03-16,200,90,9942,4360
55,2020-03-17,321,114,11748,6141
56,2020-03-18,372,147,13910,8914
57,2020-03-19,621,199,17963,14153
58,2020-03-20,793,253,20410,19479
59,2020-03-21,1021,306,25374,25818
60,2020-03-22,1546,367,28768,33756
61,2020-03-23,1924,438,35136,43845
62,2020-03-24,2247,495,39885,54108
63,2020-03-25,2554,658,49515,66044
64,2020-03-26,2985,840,57786,84080
65,2020-03-27,3417,1036,65719,102254
66,2020-03-28,3904,1264,73235,122054
67,2020-03-29,4256,1534,80110,141194
68,2020-03-30,4579,1836,87956,162690
69,2020-03-31,5717,2337,95923,188701
70,2020-04-01,6836,2777,104118,214194
71,2020-04-02,8044,3548,112065,244593
72,2020-04-03,9056,4149,119199,276535
73,2020-04-04,10360,4731,126168,309699
74,2020-04-05,11130,5389,131646,337573
75,2020-04-06,12161,6343,136675,367210
76,2020-04-07,14034,7497,141942,397992
77,2020-04-08,16170,8672,148220,429686
78,2020-04-09,18092,10131,153222,464442
79,2020-04-10,19638,11917,158273,497943
80,2020-04-11,20727,13584,163027,527958
81,2020-04-12,22192,15770,166831,556517
82,2020-04-13,23430,18328,170099,581810
83,2020-04-14,25262,21102,172541,608845
84,2020-04-15,28320,24490,177644,637974
85,2020-04-16,30425,27938,184948,669272
86,2020-04-17,33682,32008,190839,701996
87,2020-04-18,36658,36793,191726,730317
88,2020-04-19,38654,42853,198674,756375
89,2020-04-20,40743,47121,200210,783716
90,2020-04-21,43079,52763,204178,809213
91,2020-04-22,45757,57999,208389,837414
92,2020-04-23,50036,62773,213024,871617
93,2020-04-24,54043,68622,202990,907908
94,2020-04-25,59324,74588,205905,940829
95,2020-04-26,63100,80949,207634,968517
96,2020-04-27,67446,87147,209465,990993
97,2020-04-28,73235,93558,210773,1015518
98,2020-04-29,79685,99399,212917,1042926
99,2020-04-30,87187,106498,213435,1072667
100,2020-05-01,92202,114431,215216,1106829
101,2020-05-02,97100,124054,216582,1136024
102,2020-05-03,101826,134687,217466,1161611
103,2020-05-04,108620,145268,218011,1184086
104,2020-05-05,115455,155370,219329,1208271
105,2020-05-06,126611,165929,220325,1233527
106,2020-05-07,135773,177160,221447,1261409
107,2020-05-08,146894,187859,222857,1288566
108,2020-05-09,156061,198676,223578,1314306
109,2020-05-10,162699,209688,224350,1334084
110,2020-05-11,169594,221344,227436,1352962
111,2020-05-12,178214,232243,228030,1374914
112,2020-05-13,190137,242271,228691,1396109
113,2020-05-14,203165,252245,229540,1423726
114,2020-05-15,220291,262843,230183,1449026
115,2020-05-16,233511,272043,230698,1474127
116,2020-05-17,241080,281752,230698,1493131
117,2020-05-18,255368,290678,231606,1514839
118,2020-05-19,271885,299941,232037,1535337
119,2020-05-20,291579,308705,232555,1558949
120,2020-05-21,310087,317554,233037,1584486
121,2020-05-22,330890,326448,234824,1608623
122,2020-05-23,347398,335882,235290,1630450
123,2020-05-24,363211,344481,235772,1651239
124,2020-05-25,374898,353427,235400,1670209
125,2020-05-26,391222,362342,236259,1689057
126,2020-05-27,411821,370680,236259,1707423
127,2020-05-28,438238,379051,237906,1730259
128,2020-05-29,465166,387623,238564,1754747
129,2020-05-30,498440,396575,239228,1778993
130,2020-05-31,514849,405843,239479,1799122
131,2020-06-01,526447,414328,239638,1816476
132,2020-06-02,555383,423186,239932,1837367
133,2020-06-03,584016,431715,240326,1857248
134,2020-06-04,614941,440538,240660,1878543
135,2020-06-05,645771,449256,240978,1903854
136,2020-06-06,672846,458102,241310,1926538
137,2020-06-07,691758,467073,241550,1944309
138,2020-06-08,707412,476043,241717,1961781
139,2020-06-09,739503,484630,241966,1979868
140,2020-06-10,772416,493023,242280,2000702
141,2020-06-11,802828,501800,242707,2023590
142,2020-06-12,828810,510761,243209,2048986
143,2020-06-13,850514,519458,243605,2074526
144,2020-06-14,867624,528267,243928,2094058
145,2020-06-15,888271,536484,244109,2114026
146,2020-06-16,923189,544725,244328,2137731
147,2020-06-17,955377,552549,244683,2163290
