,date,Brazil_nan,Russia_nan,Spain_nan,United States_nan
0,2020-01-22,0,0,0,0
1,2020-01-23,0,0,0,0
2,2020-01-24,0,0,0,0
3,2020-01-25,0,0,0,0
4,2020-01-26,0,0,0,0
5,2020-01-27,0,0,0,0
6,2020-01-28,0,0,0,0
7,2020-01-29,0,0,0,0
8,2020-01-30,0,0,0,0
9,2020-01-31,0,0,0,0
10,2020-02-01,0,0,0,0
11,2020-02-02,0,0,0,0
12,2020-02-03,0,0,0,0
13,2020-02-04,0,0,0,0
14,2020-02-05,0,0,0,0
15,2020-02-06,0,0,0,0
16,2020-02-07,0,0,0,0
17,2020-02-08,0,0,0,0
18,2020-02-09,0,0,0,0
19,2020-02-10,0,0,0,0
20,2020-02-11,0,0,0,0
21,2020-02-12,0,0,0,0
22,2020-02-13,0,0,0,0
23,2020-02-14,0,0,0,0
24,2020-02-15,0,0,0,0
25,2020-02-16,0,0,0,0
26,2020-02-17,0,0,0,0
27,2020-02-18,0,0,0,0
28,2020-02-19,0,0,0,0
29,2020-02-20,0,0,0,0
30,2020-02-21,0,0,0,0
31,2020-02-22,0,0,0,0
32,2020-02-23,0,0,0,0
33,2020-02-24,0,0,0,0
34,2020-02-25,0,0,0,0
35,2020-02-26,0,0,0,0
36,2020-02-27,0,0,0,0
37,2020-02-28,0,0,0,0
38,2020-02-29,0,0,0,1
39,2020-03-01,0,0,0,1
40,2020-03-02,0,0,0,6
41,2020-03-03,0,0,1,7
42,2020-03-04,0,0,2,11
43,2020-03-05,0,0,3,12
44,2020-03-06,0,0,5,14
45,2020-03-07,0,0,10,17
46,2020-03-08,0,0,17,21
47,2020-03-09,0,0,28,22
48,2020-03-10,0,0,35,28
49,2020-03-11,0,0,54,32
50,2020-03-12,0,0,55,43
51,2020-03-13,0,0,133,52
52,2020-03-14,0,0,195,59
53,2020-03-15,0,0,289,72
54,2020-03-16,0,0,342,100
55,2020-03-17,1,0,533,134
56,2020-03-18,3,0,623,191
57,2020-03-19,6,1,830,269
58,2020-03-20,11,1,1043,366
59,2020-03-21,15,1,1375,456
60,2020-03-22,25,1,1772,600
61,2020-03-23,34,1,2311,784
62,2020-03-24,46,1,2808,1019
63,2020-03-25,59,3,3647,1329
64,2020-03-26,77,3,4365,1736
65,2020-03-27,92,4,5138,2284
66,2020-03-28,111,4,5982,2921
67,2020-03-29,136,8,6803,3546
68,2020-03-30,159,9,7716,4352
69,2020-03-31,201,17,8464,5568
70,2020-04-01,240,24,9387,6787
71,2020-04-02,324,30,10348,8349
72,2020-04-03,359,34,11198,9646
73,2020-04-04,445,43,11947,10912
74,2020-04-05,486,45,12641,12323
75,2020-04-06,564,47,13341,13985
76,2020-04-07,686,58,14045,16290
77,2020-04-08,819,63,14792,18369
78,2020-04-09,950,76,15447,20415
79,2020-04-10,1057,94,16081,22486
80,2020-04-11,1124,106,16606,24498
81,2020-04-12,1223,130,17209,26238
82,2020-04-13,1328,148,17756,28036
83,2020-04-14,1532,170,18056,30429
84,2020-04-15,1736,198,18708,32944
85,2020-04-16,1924,232,19315,35031
86,2020-04-17,2141,273,20002,37621
87,2020-04-18,2354,313,20043,39966
88,2020-04-19,2462,361,20453,41148
89,2020-04-20,2587,405,20852,42918
90,2020-04-21,2741,456,21282,45314
91,2020-04-22,2906,513,21717,47649
92,2020-04-23,3331,555,22157,49969
93,2020-04-24,3704,615,22524,51746
94,2020-04-25,4057,681,22902,54015
95,2020-04-26,4286,747,23190,55162
96,2020-04-27,4603,794,23521,56502
97,2020-04-28,5083,867,23822,58632
98,2020-04-29,5513,972,24275,61252
99,2020-04-30,6006,1073,24543,63291
100,2020-05-01,6412,1169,24543,65243
101,2020-05-02,6761,1222,25100,66668
102,2020-05-03,7051,1280,25264,67990
103,2020-05-04,7367,1356,25428,69237
104,2020-05-05,7938,1451,25613,71387
105,2020-05-06,8588,1537,25857,73775
106,2020-05-07,9190,1625,26070,75986
107,2020-05-08,10017,1723,26299,77495
108,2020-05-09,10656,1827,26478,79122
109,2020-05-10,11123,1915,26621,79856
110,2020-05-11,11653,2009,26744,81018
111,2020-05-12,12461,2116,26920,82709
112,2020-05-13,13240,2212,27104,84452
113,2020-05-14,13999,2305,27321,86229
114,2020-05-15,14962,2418,27459,87862
115,2020-05-16,15662,2537,27563,89084
116,2020-05-17,16118,2631,27563,89893
117,2020-05-18,16853,2722,27709,90683
118,2020-05-19,17983,2837,27778,92252
119,2020-05-20,18859,2972,27888,93775
120,2020-05-21,20047,3099,27940,95020
121,2020-05-22,21048,3249,28628,96296
122,2020-05-23,22013,3388,28678,97406
123,2020-05-24,22666,3541,28752,98039
124,2020-05-25,23473,3633,26834,98541
