,date,India_Andaman and Nicobar Islands,India_Andhra Pradesh,India_Arunachal Pradesh,India_Assam,India_Bihar,India_Chandigarh,India_Chattisgarh,India_Dadra and Nagar Haveli,India_Daman and Diu,India_Delhi,India_Goa,India_Gujarat,India_Haryana,India_Himachal Pradesh,India_Jammu and Kashmir,India_Jharkhand,India_Karnataka,India_Kerala,India_Ladakh,India_Lakshadweep,India_Madhya Pradesh,India_Maharashtra,India_Manipur,India_Meghalaya,India_Mizoram,India_Nagaland,India_Odisha,India_Puducherry,India_Punjab,India_Rajasthan,India_Sikkim,India_Tamil Nadu,India_Telangana,India_Tripura,India_Uttar Pradesh,India_Uttarakhand,India_West Bengal
0,2020-03-14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-03-15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-03-16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2020-03-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2020-03-18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2020-03-19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,2020-03-20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,2020-03-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,2020-03-22,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,2020-03-23,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10,2020-03-24,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
11,2020-03-25,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
12,2020-03-26,0,0,0,0,1,0,0,0,0,1,0,3,0,1,1,0,2,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
13,2020-03-27,0,0,0,0,1,0,0,0,0,1,0,3,0,1,1,0,3,0,0,0,2,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
14,2020-03-28,0,0,0,0,1,0,0,0,0,1,0,4,0,1,1,0,3,1,0,0,2,6,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
15,2020-03-29,0,0,0,0,1,0,0,0,0,2,0,5,0,1,1,0,3,1,0,0,2,7,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
16,2020-03-30,0,0,0,0,1,0,0,0,0,2,0,6,0,1,1,0,3,1,0,0,4,9,0,0,0,0,0,0,3,0,0,1,6,0,0,0,2
17,2020-03-31,0,0,0,0,1,0,0,0,0,2,0,6,0,1,2,0,3,2,0,0,5,10,0,0,0,0,0,0,4,0,0,1,6,0,0,0,3
18,2020-04-01,0,0,0,0,1,0,0,0,0,2,0,6,0,1,2,0,3,2,0,0,6,13,0,0,0,0,0,0,4,0,0,1,9,0,2,0,3
19,2020-04-02,0,0,0,0,1,0,0,0,0,4,0,7,0,1,2,0,3,2,0,0,8,21,0,0,0,0,0,0,5,0,0,1,9,0,2,0,3
20,2020-04-03,0,1,0,0,1,0,0,0,0,6,0,9,0,2,2,0,4,2,0,0,8,26,0,0,0,0,0,0,5,0,0,1,11,0,2,0,3
21,2020-04-04,0,1,0,0,1,0,0,0,0,6,0,10,0,2,2,0,4,2,0,0,11,32,0,0,0,0,0,0,5,1,0,3,11,0,2,0,3
