,date,India_Andaman and Nicobar Islands,India_Andhra Pradesh,India_Arunachal Pradesh,India_Assam,India_Bihar,India_Chandigarh,India_Chattisgarh,India_Dadra and Nagar Haveli,India_Daman and Diu,India_Delhi,India_Goa,India_Gujarat,India_Haryana,India_Himachal Pradesh,India_Jammu and Kashmir,India_Jharkhand,India_Karnataka,India_Kerala,India_Ladakh,India_Lakshadweep,India_Madhya Pradesh,India_Maharashtra,India_Manipur,India_Meghalaya,India_Mizoram,India_Nagaland,India_Odisha,India_Puducherry,India_Punjab,India_Rajasthan,India_Sikkim,India_Tamil Nadu,India_Telangana,India_Tripura,India_Uttar Pradesh,India_Uttarakhand,India_West Bengal
0,2020-03-14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
1,2020-03-15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,0
2,2020-03-16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,4,0,0
3,2020-03-17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,5,0,0
4,2020-03-18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,5,0,0
5,2020-03-19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,9,0,0
6,2020-03-20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,9,0,0
7,2020-03-21,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,9,0,0
8,2020-03-22,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,9,0,0
9,2020-03-23,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,9,0,0
10,2020-03-24,0,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,11,0,0
11,2020-03-25,0,1,0,0,0,0,0,0,0,6,0,0,11,0,1,0,3,4,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,11,0,0
12,2020-03-26,0,1,0,0,0,0,0,0,0,6,0,0,11,0,1,0,3,11,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,11,0,0
13,2020-03-27,0,1,0,0,0,0,0,0,0,6,0,0,11,1,1,0,5,11,3,0,0,19,0,0,0,0,0,0,1,3,0,2,1,0,11,0,0
14,2020-03-28,0,1,0,0,0,0,0,0,0,6,0,0,11,2,1,0,5,12,3,0,0,25,0,0,0,0,0,0,1,3,0,2,1,0,11,1,0
15,2020-03-29,0,1,0,0,0,0,0,0,0,6,0,1,11,2,1,0,5,16,3,0,0,25,0,0,0,0,0,0,1,3,0,2,1,0,11,1,0
16,2020-03-30,0,1,0,0,0,0,0,0,0,6,0,3,17,2,1,0,6,20,3,0,0,39,0,0,0,0,0,0,1,3,0,4,14,0,17,2,0
17,2020-03-31,0,1,0,0,0,0,2,0,0,6,0,5,17,2,1,0,8,24,3,0,0,39,0,0,0,0,0,0,1,3,0,6,14,0,17,2,3
18,2020-04-01,0,2,0,0,0,0,2,0,0,6,0,5,27,2,2,0,9,26,3,0,0,39,0,0,0,0,1,0,1,3,0,6,14,0,17,2,3
19,2020-04-02,0,2,0,0,3,0,3,0,0,8,0,10,27,2,3,0,11,28,3,0,0,42,0,0,0,0,1,0,1,3,0,6,17,0,17,2,3
20,2020-04-03,0,2,0,0,3,0,3,0,0,8,0,10,27,2,3,0,11,42,3,0,0,50,0,0,0,0,2,0,1,3,0,6,32,0,17,2,3
21,2020-04-04,0,2,0,0,3,3,3,0,0,16,0,13,28,2,3,0,11,50,3,0,0,52,0,0,0,0,2,0,3,25,0,8,33,0,21,2,3
22,2020-04-05,0,5,0,0,3,5,8,0,0,16,0,21,28,2,4,0,12,56,3,0,3,56,0,0,0,0,2,0,4,25,0,8,33,0,21,4,10
23,2020-04-06,0,5,0,0,9,5,8,0,0,16,0,22,28,2,4,0,20,59,10,0,11,70,1,0,0,0,2,0,4,25,0,13,45,0,21,4,10
24,2020-04-07,0,5,0,0,15,7,9,0,0,20,0,25,30,3,4,0,25,71,10,0,21,79,1,0,0,0,2,1,14,25,0,19,45,0,21,4,13
25,2020-04-08,0,6,0,0,15,7,9,0,0,21,0,25,31,3,6,0,28,84,10,0,25,117,1,0,0,0,2,1,14,45,0,21,45,0,31,5,13
26,2020-04-09,10,10,0,0,15,7,9,0,0,25,0,26,31,3,6,0,30,97,10,0,25,125,1,0,0,0,2,1,18,60,0,27,45,0,31,5,16
27,2020-04-10,10,10,0,0,15,7,9,0,0,27,1,33,35,3,6,0,34,124,11,0,37,188,1,0,0,0,12,1,20,60,0,44,45,0,32,5,16
28,2020-04-11,10,10,0,0,15,7,9,0,0,27,5,44,35,9,6,0,39,143,11,0,38,208,1,0,0,0,12,1,20,116,0,44,96,0,45,5,16
29,2020-04-12,10,12,0,0,26,7,10,0,0,28,5,44,43,13,6,0,54,179,11,0,41,217,1,0,0,0,12,1,23,121,0,50,103,0,45,5,19
30,2020-04-13,10,12,0,0,28,7,10,0,0,31,5,54,50,13,16,0,60,198,12,0,51,229,1,0,0,0,18,1,25,121,0,58,103,0,49,7,29
31,2020-04-14,10,16,0,0,29,7,13,0,0,31,5,59,54,14,30,0,71,211,12,0,64,259,1,0,0,0,18,1,27,147,0,81,110,0,50,9,36
