date,region,min,max
14-Mar-20,India_Andaman and Nicobar Islands,23.8,29.4
15-Mar-20,India_Andaman and Nicobar Islands,24,34.2
16-Mar-20,India_Andaman and Nicobar Islands,26,31.4
17-Mar-20,India_Andaman and Nicobar Islands,26.8,30.8
18-Mar-20,India_Andaman and Nicobar Islands,25.2,32.8
19-Mar-20,India_Andaman and Nicobar Islands,23.6,32.7
20-Mar-20,India_Andaman and Nicobar Islands,23.4,31.2
21-Mar-20,India_Andaman and Nicobar Islands,23.4,31.1
22-Mar-20,India_Andaman and Nicobar Islands,23.8,30.8
23-Mar-20,India_Andaman and Nicobar Islands,23.5,31.5
24-Mar-20,India_Andaman and Nicobar Islands,22.6,31
25-Mar-20,India_Andaman and Nicobar Islands,24.2,32.5
26-Mar-20,India_Andaman and Nicobar Islands,22.8,31.6
27-Mar-20,India_Andaman and Nicobar Islands,24.2,32.2
28-Mar-20,India_Andaman and Nicobar Islands,23.3,31.8
29-Mar-20,India_Andaman and Nicobar Islands,23.7,30.8
30-Mar-20,India_Andaman and Nicobar Islands,23.4,31.2
31-Mar-20,India_Andaman and Nicobar Islands,24.3,31.4
01-Apr-20,India_Andaman and Nicobar Islands,24.6,30.8
02-Apr-20,India_Andaman and Nicobar Islands,23.9,31.4
03-Apr-20,India_Andaman and Nicobar Islands,25.2,31.2
04-Apr-20,India_Andaman and Nicobar Islands,24.7,31.8
05-Apr-20,India_Andaman and Nicobar Islands,24.9,33.4
06-Apr-20,India_Andaman and Nicobar Islands,25.2,32.7
07-Apr-20,India_Andaman and Nicobar Islands,25.6,33.4
08-Apr-20,India_Andaman and Nicobar Islands,25.3,32.4
09-Apr-20,India_Andaman and Nicobar Islands,26.4,31.4
10-Apr-20,India_Andaman and Nicobar Islands,24.7,32.1
11-Apr-20,India_Andaman and Nicobar Islands,25.5,31.6
12-Apr-20,India_Andaman and Nicobar Islands,26.8,32.2
13-Apr-20,India_Andaman and Nicobar Islands,25.7,32
14-Apr-20,India_Andaman and Nicobar Islands,27,31.4
15-Apr-20,India_Andaman and Nicobar Islands,25.4,32.6
16-Apr-20,India_Andaman and Nicobar Islands,25.2,31.6
17-Apr-20,India_Andaman and Nicobar Islands,24.8,31.8
18-Apr-20,India_Andaman and Nicobar Islands,25.4,32.2
19-Apr-20,India_Andaman and Nicobar Islands,26.8,33.2
20-Apr-20,India_Andaman and Nicobar Islands,28.1,32.4
21-Apr-20,India_Andaman and Nicobar Islands,28.6,33.5
22-Apr-20,India_Andaman and Nicobar Islands,27,32
23-Apr-20,India_Andaman and Nicobar Islands,26.4,32.9
24-Apr-20,India_Andaman and Nicobar Islands,26.5,33.2
25-Apr-20,India_Andaman and Nicobar Islands,27,32
26-Apr-20,India_Andaman and Nicobar Islands,26.8,32.9
27-Apr-20,India_Andaman and Nicobar Islands,27.9,31.8
28-Apr-20,India_Andaman and Nicobar Islands,27.5,32.9
29-Apr-20,India_Andaman and Nicobar Islands,25.2,31.8
30-Apr-20,India_Andaman and Nicobar Islands,25.8,32.2
01-May-20,India_Andaman and Nicobar Islands,25.8,33.9
02-May-20,India_Andaman and Nicobar Islands,25.6,32.2
03-May-20,India_Andaman and Nicobar Islands,25.7,31.6
04-May-20,India_Andaman and Nicobar Islands,28.3,32.6
05-May-20,India_Andaman and Nicobar Islands,26.7,33.3
06-May-20,India_Andaman and Nicobar Islands,26.8,32.2
07-May-20,India_Andaman and Nicobar Islands,27,34
08-May-20,India_Andaman and Nicobar Islands,26,32.4
09-May-20,India_Andaman and Nicobar Islands,26.4,33.9
10-May-20,India_Andaman and Nicobar Islands,25.2,32.2
11-May-20,India_Andaman and Nicobar Islands,25,32.8
12-May-20,India_Andaman and Nicobar Islands,24.2,32.7
13-May-20,India_Andaman and Nicobar Islands,24.3,32.2
14-May-20,India_Andaman and Nicobar Islands,25.7,29.2
15-May-20,India_Andaman and Nicobar Islands,26.6,31
16-May-20,India_Andaman and Nicobar Islands,27.2,31.6
17-May-20,India_Andaman and Nicobar Islands,27.5,30.4
18-May-20,India_Andaman and Nicobar Islands,27,30.4
19-May-20,India_Andaman and Nicobar Islands,25.4,31.2
20-May-20,India_Andaman and Nicobar Islands,25.2,31
21-May-20,India_Andaman and Nicobar Islands,28.2,30.8
22-May-20,India_Andaman and Nicobar Islands,27.2,32.6
23-May-20,India_Andaman and Nicobar Islands,26.4,32.5
24-May-20,India_Andaman and Nicobar Islands,25.4,31
25-May-20,India_Andaman and Nicobar Islands,26.8,32.7
26-May-20,India_Andaman and Nicobar Islands,26.5,32
27-May-20,India_Andaman and Nicobar Islands,26.5,30.8
28-May-20,India_Andaman and Nicobar Islands,27.2,32.7
29-May-20,India_Andaman and Nicobar Islands,24.8,26.9
30-May-20,India_Andaman and Nicobar Islands,24.6,27
31-May-20,India_Andaman and Nicobar Islands,23.9,31.1
01-Jun-20,India_Andaman and Nicobar Islands,25.2,31.8
02-Jun-20,India_Andaman and Nicobar Islands,25.4,30
03-Jun-20,India_Andaman and Nicobar Islands,25.4,30
04-Jun-20,India_Andaman and Nicobar Islands,24.7,27.2
05-Jun-20,India_Andaman and Nicobar Islands,23.6,28.2
06-Jun-20,India_Andaman and Nicobar Islands,23.3,26.2
07-Jun-20,India_Andaman and Nicobar Islands,23.1,26.5
08-Jun-20,India_Andaman and Nicobar Islands,24,28.6
09-Jun-20,India_Andaman and Nicobar Islands,23.6,30
10-Jun-20,India_Andaman and Nicobar Islands,23.5,29.8
11-Jun-20,India_Andaman and Nicobar Islands,25.4,30.2
12-Jun-20,India_Andaman and Nicobar Islands,25,31.2
13-Jun-20,India_Andaman and Nicobar Islands,24.4,31.4
14-Jun-20,India_Andaman and Nicobar Islands,25.6,31.7
15-Jun-20,India_Andaman and Nicobar Islands,27.1,30
16-Jun-20,India_Andaman and Nicobar Islands,26.2,29.1
17-Jun-20,India_Andaman and Nicobar Islands,26.6,29.6
14-Mar-20,India_Andhra Pradesh,19,35.2
15-Mar-20,India_Andhra Pradesh,20,33
16-Mar-20,India_Andhra Pradesh,20,33
17-Mar-20,India_Andhra Pradesh,19,32
18-Mar-20,India_Andhra Pradesh,18,37.6
19-Mar-20,India_Andhra Pradesh,19,34
20-Mar-20,India_Andhra Pradesh,22,30
21-Mar-20,India_Andhra Pradesh,21,37.2
22-Mar-20,India_Andhra Pradesh,22,35.8
23-Mar-20,India_Andhra Pradesh,22,32
24-Mar-20,India_Andhra Pradesh,21,36.8
25-Mar-20,India_Andhra Pradesh,20,32
26-Mar-20,India_Andhra Pradesh,19,34.1
27-Mar-20,India_Andhra Pradesh,19,32
28-Mar-20,India_Andhra Pradesh,17,34
29-Mar-20,India_Andhra Pradesh,17,39.2
30-Mar-20,India_Andhra Pradesh,18,39.2
31-Mar-20,India_Andhra Pradesh,17,34
01-Apr-20,India_Andhra Pradesh,18,34
02-Apr-20,India_Andhra Pradesh,19,39.4
03-Apr-20,India_Andhra Pradesh,21,34
04-Apr-20,India_Andhra Pradesh,21,34
05-Apr-20,India_Andhra Pradesh,22,34
06-Apr-20,India_Andhra Pradesh,22,33
07-Apr-20,India_Andhra Pradesh,20,30.8
08-Apr-20,India_Andhra Pradesh,20,36.5
09-Apr-20,India_Andhra Pradesh,20,34
10-Apr-20,India_Andhra Pradesh,20,33.1
11-Apr-20,India_Andhra Pradesh,21,37.2
12-Apr-20,India_Andhra Pradesh,19,38.6
13-Apr-20,India_Andhra Pradesh,19,39.8
14-Apr-20,India_Andhra Pradesh,18,35
15-Apr-20,India_Andhra Pradesh,17,39.8
16-Apr-20,India_Andhra Pradesh,21,39.4
17-Apr-20,India_Andhra Pradesh,20,41.2
18-Apr-20,India_Andhra Pradesh,23,39.8
19-Apr-20,India_Andhra Pradesh,23,38.2
20-Apr-20,India_Andhra Pradesh,22,34
21-Apr-20,India_Andhra Pradesh,21,34
22-Apr-20,India_Andhra Pradesh,22,40.2
23-Apr-20,India_Andhra Pradesh,24,40.8
24-Apr-20,India_Andhra Pradesh,20,38.2
25-Apr-20,India_Andhra Pradesh,23,41.6
26-Apr-20,India_Andhra Pradesh,22,40.4
27-Apr-20,India_Andhra Pradesh,22,40.8
28-Apr-20,India_Andhra Pradesh,23,40.6
29-Apr-20,India_Andhra Pradesh,20,34.2
30-Apr-20,India_Andhra Pradesh,21,40.2
01-May-20,India_Andhra Pradesh,22,33.2
02-May-20,India_Andhra Pradesh,24,39.8
03-May-20,India_Andhra Pradesh,22,40.8
04-May-20,India_Andhra Pradesh,23,34.4
05-May-20,India_Andhra Pradesh,24,41.4
06-May-20,India_Andhra Pradesh,24,41.2
07-May-20,India_Andhra Pradesh,23,37.6
08-May-20,India_Andhra Pradesh,23,33
09-May-20,India_Andhra Pradesh,23,40.8
10-May-20,India_Andhra Pradesh,23,35
11-May-20,India_Andhra Pradesh,23,38.6
12-May-20,India_Andhra Pradesh,22,32
13-May-20,India_Andhra Pradesh,22,40.2
14-May-20,India_Andhra Pradesh,23,40.6
15-May-20,India_Andhra Pradesh,23,36
16-May-20,India_Andhra Pradesh,23,38
17-May-20,India_Andhra Pradesh,24,36.8
18-May-20,India_Andhra Pradesh,21,36.4
19-May-20,India_Andhra Pradesh,23,31
20-May-20,India_Andhra Pradesh,23,38.6
21-May-20,India_Andhra Pradesh,22,33
22-May-20,India_Andhra Pradesh,23,34
