,date,region,min,max
0,2020-06-18,India_Chandigarh,29.9,45.0
1,2020-06-19,India_Chandigarh,29.9,45.3
2,2020-06-20,India_Chandigarh,31.4,46.0
3,2020-06-21,India_Chandigarh,31.4,45.0
4,2020-06-22,India_Chandigarh,32.4,45.1
5,2020-06-23,India_Chandigarh,32.9,45.5
6,2020-06-24,India_Chandigarh,29.7,44.3
7,2020-06-25,India_Chandigarh,26.2,39.7
8,2020-06-26,India_Chandigarh,25.9,37.5
9,2020-06-27,India_Chandigarh,26.1,36.4
10,2020-06-28,India_Chandigarh,26.4,36.8
11,2020-06-29,India_Chandigarh,29.1,38.1
12,2020-06-30,India_Chandigarh,27.3,36.5
13,2020-07-01,India_Chandigarh,26.9,36.9
14,2020-07-02,India_Chandigarh,27.3,36.0
15,2020-07-03,India_Chandigarh,27.9,36.0
0,2020-06-18,India_Chattisgarh,26.4,35.0
1,2020-06-19,India_Chattisgarh,27.0,32.4
2,2020-06-20,India_Chattisgarh,24.6,36.7
3,2020-06-21,India_Chattisgarh,25.2,31.6
4,2020-06-22,India_Chattisgarh,24.7,31.3
5,2020-06-23,India_Chattisgarh,24.6,32.9
6,2020-06-24,India_Chattisgarh,27.2,35.9
7,2020-06-25,India_Chattisgarh,29.2,36.5
8,2020-06-26,India_Chattisgarh,29.4,37.1
9,2020-06-27,India_Chattisgarh,28.1,37.4
10,2020-06-28,India_Chattisgarh,28.4,36.0
11,2020-06-29,India_Chattisgarh,26.4,34.1
12,2020-06-30,India_Chattisgarh,26.4,34.1
13,2020-07-01,India_Chattisgarh,25.9,35.0
14,2020-07-02,India_Chattisgarh,24.4,25.9
15,2020-07-03,India_Chattisgarh,24.4,25.1
0,2020-06-18,India_Dadra and Nagar Haveli,26.4,29.4
1,2020-06-19,India_Dadra and Nagar Haveli,26.1,33.6
2,2020-06-20,India_Dadra and Nagar Haveli,26.8,34.0
3,2020-06-21,India_Dadra and Nagar Haveli,26.9,33.5
4,2020-06-22,India_Dadra and Nagar Haveli,26.6,33.0
5,2020-06-23,India_Dadra and Nagar Haveli,27.1,33.8
6,2020-06-24,India_Dadra and Nagar Haveli,26.7,33.5
7,2020-06-25,India_Dadra and Nagar Haveli,26.8,33.9
8,2020-06-26,India_Dadra and Nagar Haveli,27.0,35.0
9,2020-06-27,India_Dadra and Nagar Haveli,27.2,34.0
10,2020-06-28,India_Dadra and Nagar Haveli,26.4,29.9
11,2020-06-29,India_Dadra and Nagar Haveli,25.6,30.0
12,2020-06-30,India_Dadra and Nagar Haveli,25.6,29.6
13,2020-07-01,India_Dadra and Nagar Haveli,26.3,31.1
14,2020-07-02,India_Dadra and Nagar Haveli,25.1,27.6
15,2020-07-03,India_Dadra and Nagar Haveli,25.1,25.4
0,2020-06-18,India_Daman and Diu,27.2,29.8
1,2020-06-19,India_Daman and Diu,27.2,34.2
2,2020-06-20,India_Daman and Diu,27.7,34.5
3,2020-06-21,India_Daman and Diu,27.9,34.0
4,2020-06-22,India_Daman and Diu,27.4,33.8
5,2020-06-23,India_Daman and Diu,27.8,34.2
6,2020-06-24,India_Daman and Diu,27.6,34.1
7,2020-06-25,India_Daman and Diu,27.6,34.3
8,2020-06-26,India_Daman and Diu,27.8,34.9
9,2020-06-27,India_Daman and Diu,28.1,34.0
10,2020-06-28,India_Daman and Diu,26.8,30.4
11,2020-06-29,India_Daman and Diu,26.1,30.0
12,2020-06-30,India_Daman and Diu,26.1,28.1
