,date,region,min,max
0,2020-06-18,India_Jharkhand,14.2,31.1
1,2020-06-19,India_Jharkhand,14.6,31.3
2,2020-06-20,India_Jharkhand,14.5,29.9
3,2020-06-21,India_Jharkhand,13.8,29.3
4,2020-06-22,India_Jharkhand,15.0,33.0
5,2020-06-23,India_Jharkhand,17.6,35.3
6,2020-06-24,India_Jharkhand,18.9,36.1
7,2020-06-25,India_Jharkhand,14.9,32.6
8,2020-06-26,India_Jharkhand,14.6,31.6
9,2020-06-27,India_Jharkhand,16.1,32.5
10,2020-06-28,India_Jharkhand,17.4,33.5
11,2020-06-29,India_Jharkhand,18.3,35.3
12,2020-06-30,India_Jharkhand,18.4,33.0
13,2020-07-01,India_Jharkhand,17.3,33.5
14,2020-07-02,India_Jharkhand,16.9,33.2
15,2020-07-03,India_Jharkhand,17.3,31.4
0,2020-06-18,India_Karnataka,23.6,31.2
1,2020-06-19,India_Karnataka,23.4,32.1
2,2020-06-20,India_Karnataka,23.4,31.8
3,2020-06-21,India_Karnataka,23.1,31.4
4,2020-06-22,India_Karnataka,21.8,27.0
5,2020-06-23,India_Karnataka,21.7,24.6
6,2020-06-24,India_Karnataka,21.9,30.1
7,2020-06-25,India_Karnataka,22.9,31.3
8,2020-06-26,India_Karnataka,23.5,31.6
9,2020-06-27,India_Karnataka,22.9,28.9
10,2020-06-28,India_Karnataka,21.9,25.1
11,2020-06-29,India_Karnataka,22.1,25.1
12,2020-06-30,India_Karnataka,22.1,26.9
13,2020-07-01,India_Karnataka,22.7,30.1
14,2020-07-02,India_Karnataka,23.1,28.1
15,2020-07-03,India_Karnataka,23.1,25.6
0,2020-06-18,India_Kerala,24.1,30.9
1,2020-06-19,India_Kerala,23.8,32.4
2,2020-06-20,India_Kerala,24.0,32.1
3,2020-06-21,India_Kerala,23.4,28.1
4,2020-06-22,India_Kerala,23.0,27.7
5,2020-06-23,India_Kerala,23.0,28.6
6,2020-06-24,India_Kerala,22.9,30.9
7,2020-06-25,India_Kerala,23.5,27.7
8,2020-06-26,India_Kerala,23.1,28.6
9,2020-06-27,India_Kerala,23.4,28.6
10,2020-06-28,India_Kerala,22.9,26.6
11,2020-06-29,India_Kerala,22.9,28.9
12,2020-06-30,India_Kerala,22.9,30.1
13,2020-07-01,India_Kerala,23.0,30.9
14,2020-07-02,India_Kerala,23.4,31.7
15,2020-07-03,India_Kerala,23.4,31.1
0,2020-06-18,India_Ladakh,2.0,9.0
1,2020-06-19,India_Ladakh,1.9,9.0
2,2020-06-20,India_Ladakh,2.4,10.3
3,2020-06-21,India_Ladakh,3.1,11.2
4,2020-06-22,India_Ladakh,4.1,13.1
