Province/State,Country/Region,Lat,Long,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,31-Mar-20,01-Apr-20,02-Apr-20,03-Apr-20,04-Apr-20,05-Apr-20,06-Apr-20,07-Apr-20,08-Apr-20,09-Apr-20,10-Apr-20,11-Apr-20,12-Apr-20,13-Apr-20,14-Apr-20,15-Apr-20,16-Apr-20,17-Apr-20,18-Apr-20,19-Apr-20,20-Apr-20,21-Apr-20,22-Apr-20,23-Apr-20,24-Apr-20,25-Apr-20,26-Apr-20,27-Apr-20,28-Apr-20,29-Apr-20,30-Apr-20,01-May-20,02-May-20,03-May-20,04-May-20,05-May-20,06-May-20,07-May-20,08-May-20,09-May-20,10-May-20,11-May-20,12-May-20,13-May-20,14-May-20,15-May-20,16-May-20,17-May-20,18-May-20,19-May-20,20-May-20,21-May-20,22-May-20,23-May-20,24-May-20,25-May-20,26-May-20,27-May-20,28-May-20,29-May-20,30-May-20,31-May-20,01-Jun-20,02-Jun-20,03-Jun-20,04-Jun-20,05-Jun-20,06-Jun-20,07-Jun-20,08-Jun-20,09-Jun-20,10-Jun-20,11-Jun-20,12-Jun-20,13-Jun-20,14-Jun-20,15-Jun-20,16-Jun-20,17-Jun-20,18-Jun-20,19-Jun-20,20-Jun-20,21-Jun-20,22-Jun-20,23-Jun-20,24-Jun-20,25-Jun-20,26-Jun-20,27-Jun-20,28-Jun-20,29-Jun-20,30-Jun-20,01-Jul-20,02-Jul-20,03-Jul-20,04-Jul-20,05-Jul-20,06-Jul-20,07-Jul-20,08-Jul-20,09-Jul-20,10-Jul-20,11-Jul-20,12-Jul-20,13-Jul-20,14-Jul-20,15-Jul-20,16-Jul-20,17-Jul-20,18-Jul-20,19-Jul-20,20-Jul-20,21-Jul-20,22-Jul-20,23-Jul-20,24-Jul-20,25-Jul-20,26-Jul-20,27-Jul-20,28-Jul-20,29-Jul-20,30-Jul-20,31-Jul-20,01-Aug-20,02-Aug-20,03-Aug-20,04-Aug-20,05-Aug-20,06-Aug-20,07-Aug-20,08-Aug-20,09-Aug-20,10-Aug-20,11-Aug-20,12-Aug-20,13-Aug-20,14-Aug-20,15-Aug-20,16-Aug-20,17-Aug-20,18-Aug-20,19-Aug-20,20-Aug-20,21-Aug-20,22-Aug-20,23-Aug-20,24-Aug-20,25-Aug-20,26-Aug-20,27-Aug-20,28-Aug-20
Andaman and Nicobar Islands,India,11.66702557,92.73598262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,15,15,16,16,26,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,35,35,35,37,37,40,41,41,43,43,45,45,45,50,51,54,66,72,74,74,74,83,92,92,100,109,129,130,133,133,136,136,142,150,154,161,165,167,171,183,187,192,192,205,217,233,254,268,317,346,416,491,639,700,740,820,915,1023,1119,1217,1316,1412,1520,1629,1735,1844,1954,2083,2222,2300,2365,2435
Andhra Pradesh,India,14.7504291,78.57002559,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,5,5,5,6,10,10,10,12,12,16,20,20,35,42,65,92,96,120,141,145,171,231,235,258,287,321,403,441,488,524,589,729,780,842,887,925,998,1056,1142,1192,1252,1353,1456,1552,1621,1664,1705,1731,1779,1841,1892,2017,2065,2133,2234,2289,2340,2374,2414,2464,2529,2565,2640,2669,2711,2759,2869,2968,3091,3185,3316,3385,3513,3641,3772,3905,4111,4307,4435,4592,4779,4988,5196,5480,5908,6232,6511,6988,7313,7632,8008,8422,8920,9745,11101,12154,13194,14393,15412,16464,17467,18378,19393,20298,21763,22890,24228,25574,32127,37555,39935,43255,46301,49558,52622,55406,60024,63864,76614,82886,88672,95625,104354,112870,120464,129615,138712,145636,154749,161425,170924,180703,191117,201234,209100,218311,226372,235218,244045,252638,260087,268828,278247,286720,295248,303711
Arunachal Pradesh,India,27.10039878,93.61660071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,6,7,7,7,10,11,14,15,21,22,38,38,42,49,54,60,61,62,66,71,75,76,78,92,105,109,120,120,125,138,145,153,153,153,175,274,282,285,303,314,334,392,428,505,574,617,677,827,918,969,996,1063,1105,1210,1245,1326,1430,1482,1592,1634,1659,1718,1750,1771,1808,1893,1949,2022,2093,2125,2228,2297,2427,2508,2563,2621,2709
Assam,India,26.244156,92.537842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,12,17,19,19,19,19,19,19,27,27,27,29,29,33,33,33,33,33,35,35,35,35,35,40,40,40,40,41,41,42,42,42,49,55,55,57,58,63,63,88,104,126,164,186,285,338,414,460,510,589,637,785,1097,1249,1433,1585,1806,1961,2206,2412,2643,2849,3067,3203,3405,3566,3763,3959,4034,4248,4815,5089,5334,5648,5832,6107,6328,6744,7434,7942,8330,8727,9148,9849,10427,10895,11417,12174,12889,13555,14106,15166,16024,17096,18034,19351,20700,21762,23056,24041,25403,26619,27833,29081,30358,31443,32385,33429,34422,35893,37225,38810,40592,42326,43587,45074,47210,49384,51694,53287,55216,56735,58295,60349,63121,65597,67642,70901,73091,74815,76963,79308,81071
Bihar,India,25.78541445,87.4799727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,9,15,15,15,15,15,26,28,29,29,37,37,42,42,42,42,42,44,44,45,56,56,64,64,84,98,117,124,127,158,158,218,267,318,354,377,382,400,412,440,473,473,517,517,571,571,629,653,702,733,800,918,1050,1209,1311,1520,1741,1803,2025,2120,2233,2298,2405,2542,2770,2934,3086,3316,3686,3975,4226,4571,4776,4961,5098,5367,5631,5767,6027,6106,6480,6669,6930,7156,7374,7544,7811,7994,8211,8488,8765,9014,9338,9541,9792,10251,10991,11953,12364,13019,13533,14101,14997,15771,16597,17535,18741,19876,20959,22832,24520,26308,27844,29220,30504,31673,33650,35473,36637,38508,40760,42370,43820,46265,48673,51315,54139,57039,60068,62507,65307,68675,72566,76706,80740,84578,88163,91841,95372,98454,101362,104531,106765,109696,112445
Chandigarh,India,30.71999697,76.78000565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,7,7,7,7,7,7,7,7,9,9,9,9,13,14,14,14,14,15,15,17,17,17,17,18,18,19,19,21,21,21,21,21,24,24,28,30,30,37,40,51,51,54,57,136,178,178,179,179,187,187,187,189,189,199,199,214,214,214,222,273,273,274,285,285,289,293,295,295,295,301,302,306,306,315,316,316,322,322,322,329,335,335,336,349,364,367,389,393,395,395,401,401,402,403,408,413,417,423,446,459,476,480,485,488,518,518,526,531,535,555,572,575,599,611,647,667,683,698,706,715,715,777,820,872,904,1004,1015,1023,1076,1091,1118,1137,1183,1243,1351,1390,1426,1471,1492,1646,1713,1800,1977,2107
Chattisgarh,India,21.295132,81.828232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,8,8,9,9,9,9,9,10,10,13,17,23,24,25,25,25,25,28,30,30,32,32,32,34,34,36,36,36,36,36,36,36,36,38,43,49,53,54,55,56,56,58,59,59,59,59,59,62,64,64,67,79,83,83,100,102,114,121,130,170,206,231,259,266,335,347,351,421,544,631,719,843,934,1099,1202,1305,1368,1421,1487,1527,1601,1729,1885,1937,2062,2150,2250,2303,2362,2414,2526,2578,2644,2728,2835,2903,3028,3070,3153,3202,3275,3324,3451,3512,3658,3775,3944,4114,4230,4387,4567,4683,4944,5172,5439,5636,5921,6230,6610,6991,7256,7613,7871,8088,8319,8582,8809,9017,9239,9508,9658,9857,10046,10235,10598,10847,11185,11739,12022,12394,12931,13424,13732,14145,14607,15109
Dadra and Nagar Haveli,India,20.26657819,73.0166178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,9,12,14,14,26,27,27,27,30,38,50,56,69,75,82,109,112,133,142,159,175,185,196,206,225,237,268,310,343,371,392,414,436,450,465,475,490,513,531,544,565,597,648,667,684,725,755,804,866,920,961,997,1038,1089,1117,1167,1208,1243,1281,1312,1384,1431,1480,1519,1567,1613,1652,1702,1744,1783,1816,1857,1913,1960
Daman and Diu,India,20.4283,72.8397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,India,28.6699929,77.23000403,1,2,2,2,2,3,5,5,5,5,6,6,6,6,6,6,6,6,6,8,8,16,16,16,20,21,25,27,27,28,31,31,41,52,72,207,290,431,611,724,808,857,869,877,877,1078,1092,1094,1167,1256,1362,1431,1468,1542,1931,2020,2020,2069,2129,2512,2858,3045,3518,3926,4202,4485,4750,5192,5567,5897,6267,6540,6771,6954,7264,7495,7846,8075,8478,8746,9243,9542,9898,10315,10664,10999,11357,11861,12245,12731,13398,14945,15823,16427,16500,17457,21341,23569,31294,33013,36602,39313,41437,44765,47091,49301,52607,56235,58348,59992,63007,65624,68256,71339,72088,74217,78199,82226,84694,87692,89968,91312,93236,95699,97693,99301,101274,103134,104918,106118,107650,109065,110931,113068,114875,116372,117507,118633,119724,120930,122131,123317,124254,125226,126116,127124,128232,129362,130587,131657,132384,133405,134318,135108,136251,137561,138301,139447,140767,141826,142908,144138,145388,146588,147743,148897,150027,151473
Goa,India,15.491997,73.81800065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,16,16,16,19,28,37,38,41,42,44,50,57,57,57,65,65,65,67,67,67,67,69,70,74,85,85,96,109,118,129,135,152,205,289,335,370,420,478,524,596,670,734,772,825,936,1061,1156,1207,1273,1347,1428,1487,1540,1607,1674,1817,1946,2038,2218,2361,2449,2541,2655,2865,3047,3277,3410,3595,3784,4005,4211,4438,4668,4876,5114,5287,5453,5595,5802,5995,6208,6480,6641,6912,7157,7488,7775,8058,8356,8713,9063,9540,10019,10472,10909,11224,11511,11867,12296
Gujarat,India,22.309425,72.13623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,10,10,13,21,22,25,25,26,33,44,44,54,59,64,73,86,93,105,131,139,179,258,265,282,313,394,434,527,613,736,896,1042,1195,1381,1500,1709,1872,2091,2545,2780,3246,3562,3753,4035,4308,4499,4804,5043,5219,5488,5880,6169,6412,6636,7137,7547,8001,8609,9230,9919,10780,11894,12212,12667,13011,13324,13643,13964,14373,14743,15109,15501,15891,16333,16672,17090,17438,17827,18167,18702,19357,19917,20521,21096,21506,22038,22417,22808,23248,23670,24038,24601,24941,25414,25900,26323,26744,27313,27742,28183,28685,29198,29806,30555,31346,32174,32944,34006,34883,35660,36404,37241,37959,38831,39613,40366,41381,42413,43196,44075,44908,45783,46588,47562,48460,49506,50423,51793,52928,54239,55377,56517,57494,58540,59623,60638,61597,62680,63811,64931,66054,67378,68358,69330,70351,71362,72409,73602,74652
