date,region,min,max
2020-08-29,India_Andaman and Nicobar Islands,27,31.1
2020-08-30,India_Andaman and Nicobar Islands,27.1,31.1
2020-08-31,India_Andaman and Nicobar Islands,27.1,30.1
2020-09-01,India_Andaman and Nicobar Islands,26.6,31.3
2020-09-02,India_Andaman and Nicobar Islands,26.6,30.9
2020-09-03,India_Andaman and Nicobar Islands,26.7,30.6
2020-09-04,India_Andaman and Nicobar Islands,27.1,31.2
2020-09-05,India_Andaman and Nicobar Islands,26.9,30.9
2020-09-06,India_Andaman and Nicobar Islands,26.9,31.3
2020-09-07,India_Andaman and Nicobar Islands,27.3,31.6
2020-09-08,India_Andaman and Nicobar Islands,27.3,31.6
2020-09-09,India_Andaman and Nicobar Islands,27.1,30.8
2020-09-10,India_Andaman and Nicobar Islands,27.1,30.8
2020-09-11,India_Andaman and Nicobar Islands,25.6,30.1
2020-09-12,India_Andaman and Nicobar Islands,26.9,30.1
2020-09-13,India_Andaman and Nicobar Islands,27.2,29.4
2020-08-29,India_Andhra Pradesh,26.4,36.7
2020-08-30,India_Andhra Pradesh,26.4,35.7
2020-08-31,India_Andhra Pradesh,26.7,35.9
2020-09-01,India_Andhra Pradesh,26.8,34.1
2020-09-02,India_Andhra Pradesh,25.4,34.2
2020-09-03,India_Andhra Pradesh,25.3,34.9
2020-09-04,India_Andhra Pradesh,26.2,35.1
2020-09-05,India_Andhra Pradesh,25.8,36
2020-09-06,India_Andhra Pradesh,26.3,36
2020-09-07,India_Andhra Pradesh,26.6,37.8
2020-09-08,India_Andhra Pradesh,26.8,33.9
2020-09-09,India_Andhra Pradesh,26.3,33.6
2020-09-10,India_Andhra Pradesh,25.4,33.4
2020-09-11,India_Andhra Pradesh,25.3,32.5
2020-09-12,India_Andhra Pradesh,25.4,31.1
2020-09-13,India_Andhra Pradesh,28.3,31.8
2020-08-29,India_Arunachal Pradesh,22.6,31.1
2020-08-30,India_Arunachal Pradesh,21.9,30.9
2020-08-31,India_Arunachal Pradesh,22.4,32.1
